#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083475.1-p1      -           1263 3802at5820           -            921         0 1310.3  58.8   1   3   4.5e-81     5e-78  262.0  10.3     1   226     1   243     1   270 0.91 | transcript=PVX_083475.1 | gene=PVX_083475 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=Pv_Sal1_chr12:90559-94714(-) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083475.1-p1      -           1263 3802at5820           -            921         0 1310.3  58.8   2   3  6.3e-291    7e-288  956.4  26.6   241   758   314   937   300   962 0.94 | transcript=PVX_083475.1 | gene=PVX_083475 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=Pv_Sal1_chr12:90559-94714(-) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083475.1-p1      -           1263 3802at5820           -            921         0 1310.3  58.8   3   3   2.3e-33   2.5e-30  104.1   6.0   838   918  1120  1257   996  1262 0.67 | transcript=PVX_083475.1 | gene=PVX_083475 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1f, putative | transcript_product=inner membrane complex protein 1f, putative | location=Pv_Sal1_chr12:90559-94714(-) | protein_length=1263 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 3802at5820           -            921     3e-12   44.3  37.2   1   3   2.7e-15     3e-12   44.3  37.2   429   553    75   199    71   203 0.93 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 3802at5820           -            921     3e-12   44.3  37.2   2   3     0.092     1e+02   -0.5  26.1   597   677   369   451   360   469 0.81 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119325.1-p1      -            869 3802at5820           -            921     3e-12   44.3  37.2   3   3       0.2   2.2e+02   -1.6   0.7   206   269   755   818   639   835 0.67 | transcript=PVX_119325.1 | gene=PVX_119325 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1a, putative | transcript_product=inner membrane complex protein 1a, putative | location=Pv_Sal1_chr08:1558854-1562209(+) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 3802at5820           -            921   7.8e-11   39.6  50.4   1   2   7.1e-14   7.8e-11   39.6  50.4   432   553    33   154    27   165 0.96 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_251300-t26_1-p1  -            218 3802at5820           -            921   7.8e-11   39.6  50.4   2   2      0.22   2.4e+02   -1.7   1.0   316   347   177   207   166   215 0.50 | transcript=PVX_251300-t26_1 | gene=PVX_251300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002130:96-752(+) | protein_length=218 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 3802at5820           -            921   1.5e-10   38.7  50.1   1   2   1.3e-13   1.5e-10   38.7  50.1   432   553    33   154    26   163 0.96 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_193290-t26_1-p1  -            299 3802at5820           -            921   1.5e-10   38.7  50.1   2   2       2.5   2.8e+03   -5.2  10.5   316   870   177   227   155   257 0.36 | transcript=PVX_193290-t26_1 | gene=PVX_193290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001369:95-992(+) | protein_length=299 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_094380.1-p1      -            286 3802at5820           -            921   1.5e-10   38.7  50.3   1   2   1.4e-13   1.5e-10   38.7  50.3   432   553    33   154    26   161 0.96 | transcript=PVX_094380.1 | gene=PVX_094380 | organism=Plasmodium_vivax_Sal-1 | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=Pv_Sal1_chr08:196311-197171(+) | protein_length=286 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
