#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4   1  18   1.7e-18   3.1e-15   52.7   0.0     1    63     1    70     1    77 0.92 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4   2  18   2.8e-65   5.2e-62  207.9  20.3    62   247   101   310    96   320 0.89 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4   3  18   3.3e-17   6.1e-14   48.4   7.8   242   316   346   441   340   445 0.79 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4   4  18   1.5e-06    0.0027   13.1   1.5   316   381   481   581   473   587 0.75 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4   5  18   9.7e-48   1.8e-44  149.7  37.7   400   553   770   969   766   972 0.82 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4   6  18   3.3e-30     6e-27   91.5   0.1   546   623  1021  1098  1018  1101 0.94 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4   7  18  2.5e-167  4.6e-164  546.4  42.9   616   965  1164  1540  1161  1544 0.92 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4   8  18    0.0037       6.9    1.8   0.4   960   987  1623  1650  1616  1655 0.86 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4   9  18     1e-62   1.9e-59  199.4  22.1   977  1099  1694  1816  1686  1822 0.95 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4  10  18     1e-31   1.9e-28   96.5  10.8  1098  1162  1864  1928  1858  1931 0.96 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090085.1-p1      -           4367 338at5820            -           2515         0 3472.2 412.4  11  18  9.7e-165  1.8e-161  537.8  48.3  1159  1550  1971  2413  1964  2423 0.88 | transcript=PVX_090085.1 | gene=PVX_090085 | organism=Plasmodium_vivax_Sal-1 | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=Pv_Sal1_chr05:1093365-1107462(+) | protein_length=4367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
