#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081810.1-p1      -           1311 1802at5820           -            635         0 1015.5 101.2   1   4   1.1e-18   5.2e-16   56.7   0.5     7    68    40   110    35   118 0.86 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081810.1-p1      -           1311 1802at5820           -            635         0 1015.5 101.2   2   4   2.1e-25   9.6e-23   78.9   0.1    62   129   218   286   199   300 0.92 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081810.1-p1      -           1311 1802at5820           -            635         0 1015.5 101.2   3   4   4.5e-25   2.1e-22   77.8  41.7   124   222   708   820   701   827 0.81 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081810.1-p1      -           1311 1802at5820           -            635         0 1015.5 101.2   4   4  1.5e-256  6.8e-254  842.5  40.9   210   635   842  1311   823  1311 0.93 | transcript=PVX_081810.1 | gene=PVX_081810 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr02:688174-692109(+) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123750.1-p1      -           2879 1802at5820           -            635   4.4e-14   50.3   0.4   1   2   9.6e-17   4.4e-14   50.3   0.4   321   391  1888  1958  1858  1979 0.86 | transcript=PVX_123750.1 | gene=PVX_123750 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:1719732-1728371(+) | protein_length=2879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123750.1-p1      -           2879 1802at5820           -            635   4.4e-14   50.3   0.4   2   2   0.00014     0.066   10.1   5.7   525   613  2780  2867  2770  2876 0.83 | transcript=PVX_123750.1 | gene=PVX_123750 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:1719732-1728371(+) | protein_length=2879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 1802at5820           -            635   2.8e-13   47.6  11.9   1   6   6.2e-16   2.8e-13   47.6  11.9   250   471   104   336    64   343 0.72 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 1802at5820           -            635   2.8e-13   47.6  11.9   2   6       3.3   1.5e+03   -4.4   1.9   131   176  1078  1123  1058  1188 0.46 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 1802at5820           -            635   2.8e-13   47.6  11.9   3   6       9.5   4.4e+03   -5.8  11.6   114   205  1441  1541  1382  1567 0.53 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 1802at5820           -            635   2.8e-13   47.6  11.9   4   6     0.017       7.8    3.2   0.0   322   437  1942  1975  1915  2015 0.60 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 1802at5820           -            635   2.8e-13   47.6  11.9   5   6      0.74   3.4e+02   -2.2   5.0   138   287  2417  2564  2398  2579 0.72 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
