#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099625.1-p1      -            963 3545at5820           -            654         0 1075.8  56.2   1   5   3.6e-15   6.7e-12   42.7   0.0     1    64    47   116    47   121 0.85 | transcript=PVX_099625.1 | gene=PVX_099625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:921518-924409(+) | protein_length=963 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099625.1-p1      -            963 3545at5820           -            654         0 1075.8  56.2   2   5     4e-90   7.4e-87  290.4  16.9    64   273   138   370   129   375 0.92 | transcript=PVX_099625.1 | gene=PVX_099625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:921518-924409(+) | protein_length=963 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099625.1-p1      -            963 3545at5820           -            654         0 1075.8  56.2   3   5  2.3e-102   4.2e-99  330.9  10.7   273   444   466   638   459   649 0.97 | transcript=PVX_099625.1 | gene=PVX_099625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:921518-924409(+) | protein_length=963 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099625.1-p1      -            963 3545at5820           -            654         0 1075.8  56.2   4   5  9.3e-120  1.7e-116  388.3   1.7   435   621   684   870   679   876 0.97 | transcript=PVX_099625.1 | gene=PVX_099625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:921518-924409(+) | protein_length=963 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099625.1-p1      -            963 3545at5820           -            654         0 1075.8  56.2   5   5   7.2e-15   1.3e-11   41.7   1.8   622   653   931   962   915   963 0.89 | transcript=PVX_099625.1 | gene=PVX_099625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:921518-924409(+) | protein_length=963 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 3545at5820           -            654   1.8e-11   41.3   3.8   1   4    0.0099        18    1.6   0.0   369   438   107   182    92   198 0.73 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 3545at5820           -            654   1.8e-11   41.3   3.8   2   4     0.014        26    1.1   0.0   370   438   151   220   136   222 0.80 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 3545at5820           -            654   1.8e-11   41.3   3.8   3   4   1.8e-06    0.0034   14.0   0.3   366   418   222   274   214   285 0.92 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 3545at5820           -            654   1.8e-11   41.3   3.8   4   4   1.4e-09   2.6e-06   24.2   0.1   321   429   288   397   276   414 0.85 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 3545at5820           -            654   1.5e-05   21.8   6.6   1   4     8e-09   1.5e-05   21.8   6.6   276   434    62   226    45   231 0.71 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 3545at5820           -            654   1.5e-05   21.8   6.6   2   4   0.00037      0.68    6.3   4.9   321   427   216   335   214   356 0.76 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 3545at5820           -            654   1.5e-05   21.8   6.6   3   4    0.0045       8.3    2.8   3.3   345   424   370   449   353   457 0.77 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 3545at5820           -            654   1.5e-05   21.8   6.6   4   4     0.015        27    1.0   0.5   353   405   452   504   447   518 0.85 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3545at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3545at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3545at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:20 2026
# [ok]
