#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123295.1-p1      -            583 5345at5820           -            445  1.9e-292  968.0  37.6   1   2   1.7e-16   1.9e-13   48.5   0.1     1    34    41    74    41    85 0.90 | transcript=PVX_123295.1 | gene=PVX_123295 | organism=Plasmodium_vivax_Sal-1 | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=Pv_Sal1_chr14:1310622-1313118(+) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123295.1-p1      -            583 5345at5820           -            445  1.9e-292  968.0  37.6   2   2  1.3e-281  1.5e-278  922.3  32.9    31   445   168   583   159   583 0.99 | transcript=PVX_123295.1 | gene=PVX_123295 | organism=Plasmodium_vivax_Sal-1 | gene_product=RuvB-like helicase 1, putative | transcript_product=RuvB-like helicase 1, putative | location=Pv_Sal1_chr14:1310622-1313118(+) | protein_length=583 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090975.1-p1      -            475 5345at5820           -            445  6.5e-140  465.3  16.9   1   1  3.4e-142  3.8e-139  462.8  16.9     6   444    12   474     7   475 0.90 | transcript=PVX_090975.1 | gene=PVX_090975 | organism=Plasmodium_vivax_Sal-1 | gene_product=RuvB-like helicase 2, putative | transcript_product=RuvB-like helicase 2, putative | location=Pv_Sal1_chr09:144277-145704(-) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115065.1-p1      -            483 5345at5820           -            445  2.8e-105  351.1   7.1   1   1  3.1e-108  3.4e-105  350.9   7.1     8   445    10   449     3   449 0.89 | transcript=PVX_115065.1 | gene=PVX_115065 | organism=Plasmodium_vivax_Sal-1 | gene_product=RuvB-like helicase 3, putative | transcript_product=RuvB-like helicase 3, putative | location=Pv_Sal1_chr11:350090-351541(+) | protein_length=483 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117300.1-p1      -            344 5345at5820           -            445   0.00072   16.9   0.3   1   2   2.5e-05     0.028   11.7   0.0    54   108    41    97    28   106 0.76 | transcript=PVX_117300.1 | gene=PVX_117300 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C3, putative | transcript_product=replication factor C3, putative | location=Pv_Sal1_chr12:1741770-1743238(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117300.1-p1      -            344 5345at5820           -            445   0.00072   16.9   0.3   2   2      0.01        11    3.1   0.2   222   266   222   267   214   283 0.85 | transcript=PVX_117300.1 | gene=PVX_117300 | organism=Plasmodium_vivax_Sal-1 | gene_product=replication factor C3, putative | transcript_product=replication factor C3, putative | location=Pv_Sal1_chr12:1741770-1743238(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 5345at5820           -            445      0.26    8.5   6.3   1   4    0.0038       4.2    4.5   0.2    60   115   511   563   498   615 0.76 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 5345at5820           -            445      0.26    8.5   6.3   2   4       1.1   1.2e+03   -3.6   0.1   258   300   658   704   651   710 0.53 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 5345at5820           -            445      0.26    8.5   6.3   3   4    0.0011       1.2    6.3   0.0    56    88   827   859   820   862 0.87 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 5345at5820           -            445      0.26    8.5   6.3   4   4      0.42   4.7e+02   -2.2   0.1   287   348   890   949   882   961 0.78 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
