#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081560.1-p1      -            159 14674at5820          -            109   1.2e-38  129.9  24.8   1   3   1.2e-07   6.8e-05   21.3   0.4     1    23     1    23     1    29 0.94 | transcript=PVX_081560.1 | gene=PVX_081560 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:439477-440434(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081560.1-p1      -            159 14674at5820          -            109   1.2e-38  129.9  24.8   2   3   1.3e-23     7e-21   72.7   7.1    17    72    40   102    34   112 0.87 | transcript=PVX_081560.1 | gene=PVX_081560 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:439477-440434(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081560.1-p1      -            159 14674at5820          -            109   1.2e-38  129.9  24.8   3   3   2.1e-15   1.1e-12   46.3   4.6    56   109   106   159   101   159 0.83 | transcript=PVX_081560.1 | gene=PVX_081560 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:439477-440434(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 14674at5820          -            109   1.8e-11   42.4  44.2   1   7     0.023        13    4.3   0.7    29    43  1515  1529  1502  1547 0.80 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 14674at5820          -            109   1.8e-11   42.4  44.2   2   7     1e-05    0.0056   15.1   0.3    29    55  1588  1614  1581  1620 0.87 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 14674at5820          -            109   1.8e-11   42.4  44.2   3   7   5.1e-06    0.0028   16.1   2.7    27    71  1656  1707  1651  1715 0.71 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 14674at5820          -            109   1.8e-11   42.4  44.2   4   7      0.83   4.6e+02   -0.7   2.5    30    45  1715  1730  1713  1739 0.79 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 14674at5820          -            109   1.8e-11   42.4  44.2   5   7   9.7e-08   5.4e-05   21.6   0.5    30    56  1806  1832  1803  1850 0.89 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 14674at5820          -            109   1.8e-11   42.4  44.2   6   7      0.52   2.9e+02   -0.1   0.3    30    47  1866  1883  1862  1906 0.81 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095475.1-p1      -           2106 14674at5820          -            109   1.8e-11   42.4  44.2   7   7   0.00025      0.14   10.6   0.3    31    47  1949  1965  1946  1978 0.78 | transcript=PVX_095475.1 | gene=PVX_095475 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite- and TRAP-related protein, putative | transcript_product=circumsporozoite- and TRAP-related protein, putative | location=Pv_Sal1_chr08:1139135-1145455(-) | protein_length=2106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119355.1-p1      -            377 14674at5820          -            109   5.7e-06   24.7   0.0   1   1   1.7e-08   9.3e-06   24.0   0.0    35    74   310   353   301   376 0.77 | transcript=PVX_119355.1 | gene=PVX_119355 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite (CS) protein | transcript_product=circumsporozoite (CS) protein | location=Pv_Sal1_chr08:1537705-1538838(+) | protein_length=377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_188290-t26_1-p1  -            120 14674at5820          -            109   3.5e-05   22.2   0.1   1   1   8.1e-08   4.5e-05   21.8   0.1    35    59    90   114    78   118 0.87 | transcript=PVX_188290-t26_1 | gene=PVX_188290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01002430:312-674(-) | protein_length=120 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_113965.1-p1      -           1488 14674at5820          -            109   0.00013   20.3   0.4   1   2   2.4e-07   0.00013   20.3   0.4    14    53   245   285   233   295 0.71 | transcript=PVX_113965.1 | gene=PVX_113965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1354399-1358865(-) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113965.1-p1      -           1488 14674at5820          -            109   0.00013   20.3   0.4   2   2       7.8   4.3e+03   -3.8   0.2    57    78   545   566   542   568 0.82 | transcript=PVX_113965.1 | gene=PVX_113965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1354399-1358865(-) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123575.1-p1      -            340 14674at5820          -            109   0.00098   17.5   1.7   1   1   6.9e-06    0.0038   15.6   1.7    32    72   234   279   223   323 0.64 | transcript=PVX_123575.1 | gene=PVX_123575 | organism=Plasmodium_vivax_Sal-1 | gene_product=thrombospondin-related apical membrane protein, putative | transcript_product=thrombospondin-related apical membrane protein, putative | location=Pv_Sal1_chr14:1529956-1530978(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082735.1-p1      -            556 14674at5820          -            109    0.0011   17.4   1.7   1   1   4.2e-06    0.0023   16.3   1.7    28    62   237   270   220   282 0.75 | transcript=PVX_082735.1 | gene=PVX_082735 | organism=Plasmodium_vivax_Sal-1 | gene_product=thrombospondin-related anonymous protein | transcript_product=thrombospondin-related anonymous protein | location=Pv_Sal1_chr12:731600-733270(+) | protein_length=556 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089230.1-p1      -            695 14674at5820          -            109    0.0081   14.6   0.9   1   3       1.6   8.7e+02   -1.6   0.1    56    89   167   200   159   208 0.73 | transcript=PVX_089230.1 | gene=PVX_089230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:400712-402799(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089230.1-p1      -            695 14674at5820          -            109    0.0081   14.6   0.9   2   3   1.5e-05    0.0081   14.6   0.9    30    45   332   347   321   383 0.83 | transcript=PVX_089230.1 | gene=PVX_089230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:400712-402799(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089230.1-p1      -            695 14674at5820          -            109    0.0081   14.6   0.9   3   3         3   1.7e+03   -2.5   0.0    82    94   578   591   558   605 0.44 | transcript=PVX_089230.1 | gene=PVX_089230 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:400712-402799(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_029190-t26_1-p1  -            335 14674at5820          -            109     0.012   14.0   0.2   1   1   4.9e-05     0.027   12.9   0.2    26    93    25    95     7   113 0.79 | transcript=PVX_029190-t26_1 | gene=PVX_029190 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000181:2495-3786(+) | protein_length=335 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
