#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085705.1-p1      -           1017 2610at5820           -            719         0 1123.9  41.7   1   5     2e-18   3.7e-15   53.6   0.0     5    64    19    91    15    98 0.82 | transcript=PVX_085705.1 | gene=PVX_085705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=Pv_Sal1_chr13:1442089-1445142(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085705.1-p1      -           1017 2610at5820           -            719         0 1123.9  41.7   2   5   8.9e-07    0.0016   15.1   0.0    62    93   114   146   106   149 0.91 | transcript=PVX_085705.1 | gene=PVX_085705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=Pv_Sal1_chr13:1442089-1445142(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085705.1-p1      -           1017 2610at5820           -            719         0 1123.9  41.7   3   5  1.7e-232  3.1e-229  761.3  29.4    90   550   196   691   193   700 0.93 | transcript=PVX_085705.1 | gene=PVX_085705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=Pv_Sal1_chr13:1442089-1445142(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085705.1-p1      -           1017 2610at5820           -            719         0 1123.9  41.7   4   5     6e-09   1.1e-05   22.3   0.0   547   572   719   744   710   759 0.89 | transcript=PVX_085705.1 | gene=PVX_085705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=Pv_Sal1_chr13:1442089-1445142(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085705.1-p1      -           1017 2610at5820           -            719         0 1123.9  41.7   5   5   7.4e-86   1.4e-82  276.5   0.3   572   719   862  1009   859  1009 0.99 | transcript=PVX_085705.1 | gene=PVX_085705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent protease, putative | transcript_product=ATP-dependent protease, putative | location=Pv_Sal1_chr13:1442089-1445142(+) | protein_length=1017 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 2610at5820           -            719   2.4e-08   31.1   0.8   1   2   5.5e-08    0.0001   19.1   0.2   315   410   496   583   463   592 0.71 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 2610at5820           -            719   2.4e-08   31.1   0.8   2   2   2.8e-05     0.052   10.1   0.0   306   357   807   858   794   988 0.84 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092575.1-p1      -            627 2610at5820           -            719   2.9e-05   20.9   2.3   1   2     5e-08   9.2e-05   19.2   0.2   301   355   309   371   304   423 0.78 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092575.1-p1      -            627 2610at5820           -            719   2.9e-05   20.9   2.3   2   2     0.014        27    1.2   0.1   442   489   468   516   454   525 0.88 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2610at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2610at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2610at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:53 2026
# [ok]
