#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085775.1-p1      -            351 8708at5820           -            293    3e-185  612.6   5.3   1   1  7.6e-188  3.8e-185  612.3   5.3     9   293    64   350    47   350 0.98 | transcript=PVX_085775.1 | gene=PVX_085775 | organism=Plasmodium_vivax_Sal-1 | gene_product=FeS assembly ATPase SufC, putative | transcript_product=FeS assembly ATPase SufC, putative | location=Pv_Sal1_chr13:1513058-1514113(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 8708at5820           -            293   1.7e-15   55.4   5.7   1   4   7.4e-05     0.037   11.6   0.1    56   107   393   442   344   487 0.78 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 8708at5820           -            293   1.7e-15   55.4   5.7   2   4   5.4e-08   2.7e-05   21.9   0.1   191   250   579   639   538   664 0.82 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 8708at5820           -            293   1.7e-15   55.4   5.7   3   4     0.091        46    1.5   0.0    63    94  1181  1212  1138  1230 0.71 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080100.1-p1      -           1464 8708at5820           -            293   1.7e-15   55.4   5.7   4   4   2.9e-07   0.00014   19.5   0.0   189   247  1354  1412  1335  1432 0.84 | transcript=PVX_080100.1 | gene=PVX_080100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=Pv_Sal1_chr10:361701-366095(-) | protein_length=1464 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118100.1-p1      -           1605 8708at5820           -            293   9.1e-11   39.9   0.2   1   1   4.3e-13   2.2e-10   38.6   0.2    63   282   709   917   704   924 0.82 | transcript=PVX_118100.1 | gene=PVX_118100 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidrug resistance protein 2, putative | transcript_product=multidrug resistance protein 2, putative | location=Pv_Sal1_chr12:2412009-2416826(+) | protein_length=1605 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085205.1-p1      -            695 8708at5820           -            293   1.6e-10   39.1   0.4   1   1   4.9e-13   2.5e-10   38.5   0.4    58   248    48   231    29   269 0.85 | transcript=PVX_085205.1 | gene=PVX_085205 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter G family member 2, putative | transcript_product=ABC transporter G family member 2, putative | location=Pv_Sal1_chr13:1012549-1014636(+) | protein_length=695 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 8708at5820           -            293     4e-10   37.8  13.4   1   4   0.00011     0.054   11.1   0.1    58    95   192   229   162   251 0.80 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 8708at5820           -            293     4e-10   37.8  13.4   2   4     1e-05     0.005   14.5   0.7   178   284   351   453   337   461 0.86 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 8708at5820           -            293     4e-10   37.8  13.4   3   4    0.0016      0.81    7.2   0.0    65    94   593   622   587   637 0.87 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091705.1-p1      -            792 8708at5820           -            293     4e-10   37.8  13.4   4   4   0.00012      0.06   10.9   0.9   174   275   680   777   650   785 0.82 | transcript=PVX_091705.1 | gene=PVX_091705 | organism=Plasmodium_vivax_Sal-1 | gene_product=ABC transporter F family member 2, putative | transcript_product=ABC transporter F family member 2, putative | location=Pv_Sal1_chr09:735435-737813(+) | protein_length=792 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
