#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_083065.1-p1      -           1529 865at5820            -           1065         0 2059.5  80.3   1   6    0.0031       1.4    4.6   0.0    10    26    25    41     1    50 0.72 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 865at5820            -           1065         0 2059.5  80.3   2   6  8.3e-130  3.8e-127  423.7  26.8    23   275    67   355    64   361 0.90 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 865at5820            -           1065         0 2059.5  80.3   3   6   4.1e-49   1.9e-46  156.5   3.1   276   370   406   500   388   516 0.90 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 865at5820            -           1065         0 2059.5  80.3   4   6  4.1e-111  1.9e-108  361.8   1.2   363   547   661   850   650   856 0.95 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 865at5820            -           1065         0 2059.5  80.3   5   6  1.3e-142  5.9e-140  466.1   6.4   540   758   935  1152   921  1156 0.94 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083065.1-p1      -           1529 865at5820            -           1065         0 2059.5  80.3   6   6  1.2e-203  5.4e-201  668.2   8.5   758  1065  1213  1526  1197  1526 0.97 | transcript=PVX_083065.1 | gene=PVX_083065 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=Pv_Sal1_chr12:455754-460814(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 865at5820            -           1065   2.8e-82  275.2  24.3   1   6   3.7e-08   1.7e-05   20.9   0.0   411   459   232   281   205   287 0.82 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 865at5820            -           1065   2.8e-82  275.2  24.3   2   6   2.2e-16   9.9e-14   48.2   0.3   476   547   370   441   360   455 0.93 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 865at5820            -           1065   2.8e-82  275.2  24.3   3   6   1.1e-19   4.8e-17   59.2   0.0   544   627   940  1024   906  1045 0.82 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 865at5820            -           1065   2.8e-82  275.2  24.3   4   6   1.8e-18   8.2e-16   55.1   1.2   657   760  1092  1192  1082  1229 0.89 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101435.1-p1      -           1589 865at5820            -           1065   2.8e-82  275.2  24.3   5   6   3.3e-08   1.5e-05   21.1   1.6   853   933  1405  1486  1391  1488 0.90 | transcript=PVX_101435.1 | gene=PVX_101435 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=Pv_Sal1_chr14:2884488-2889448(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
