#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123020.1-p1      -            943 4272at5820           -            672         0 1062.7  49.0   1   5   7.4e-21   3.4e-18   63.5   0.2     7    73    11    79     3    87 0.89 | transcript=PVX_123020.1 | gene=PVX_123020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1076925-1079756(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123020.1-p1      -            943 4272at5820           -            672         0 1062.7  49.0   2   5   5.2e-18   2.4e-15   54.1   1.5    66   168   132   243   107   249 0.67 | transcript=PVX_123020.1 | gene=PVX_123020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1076925-1079756(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123020.1-p1      -            943 4272at5820           -            672         0 1062.7  49.0   3   5    3e-157  1.4e-154  514.3  11.2   164   400   265   501   254   526 0.94 | transcript=PVX_123020.1 | gene=PVX_123020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1076925-1079756(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123020.1-p1      -            943 4272at5820           -            672         0 1062.7  49.0   4   5  5.8e-134  2.7e-131  437.3   7.6   417   636   637   856   628   868 0.95 | transcript=PVX_123020.1 | gene=PVX_123020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1076925-1079756(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123020.1-p1      -            943 4272at5820           -            672         0 1062.7  49.0   5   5   6.6e-06     0.003   14.1   0.9   627   661   881   915   876   940 0.80 | transcript=PVX_123020.1 | gene=PVX_123020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1076925-1079756(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091795.1-p1      -            735 4272at5820           -            672   9.5e-12   42.2   0.0   1   3       9.4   4.3e+03   -6.2   7.0    61   172   104   216    61   243 0.51 | transcript=PVX_091795.1 | gene=PVX_091795 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:854298-856505(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091795.1-p1      -            735 4272at5820           -            672   9.5e-12   42.2   0.0   2   3       0.7   3.2e+02   -2.5   0.1   441   494   434   486   426   502 0.77 | transcript=PVX_091795.1 | gene=PVX_091795 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:854298-856505(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091795.1-p1      -            735 4272at5820           -            672   9.5e-12   42.2   0.0   3   3   2.1e-14   9.5e-12   42.2   0.0   512   606   562   656   551   660 0.92 | transcript=PVX_091795.1 | gene=PVX_091795 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:854298-856505(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091360.1-p1      -            681 4272at5820           -            672     1e-09   35.5   3.0   1   1   3.4e-12   1.6e-09   34.9   3.0   471   600   493   622   479   640 0.93 | transcript=PVX_091360.1 | gene=PVX_091360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:455072-457117(-) | protein_length=681 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 4272at5820           -            672   6.1e-09   33.0   3.8   1   4   1.3e-11   6.1e-09   33.0   3.8   243   378   110   245    94   250 0.90 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123710.1-p1      -            836 4272at5820           -            672   6.1e-09   33.0   3.8   2   4   2.3e-05     0.011   12.3  23.3   196   389   251   456   246   463 0.83 | transcript=PVX_123710.1 | gene=PVX_123710 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1686361-1688871(+) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
