#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082630.1-p1      -            456 9816at5820           -            332  1.6e-155  515.7  73.0   1   3  5.7e-140  3.5e-137  455.4  59.8     1   268     1   291     1   294 0.93 | transcript=PVX_082630.1 | gene=PVX_082630 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:791579-792949(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082630.1-p1      -            456 9816at5820           -            332  1.6e-155  515.7  73.0   2   3   2.4e-18   1.4e-15   55.6   0.6   265   317   332   389   328   400 0.83 | transcript=PVX_082630.1 | gene=PVX_082630 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:791579-792949(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082630.1-p1      -            456 9816at5820           -            332  1.6e-155  515.7  73.0   3   3    0.0004      0.25    8.9   0.4   308   332   431   455   423   455 0.78 | transcript=PVX_082630.1 | gene=PVX_082630 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:791579-792949(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085355.1-p1      -            520 9816at5820           -            332   5.4e-07   27.5   2.9   1   1   1.7e-09     1e-06   26.5   2.9     5    52   296   342   292   385 0.79 | transcript=PVX_085355.1 | gene=PVX_085355 | organism=Plasmodium_vivax_Sal-1 | gene_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | transcript_product=ERAD-associated E3 ubiquitin-protein ligase HRD1, putative | location=Pv_Sal1_chr13:1127828-1130131(-) | protein_length=520 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119710.1-p1      -            733 9816at5820           -            332   2.5e-06   25.3   4.6   1   1   7.6e-09   4.7e-06   24.4   4.6     4    48   681   727   679   731 0.87 | transcript=PVX_119710.1 | gene=PVX_119710 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:1245805-1248006(-) | protein_length=733 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094410.1-p1      -           1159 9816at5820           -            332   0.00023   18.8   3.1   1   1   6.3e-07   0.00039   18.1   3.1     6    47   368   414   364   439 0.86 | transcript=PVX_094410.1 | gene=PVX_094410 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:228823-232302(-) | protein_length=1159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079770.1-p1      -            284 9816at5820           -            332   0.00053   17.6   4.6   1   1   1.4e-06   0.00084   17.0   4.6     7    53   236   283   232   284 0.79 | transcript=PVX_079770.1 | gene=PVX_079770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:82907-84242(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111310.1-p1      -            272 9816at5820           -            332    0.0084   13.7   4.2   1   1   1.9e-05     0.012   13.2   4.2     6    50   217   263   212   271 0.87 | transcript=PVX_111310.1 | gene=PVX_111310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:564668-565486(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114337.1-p1      -             89 9816at5820           -            332      0.15    9.6  11.4   1   1   0.00027      0.17    9.4  11.0    22    48    52    79    21    85 0.73 | transcript=PVX_114337.1 | gene=PVX_114337 | organism=Plasmodium_vivax_Sal-1 | gene_product=anaphase promoting complex subunit, putative | transcript_product=anaphase promoting complex subunit, putative | location=Pv_Sal1_chr11:1055694-1055963(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114470.1-p1      -            519 9816at5820           -            332      0.38    8.2  12.0   1   2       1.8   1.1e+03   -3.1   0.7   118   141   264   287   260   296 0.71 | transcript=PVX_114470.1 | gene=PVX_114470 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=Pv_Sal1_chr11:942306-943865(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114470.1-p1      -            519 9816at5820           -            332      0.38    8.2  12.0   2   2   1.3e-05    0.0081   13.8   4.9     6    53   363   408   360   431 0.82 | transcript=PVX_114470.1 | gene=PVX_114470 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=Pv_Sal1_chr11:942306-943865(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
