#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_096150.1-p1      -           1367 3262at5820           -            627  1.3e-266  884.6  70.0   1   7     0.075   1.4e+02   -0.8   3.4     1    42    21    61    21    83 0.77 | transcript=PVX_096150.1 | gene=PVX_096150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:719434-724169(-) | protein_length=1367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096150.1-p1      -           1367 3262at5820           -            627  1.3e-266  884.6  70.0   2   7   1.5e-66   2.7e-63  212.9   7.6     5   140   105   240   100   244 0.93 | transcript=PVX_096150.1 | gene=PVX_096150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:719434-724169(-) | protein_length=1367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096150.1-p1      -           1367 3262at5820           -            627  1.3e-266  884.6  70.0   3   7   2.5e-06    0.0047   13.9   0.4   136   163   288   315   285   347 0.82 | transcript=PVX_096150.1 | gene=PVX_096150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:719434-724169(-) | protein_length=1367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096150.1-p1      -           1367 3262at5820           -            627  1.3e-266  884.6  70.0   4   7   1.1e-48   2.1e-45  153.9   0.4   176   307   672   811   647   818 0.86 | transcript=PVX_096150.1 | gene=PVX_096150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:719434-724169(-) | protein_length=1367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096150.1-p1      -           1367 3262at5820           -            627  1.3e-266  884.6  70.0   5   7   6.5e-89   1.2e-85  286.8   2.8   307   498   882  1085   862  1096 0.85 | transcript=PVX_096150.1 | gene=PVX_096150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:719434-724169(-) | protein_length=1367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096150.1-p1      -           1367 3262at5820           -            627  1.3e-266  884.6  70.0   6   7      0.14   2.7e+02   -1.8   2.2   454   502  1101  1149  1093  1156 0.77 | transcript=PVX_096150.1 | gene=PVX_096150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:719434-724169(-) | protein_length=1367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096150.1-p1      -           1367 3262at5820           -            627  1.3e-266  884.6  70.0   7   7   4.2e-79   7.8e-76  254.4   7.0   501   626  1241  1366  1220  1367 0.97 | transcript=PVX_096150.1 | gene=PVX_096150 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr03:719434-724169(-) | protein_length=1367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123875.1-p1      -            110 3262at5820           -            627    0.0039   14.2   0.1   1   1   2.4e-06    0.0044   14.0   0.1    67   138    16    91     5   107 0.73 | transcript=PVX_123875.1 | gene=PVX_123875 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=Pv_Sal1_chr14:1860422-1861009(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092155.1-p1      -            156 3262at5820           -            627      0.13    9.2   7.4   1   1   0.00012      0.22    8.4   7.4   345   442     3   108     1   156 0.67 | transcript=PVX_092155.1 | gene=PVX_092155 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:1133265-1133735(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3262at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3262at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3262at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:13 2026
# [ok]
