#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084160.1-p1      -           5639 65at5820             -           4303         0 7625.4 809.6   1   9   2.9e-17   5.4e-14   47.8   0.2     1    51     1    60     1    63 0.91 | transcript=PVX_084160.1 | gene=PVX_084160 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr13:37121-59181(+) | protein_length=5639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084160.1-p1      -           5639 65at5820             -           4303         0 7625.4 809.6   2   9   7.4e-41   1.4e-37  126.1  11.6    57   158   283   406   269   410 0.87 | transcript=PVX_084160.1 | gene=PVX_084160 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr13:37121-59181(+) | protein_length=5639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084160.1-p1      -           5639 65at5820             -           4303         0 7625.4 809.6   3   9         0         0 3921.0 393.1   153  2194   453  2613   447  2619 0.97 | transcript=PVX_084160.1 | gene=PVX_084160 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr13:37121-59181(+) | protein_length=5639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084160.1-p1      -           5639 65at5820             -           4303         0 7625.4 809.6   4   9   4.3e-08     8e-05   17.3   0.5  2190  2216  2643  2669  2639  2680 0.86 | transcript=PVX_084160.1 | gene=PVX_084160 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr13:37121-59181(+) | protein_length=5639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084160.1-p1      -           5639 65at5820             -           4303         0 7625.4 809.6   5   9         0         0 1081.4  95.4  2213  2860  2716  3411  2709  3432 0.93 | transcript=PVX_084160.1 | gene=PVX_084160 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr13:37121-59181(+) | protein_length=5639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084160.1-p1      -           5639 65at5820             -           4303         0 7625.4 809.6   6   9         0         0 1772.2 191.7  2842  3872  3829  4987  3811  4990 0.92 | transcript=PVX_084160.1 | gene=PVX_084160 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr13:37121-59181(+) | protein_length=5639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084160.1-p1      -           5639 65at5820             -           4303         0 7625.4 809.6   7   9   5.3e-77   9.7e-74  246.1  21.0  3868  4011  5014  5161  5009  5167 0.97 | transcript=PVX_084160.1 | gene=PVX_084160 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr13:37121-59181(+) | protein_length=5639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084160.1-p1      -           5639 65at5820             -           4303         0 7625.4 809.6   8   9   8.6e-98   1.6e-94  315.1  23.1  4008  4219  5260  5493  5254  5503 0.90 | transcript=PVX_084160.1 | gene=PVX_084160 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr13:37121-59181(+) | protein_length=5639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084160.1-p1      -           5639 65at5820             -           4303         0 7625.4 809.6   9   9   5.1e-46   9.4e-43  143.2  13.7  4218  4303  5554  5639  5550  5639 0.99 | transcript=PVX_084160.1 | gene=PVX_084160 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr13:37121-59181(+) | protein_length=5639 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 65at5820             -           4303   7.8e-32  107.0 133.9   1  11         3   5.5e+03  -16.4  34.0   150   377   143   363    63   376 0.66 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111560.1-p1      -           5274 65at5820             -           4303   7.8e-32  107.0 133.9   2  11      0.76   1.4e+03   -6.7   7.4  1468  1571   469   581   455   618 0.69 | transcript=PVX_111560.1 | gene=PVX_111560 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein heavy chain, putative | transcript_product=dynein heavy chain, putative | location=Pv_Sal1_chr06:360352-376176(-) | protein_length=5274 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
