#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084970.1-p1      -            936 7873at5820           -            702  1.2e-257  855.0   0.0   1   1  1.5e-258  5.2e-256  849.6   0.0     2   690    11   909    10   931 0.76 | transcript=PVX_084970.1 | gene=PVX_084970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:815805-818912(+) | protein_length=936 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122670.1-p1      -            685 7873at5820           -            702   0.00013   18.6  13.3   1   3       3.1   1.1e+03   -4.2   2.4   157   195    12    46     2    62 0.36 | transcript=PVX_122670.1 | gene=PVX_122670 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | transcript_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | location=Pv_Sal1_chr14:768843-770900(+) | protein_length=685 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122670.1-p1      -            685 7873at5820           -            702   0.00013   18.6  13.3   2   3       5.6     2e+03   -5.1  11.6   463   542   327   403   308   417 0.25 | transcript=PVX_122670.1 | gene=PVX_122670 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | transcript_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | location=Pv_Sal1_chr14:768843-770900(+) | protein_length=685 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122670.1-p1      -            685 7873at5820           -            702   0.00013   18.6  13.3   3   3   3.8e-07   0.00013   18.6  13.3   125   276   423   613   416   623 0.64 | transcript=PVX_122670.1 | gene=PVX_122670 | organism=Plasmodium_vivax_Sal-1 | gene_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | transcript_product=U4/U6.U5 tri-snRNP-associated protein 2, putative | location=Pv_Sal1_chr14:768843-770900(+) | protein_length=685 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101345.1-p1      -            400 7873at5820           -            702   0.00018   18.2  29.8   1   2   5.3e-06    0.0018   14.8   2.2   167   301    74   211    57   215 0.44 | transcript=PVX_101345.1 | gene=PVX_101345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2813255-2814966(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101345.1-p1      -            400 7873at5820           -            702   0.00018   18.2  29.8   2   2    0.0003       0.1    9.1  20.0   135   221   240   314   219   362 0.39 | transcript=PVX_101345.1 | gene=PVX_101345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2813255-2814966(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113380.1-p1      -            709 7873at5820           -            702    0.0052   13.3   0.6   1   1   2.6e-05    0.0089   12.6   0.6   157   217   291   349   282   415 0.54 | transcript=PVX_113380.1 | gene=PVX_113380 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1854575-1856704(-) | protein_length=709 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 7873at5820           -            702    0.0054   13.3  49.8   1   2   4.6e-05     0.016   11.7  21.9   464   555   204   295   196   307 0.60 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090910.1-p1      -            630 7873at5820           -            702    0.0054   13.3  49.8   2   2     0.001      0.36    7.3  20.0   454   548   383   477   377   497 0.46 | transcript=PVX_090910.1 | gene=PVX_090910 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:88362-90254(+) | protein_length=630 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099530.1-p1      -           1015 7873at5820           -            702    0.0058   13.2   9.2   1   1   3.1e-05     0.011   12.3   9.2   171   205   487   520   470   589 0.55 | transcript=PVX_099530.1 | gene=PVX_099530 | organism=Plasmodium_vivax_Sal-1 | gene_product=para-aminobenzoic acid synthetase, putative | transcript_product=para-aminobenzoic acid synthetase, putative | location=Pv_Sal1_chr07:848808-852326(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101375.1-p1      -             58 7873at5820           -            702     0.009   12.6   9.0   1   1   2.8e-05    0.0097   12.5   9.0   506   551    14    55    10    58 0.27 | transcript=PVX_101375.1 | gene=PVX_101375 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr14:2835429-2835762(+) | protein_length=58 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
