#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098020.1-p1      -           1455 1309at5820           -           1140         0 2013.4 133.3   1   4     1e-57   1.4e-54  183.5   2.6     1    90    54   143    54   145 0.98 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1309at5820           -           1140         0 2013.4 133.3   2   4  1.2e-288  1.7e-285  948.3  48.6    91   639   177   758   175   764 0.94 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1309at5820           -           1140         0 2013.4 133.3   3   4  4.2e-121  5.8e-118  393.4  46.6   642   902   809  1085   789  1089 0.94 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098020.1-p1      -           1455 1309at5820           -           1140         0 2013.4 133.3   4   4  3.7e-155  5.1e-152  506.2  11.7   901  1140  1187  1424  1169  1424 0.94 | transcript=PVX_098020.1 | gene=PVX_098020 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromosome condensation protein, putative | transcript_product=chromosome condensation protein, putative | location=Pv_Sal1_chr10:966270-970637(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1309at5820           -           1140   8.5e-38  128.0  47.5   1   7   3.5e-22   4.8e-19   65.9  28.4     5   264   230   500   227   502 0.77 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1309at5820           -           1140   8.5e-38  128.0  47.5   2   7         4   5.5e+03  -15.0  37.8   711   995   426   715   418   716 0.65 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1309at5820           -           1140   8.5e-38  128.0  47.5   3   7         4   5.5e+03  -15.5  34.1   654   936   506   797   501   804 0.71 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1309at5820           -           1140   8.5e-38  128.0  47.5   4   7         4   5.5e+03   -9.7  21.4   374   548   676   864   636   874 0.64 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1309at5820           -           1140   8.5e-38  128.0  47.5   5   7         4   5.5e+03  -13.4  44.0   582   886   936  1246   925  1250 0.74 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1309at5820           -           1140   8.5e-38  128.0  47.5   6   7      0.33   4.6e+02   -3.6  25.1   709   851  1126  1267  1112  1289 0.85 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092140.1-p1      -           1613 1309at5820           -           1140   8.5e-38  128.0  47.5   7   7   8.2e-26   1.1e-22   77.9  11.0   922  1129  1378  1595  1365  1607 0.87 | transcript=PVX_092140.1 | gene=PVX_092140 | organism=Plasmodium_vivax_Sal-1 | gene_product=structural maintenance of chromosome protein, putative | transcript_product=structural maintenance of chromosome protein, putative | location=Pv_Sal1_chr09:1120094-1124935(-) | protein_length=1613 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
