#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117730.1-p1      -            411 6594at5820           -            351  9.6e-206  681.0  14.8   1   1  1.9e-208  1.3e-205  680.5  14.8     1   351     5   404     5   404 0.95 | transcript=PVX_117730.1 | gene=PVX_117730 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM3, putative | transcript_product=protein phosphatase PPM3, putative | location=Pv_Sal1_chr12:2101582-2104548(+) | protein_length=411 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000735.1-p1      -            953 6594at5820           -            351   2.8e-20   70.9   1.1   1   1   9.1e-23   6.3e-20   69.8   1.1    83   257   738   917   698   924 0.72 | transcript=PVX_000735.1 | gene=PVX_000735 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM1, putative | transcript_product=protein phosphatase PPM1, putative | location=Pv_Sal1_chr03:343230-346295(-) | protein_length=953 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092540.1-p1      -            872 6594at5820           -            351   7.3e-20   69.6   0.5   1   2      0.54   3.8e+02   -1.8   0.1   250   281    72   103    29   148 0.62 | transcript=PVX_092540.1 | gene=PVX_092540 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=Pv_Sal1_chr09:1472476-1475094(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092540.1-p1      -            872 6594at5820           -            351   7.3e-20   69.6   0.5   2   2   2.9e-22     2e-19   68.1   0.0    94   220   521   650   486   670 0.85 | transcript=PVX_092540.1 | gene=PVX_092540 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM2, putative | transcript_product=protein phosphatase PPM2, putative | location=Pv_Sal1_chr09:1472476-1475094(+) | protein_length=872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080240.1-p1      -            701 6594at5820           -            351   3.7e-19   67.3   4.3   1   4      0.16   1.1e+02   -0.1   0.0    20    42   178   200   169   254 0.71 | transcript=PVX_080240.1 | gene=PVX_080240 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM9, putative | transcript_product=protein phosphatase PPM9, putative | location=Pv_Sal1_chr10:496830-499734(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080240.1-p1      -            701 6594at5820           -            351   3.7e-19   67.3   4.3   2   4   5.3e-13   3.7e-10   37.7   0.1    74   156   451   534   439   543 0.83 | transcript=PVX_080240.1 | gene=PVX_080240 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM9, putative | transcript_product=protein phosphatase PPM9, putative | location=Pv_Sal1_chr10:496830-499734(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080240.1-p1      -            701 6594at5820           -            351   3.7e-19   67.3   4.3   3   4      0.02        14    2.9   0.0   164   190   568   592   564   598 0.86 | transcript=PVX_080240.1 | gene=PVX_080240 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM9, putative | transcript_product=protein phosphatase PPM9, putative | location=Pv_Sal1_chr10:496830-499734(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080240.1-p1      -            701 6594at5820           -            351   3.7e-19   67.3   4.3   4   4   5.4e-09   3.7e-06   24.5   0.2   199   254   645   701   631   701 0.83 | transcript=PVX_080240.1 | gene=PVX_080240 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM9, putative | transcript_product=protein phosphatase PPM9, putative | location=Pv_Sal1_chr10:496830-499734(-) | protein_length=701 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123245.1-p1      -            303 6594at5820           -            351   4.7e-18   63.6  10.0   1   1   9.2e-20   6.4e-17   59.9  10.0    47   254    62   301     8   303 0.62 | transcript=PVX_123245.1 | gene=PVX_123245 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM7, putative | transcript_product=protein phosphatase PPM7, putative | location=Pv_Sal1_chr14:1271816-1274314(+) | protein_length=303 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101355.1-p1      -           1106 6594at5820           -            351   3.2e-13   47.8   1.0   1   1   3.9e-15   2.7e-12   44.7   1.1    70   254   855  1071   838  1079 0.74 | transcript=PVX_101355.1 | gene=PVX_101355 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM4, putative | transcript_product=protein phosphatase PPM4, putative | location=Pv_Sal1_chr14:2819236-2822789(+) | protein_length=1106 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123260.1-p1      -            567 6594at5820           -            351   1.4e-10   39.1   0.6   1   1   3.8e-13   2.6e-10   38.2   0.6    93   236   371   533   354   563 0.68 | transcript=PVX_123260.1 | gene=PVX_123260 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=Pv_Sal1_chr14:1281486-1284883(+) | protein_length=567 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092365.1-p1      -            852 6594at5820           -            351   1.3e-05   22.7   0.8   1   2   1.2e-06   0.00085   16.8   0.1    74   149   589   670   571   675 0.76 | transcript=PVX_092365.1 | gene=PVX_092365 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=Pv_Sal1_chr09:1311591-1314149(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092365.1-p1      -            852 6594at5820           -            351   1.3e-05   22.7   0.8   2   2    0.0077       5.3    4.3   0.0   177   232   749   811   685   824 0.73 | transcript=PVX_092365.1 | gene=PVX_092365 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase PPM8, putative | transcript_product=protein phosphatase PPM8, putative | location=Pv_Sal1_chr09:1311591-1314149(-) | protein_length=852 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6594at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6594at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6594at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:38 2026
# [ok]
