#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2   1  14   6.5e-23     4e-20   69.7   3.7     1    76     1    77     1    95 0.79 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2   2  14  3.4e-135  2.1e-132  441.6  23.9    19   285    98   372    81   383 0.83 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2   3  14   0.00016     0.097    8.8   5.1   280   323   642   685   609   751 0.72 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2   4  14     3e-15   1.9e-12   44.3  14.8   312   369   875   933   837   952 0.80 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2   5  14   8.1e-06     0.005   13.1   5.0   353   402   953  1003   935  1042 0.77 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2   6  14   1.5e-71   9.1e-69  230.8   7.3   365   519  1081  1242  1059  1266 0.81 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2   7  14   1.5e-67   9.4e-65  217.5  12.7   513   652  1334  1475  1315  1547 0.80 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2   8  14         9   5.5e+03  -14.2  14.5   845   978  1688  1833  1679  1853 0.59 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2   9  14   1.8e-78   1.1e-75  253.8   3.2   680   842  1892  2063  1864  2077 0.85 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2  10  14    0.0081         5    3.1   0.0   822   842  2101  2121  2097  2131 0.83 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092570.1-p1      -           2828 470at5820            -           1231         0 1753.1 217.2  11  14    0.0012      0.74    5.9   1.1   841   866  2192  2217  2187  2264 0.88 | transcript=PVX_092570.1 | gene=PVX_092570 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:1515724-1524557(-) | protein_length=2828 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
