#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118655.1-p1      -            763 5491at5820           -            403  1.1e-197  655.2  63.9   1   4   1.6e-96   1.7e-93  312.1  25.2     1   184     1   191     1   218 0.89 | transcript=PVX_118655.1 | gene=PVX_118655 | organism=Plasmodium_vivax_Sal-1 | gene_product=bromodomain protein, putative | transcript_product=bromodomain protein, putative | location=Pv_Sal1_chr12:2947745-2950036(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118655.1-p1      -            763 5491at5820           -            403  1.1e-197  655.2  63.9   2   4   7.4e-27   8.2e-24   82.6   1.4   168   243   236   315   227   327 0.84 | transcript=PVX_118655.1 | gene=PVX_118655 | organism=Plasmodium_vivax_Sal-1 | gene_product=bromodomain protein, putative | transcript_product=bromodomain protein, putative | location=Pv_Sal1_chr12:2947745-2950036(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118655.1-p1      -            763 5491at5820           -            403  1.1e-197  655.2  63.9   3   4   3.1e-78   3.4e-75  251.8  11.9   234   381   468   615   439   625 0.95 | transcript=PVX_118655.1 | gene=PVX_118655 | organism=Plasmodium_vivax_Sal-1 | gene_product=bromodomain protein, putative | transcript_product=bromodomain protein, putative | location=Pv_Sal1_chr12:2947745-2950036(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118655.1-p1      -            763 5491at5820           -            403  1.1e-197  655.2  63.9   4   4   9.7e-10   1.1e-06   26.2   2.4   360   403   695   738   682   738 0.78 | transcript=PVX_118655.1 | gene=PVX_118655 | organism=Plasmodium_vivax_Sal-1 | gene_product=bromodomain protein, putative | transcript_product=bromodomain protein, putative | location=Pv_Sal1_chr12:2947745-2950036(-) | protein_length=763 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089200.1-p1      -           1521 5491at5820           -            403   7.8e-14   49.7   0.2   1   2      0.68   7.6e+02   -2.9   0.1   209   233  1100  1124  1062  1129 0.65 | transcript=PVX_089200.1 | gene=PVX_089200 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=Pv_Sal1_chr05:372793-378014(-) | protein_length=1521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089200.1-p1      -           1521 5491at5820           -            403   7.8e-14   49.7   0.2   2   2   7.1e-17   7.8e-14   49.7   0.2    36   107  1436  1507  1408  1514 0.88 | transcript=PVX_089200.1 | gene=PVX_089200 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone acetyltransferase GCN5, putative | transcript_product=histone acetyltransferase GCN5, putative | location=Pv_Sal1_chr05:372793-378014(-) | protein_length=1521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111040.1-p1      -            470 5491at5820           -            403   1.6e-12   45.5   1.5   1   1   2.7e-15     3e-12   44.5   1.5    24   119   329   427   316   465 0.79 | transcript=PVX_111040.1 | gene=PVX_111040 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:765454-767259(+) | protein_length=470 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 5491at5820           -            403   2.7e-07   28.2  12.5   1   2         5   5.5e+03  -11.0  14.2   162   270  1715  1824  1689  1841 0.75 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100657.1-p1      -           3388 5491at5820           -            403   2.7e-07   28.2  12.5   2   2   2.4e-10   2.7e-07   28.2  12.5     7   104  3192  3290  3185  3329 0.87 | transcript=PVX_100657.1 | gene=PVX_100657 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr14:2267888-2278054(+) | protein_length=3388 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081275.1-p1      -           1548 5491at5820           -            403   2.4e-06   25.1   0.5   1   1   4.5e-09     5e-06   24.0   0.5    46    96   851   901   843   925 0.87 | transcript=PVX_081275.1 | gene=PVX_081275 | organism=Plasmodium_vivax_Sal-1 | gene_product=bromodomain protein, putative | transcript_product=bromodomain protein, putative | location=Pv_Sal1_chr02:220272-225077(-) | protein_length=1548 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5491at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5491at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5491at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:55 2026
# [ok]
