#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101175.1-p1      -           1489 2950at5820           -            863         0 1482.5 111.3   1   6  1.7e-213  9.4e-211  700.5  31.7     5   361    64   447    60   450 0.93 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 2950at5820           -            863         0 1482.5 111.3   2   6   1.2e-99   6.6e-97  323.8  10.5   362   534   515   703   513   708 0.92 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 2950at5820           -            863         0 1482.5 111.3   3   6   4.3e-25   2.4e-22   77.1   3.8   527   583   774   838   770   845 0.89 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 2950at5820           -            863         0 1482.5 111.3   4   6   7.3e-56     4e-53  179.0  13.9   578   678   933  1033   923  1053 0.93 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 2950at5820           -            863         0 1482.5 111.3   5   6   1.1e-16   5.9e-14   49.4   0.2   699   758  1196  1273  1183  1282 0.78 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101175.1-p1      -           1489 2950at5820           -            863         0 1482.5 111.3   6   6   2.8e-56   1.5e-53  180.3  14.5   753   863  1372  1485  1357  1485 0.94 | transcript=PVX_101175.1 | gene=PVX_101175 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin motor domain containing protein | transcript_product=kinesin motor domain containing protein | location=Pv_Sal1_chr14:2690871-2695340(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095265.1-p1      -           1285 2950at5820           -            863   9.3e-45  151.3  23.5   1   2   2.7e-12   1.5e-09   34.8   1.1    52   144   508   608   487   617 0.77 | transcript=PVX_095265.1 | gene=PVX_095265 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr08:943814-947671(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095265.1-p1      -           1285 2950at5820           -            863   9.3e-45  151.3  23.5   2   2   2.1e-38   1.1e-35  121.2  16.3   178   498   609   931   607   939 0.80 | transcript=PVX_095265.1 | gene=PVX_095265 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr08:943814-947671(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 2950at5820           -            863   9.6e-40  134.7   9.5   1   5   6.6e-13   3.6e-10   36.8   0.1    70   143    78   151    47   154 0.92 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 2950at5820           -            863   9.6e-40  134.7   9.5   2   5   6.2e-35   3.4e-32  109.7   5.4   199   420   192   430   182   461 0.81 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084580.1-p1      -           1677 2950at5820           -            863   9.6e-40  134.7   9.5   3   5       4.5   2.5e+03   -5.6   2.7   788   817   851   880   848   892 0.55 | transcript=PVX_084580.1 | gene=PVX_084580 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-7, putative | transcript_product=kinesin-7, putative | location=Pv_Sal1_chr13:444830-450263(+) | protein_length=1677 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
