#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_119530.1-p1      -            540 5106at5820           -            489         0 1028.7  15.5   1   1         0         0 1028.5  15.5     1   489     1   527     1   527 0.97 | transcript=PVX_119530.1 | gene=PVX_119530 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=Pv_Sal1_chr08:1400038-1401841(+) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092215.1-p1      -            543 5106at5820           -            489   7.4e-80  267.4   9.8   1   1   3.4e-82   2.1e-79  265.9   9.8    18   487    12   532     1   534 0.86 | transcript=PVX_092215.1 | gene=PVX_092215 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=Pv_Sal1_chr09:1183648-1185521(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124100.1-p1      -            544 5106at5820           -            489   1.1e-74  250.4  15.8   1   1   3.1e-77   1.9e-74  249.6  15.8    17   486    19   526     7   528 0.88 | transcript=PVX_124100.1 | gene=PVX_124100 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=Pv_Sal1_chr14:2060440-2062271(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095220.1-p1      -            535 5106at5820           -            489   3.7e-74  248.6  19.1   1   1   7.9e-77   4.8e-74  248.2  19.1     8   486    11   529     7   532 0.87 | transcript=PVX_095220.1 | gene=PVX_095220 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=Pv_Sal1_chr08:911208-912815(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119465.1-p1      -            532 5106at5820           -            489   2.8e-70  235.8  12.2   1   1     6e-73   3.7e-70  235.4  12.2    10   487     8   523     2   525 0.83 | transcript=PVX_119465.1 | gene=PVX_119465 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=Pv_Sal1_chr08:1454037-1455635(+) | protein_length=532 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114865.1-p1      -            529 5106at5820           -            489   1.5e-61  207.0  17.6   1   1   3.6e-64   2.2e-61  206.5  17.6    24   486    25   526    14   528 0.84 | transcript=PVX_114865.1 | gene=PVX_114865 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit delta, putative | transcript_product=T-complex protein 1 subunit delta, putative | location=Pv_Sal1_chr11:565497-567817(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002835.1-p1      -            544 5106at5820           -            489   2.3e-48  163.5  27.7   1   1   5.5e-51   3.4e-48  163.0  27.7    18   486    22   523    10   526 0.81 | transcript=PVX_002835.1 | gene=PVX_002835 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=Pv_Sal1_chr04:312876-314760(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113595.1-p1      -            543 5106at5820           -            489     3e-38  130.2  18.5   1   1   8.3e-41   5.1e-38  129.4  18.5    19   487    16   534     1   536 0.79 | transcript=PVX_113595.1 | gene=PVX_113595 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=Pv_Sal1_chr11:1676200-1678047(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095000.1-p1      -            580 5106at5820           -            489   3.1e-14   51.0  11.0   1   2     2e-10   1.2e-07   29.2   2.5    26   216    46   244    32   263 0.75 | transcript=PVX_095000.1 | gene=PVX_095000 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=Pv_Sal1_chr08:723282-725290(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095000.1-p1      -            580 5106at5820           -            489   3.1e-14   51.0  11.0   2   2   1.1e-09   6.8e-07   26.7   1.4   336   483   403   549   357   554 0.84 | transcript=PVX_095000.1 | gene=PVX_095000 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=Pv_Sal1_chr08:723282-725290(-) | protein_length=580 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
