#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081435.1-p1      -           1208 2364at5820           -            889         0 1518.9  67.2   1   6  3.9e-182  1.1e-178  594.5  15.6     1   345     1   382     1   387 0.91 | transcript=PVX_081435.1 | gene=PVX_081435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein BMS1, putative | transcript_product=ribosome biogenesis protein BMS1, putative | location=Pv_Sal1_chr02:339475-343101(-) | protein_length=1208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081435.1-p1      -           1208 2364at5820           -            889         0 1518.9  67.2   2   6   7.6e-07    0.0021   14.5   0.0   343   366   421   444   419   452 0.90 | transcript=PVX_081435.1 | gene=PVX_081435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein BMS1, putative | transcript_product=ribosome biogenesis protein BMS1, putative | location=Pv_Sal1_chr02:339475-343101(-) | protein_length=1208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081435.1-p1      -           1208 2364at5820           -            889         0 1518.9  67.2   3   6   2.8e-18   7.6e-15   52.3   0.1   367   412   475   521   472   532 0.87 | transcript=PVX_081435.1 | gene=PVX_081435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein BMS1, putative | transcript_product=ribosome biogenesis protein BMS1, putative | location=Pv_Sal1_chr02:339475-343101(-) | protein_length=1208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081435.1-p1      -           1208 2364at5820           -            889         0 1518.9  67.2   4   6   1.9e-19   5.2e-16   56.2   0.0   407   455   622   670   618   672 0.95 | transcript=PVX_081435.1 | gene=PVX_081435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein BMS1, putative | transcript_product=ribosome biogenesis protein BMS1, putative | location=Pv_Sal1_chr02:339475-343101(-) | protein_length=1208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081435.1-p1      -           1208 2364at5820           -            889         0 1518.9  67.2   5   6   4.4e-18   1.2e-14   51.6   0.2   461   511   707   764   689   768 0.87 | transcript=PVX_081435.1 | gene=PVX_081435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein BMS1, putative | transcript_product=ribosome biogenesis protein BMS1, putative | location=Pv_Sal1_chr02:339475-343101(-) | protein_length=1208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081435.1-p1      -           1208 2364at5820           -            889         0 1518.9  67.2   6   6  9.8e-231  2.7e-227  755.3  33.1   510   889   803  1201   797  1201 0.96 | transcript=PVX_081435.1 | gene=PVX_081435 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein BMS1, putative | transcript_product=ribosome biogenesis protein BMS1, putative | location=Pv_Sal1_chr02:339475-343101(-) | protein_length=1208 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117885.1-p1      -           1004 2364at5820           -            889   2.6e-20   70.4  34.2   1   3   1.3e-15   3.7e-12   43.4  15.7     7   299    13   310     7   324 0.67 | transcript=PVX_117885.1 | gene=PVX_117885 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=Pv_Sal1_chr12:2224899-2227913(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117885.1-p1      -           1004 2364at5820           -            889   2.6e-20   70.4  34.2   2   3    0.0011       3.1    4.0   3.0   505   610   665   774   619   816 0.67 | transcript=PVX_117885.1 | gene=PVX_117885 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=Pv_Sal1_chr12:2224899-2227913(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117885.1-p1      -           1004 2364at5820           -            889   2.6e-20   70.4  34.2   3   3     1e-12   2.9e-09   33.9   0.9   657   751   882   976   869   980 0.94 | transcript=PVX_117885.1 | gene=PVX_117885 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=Pv_Sal1_chr12:2224899-2227913(+) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2364at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2364at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2364at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:17 2026
# [ok]
