#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_124100.1-p1      -            544 4738at5820           -            464  5.4e-279  923.8  26.3   1   2   5.1e-84   3.5e-81  271.5   0.5     1   136     1   140     1   151 0.95 | transcript=PVX_124100.1 | gene=PVX_124100 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=Pv_Sal1_chr14:2060440-2062271(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124100.1-p1      -            544 4738at5820           -            464  5.4e-279  923.8  26.3   2   2  2.8e-200  1.9e-197  654.9  19.8   127   464   150   532   136   532 0.94 | transcript=PVX_124100.1 | gene=PVX_124100 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=Pv_Sal1_chr14:2060440-2062271(+) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119530.1-p1      -            540 4738at5820           -            464   2.6e-60  202.7  13.2   1   2   1.1e-29   7.3e-27   92.5   1.8     9   146    10   149     6   160 0.90 | transcript=PVX_119530.1 | gene=PVX_119530 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=Pv_Sal1_chr08:1400038-1401841(+) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119530.1-p1      -            540 4738at5820           -            464   2.6e-60  202.7  13.2   2   2   1.4e-36   9.5e-34  115.2   5.0   130   458   157   524   152   528 0.79 | transcript=PVX_119530.1 | gene=PVX_119530 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=Pv_Sal1_chr08:1400038-1401841(+) | protein_length=540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095220.1-p1      -            535 4738at5820           -            464   5.7e-59  198.3  20.3   1   2   1.2e-30   8.1e-28   95.6   5.1    11   187    16   197     9   201 0.86 | transcript=PVX_095220.1 | gene=PVX_095220 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=Pv_Sal1_chr08:911208-912815(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095220.1-p1      -            535 4738at5820           -            464   5.7e-59  198.3  20.3   2   2   4.5e-34   3.1e-31  106.9  10.2   154   459   193   530   166   532 0.82 | transcript=PVX_095220.1 | gene=PVX_095220 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=Pv_Sal1_chr08:911208-912815(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114865.1-p1      -            529 4738at5820           -            464   3.3e-55  185.9  19.3   1   2     1e-32   7.1e-30  102.4   0.8    18   127    17   129     8   144 0.88 | transcript=PVX_114865.1 | gene=PVX_114865 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit delta, putative | transcript_product=T-complex protein 1 subunit delta, putative | location=Pv_Sal1_chr11:565497-567817(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114865.1-p1      -            529 4738at5820           -            464   3.3e-55  185.9  19.3   2   2   2.4e-28   1.7e-25   88.0  11.6   153   458   187   526   149   528 0.80 | transcript=PVX_114865.1 | gene=PVX_114865 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit delta, putative | transcript_product=T-complex protein 1 subunit delta, putative | location=Pv_Sal1_chr11:565497-567817(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092215.1-p1      -            543 4738at5820           -            464   6.5e-53  178.4  11.8   1   2   5.2e-34   3.6e-31  106.7   1.1    16   157     8   153     3   161 0.91 | transcript=PVX_092215.1 | gene=PVX_092215 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=Pv_Sal1_chr09:1183648-1185521(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092215.1-p1      -            543 4738at5820           -            464   6.5e-53  178.4  11.8   2   2   2.9e-24     2e-21   74.5   3.7   147   457   177   530   160   534 0.72 | transcript=PVX_092215.1 | gene=PVX_092215 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=Pv_Sal1_chr09:1183648-1185521(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119465.1-p1      -            532 4738at5820           -            464   6.3e-45  152.0  13.4   1   1   3.9e-45   2.7e-42  143.3  13.4    10   459     8   523     2   527 0.78 | transcript=PVX_119465.1 | gene=PVX_119465 | organism=Plasmodium_vivax_Sal-1 | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=Pv_Sal1_chr08:1454037-1455635(+) | protein_length=532 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
