#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091960.1-p1      -             86 14966at5820          -             76   4.5e-55  182.1   0.8   1   1   1.2e-57   5.1e-55  181.9   0.8     1    76     5    80     5    80 0.99 | transcript=PVX_091960.1 | gene=PVX_091960 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=Pv_Sal1_chr09:987614-988500(-) | protein_length=86 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116625.1-p1      -             77 14966at5820          -             76   1.1e-16   59.1   0.0   1   1   2.6e-19   1.1e-16   59.1   0.0     5    73     5    73     1    77 0.95 | transcript=PVX_116625.1 | gene=PVX_116625 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=Pv_Sal1_chr12:1152682-1152915(+) | protein_length=77 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091025.1-p1      -            127 14966at5820          -             76   6.7e-05   21.4   0.0   1   1   2.1e-07   9.1e-05   20.9   0.0    10    74     8    73     2    75 0.85 | transcript=PVX_091025.1 | gene=PVX_091025 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm4, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm4, putative | location=Pv_Sal1_chr09:179286-180121(+) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080230.1-p1      -            103 14966at5820          -             76   0.00016   20.1   0.0   1   1   4.7e-07    0.0002   19.8   0.0    16    47    15    46     4    73 0.78 | transcript=PVX_080230.1 | gene=PVX_080230 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm4, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm4, putative | location=Pv_Sal1_chr10:491219-491908(-) | protein_length=103 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083405.1-p1      -             94 14966at5820          -             76   0.00049   18.6   0.1   1   1   1.3e-06   0.00057   18.4   0.1    28    75    41    89    16    90 0.85 | transcript=PVX_083405.1 | gene=PVX_083405 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein E, putative | transcript_product=small nuclear ribonucleoprotein E, putative | location=Pv_Sal1_chr12:148064-148815(+) | protein_length=94 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089370.1-p1      -             91 14966at5820          -             76    0.0011   17.4   0.0   1   1   4.3e-06    0.0018   16.7   0.0     5    50     9    54     4    89 0.87 | transcript=PVX_089370.1 | gene=PVX_089370 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=Pv_Sal1_chr05:503744-504583(+) | protein_length=91 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089250.1-p1      -             83 14966at5820          -             76    0.0027   16.2   0.1   1   1   7.9e-06    0.0033   15.9   0.1    16    70    20    73     9    78 0.85 | transcript=PVX_089250.1 | gene=PVX_089250 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=Pv_Sal1_chr05:414681-415151(+) | protein_length=83 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091895.1-p1      -            127 14966at5820          -             76    0.0033   15.9   1.0   1   1   2.6e-05     0.011   14.2   1.0     8    70     5    77     2    83 0.78 | transcript=PVX_091895.1 | gene=PVX_091895 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein Sm D1, putative | transcript_product=small nuclear ribonucleoprotein Sm D1, putative | location=Pv_Sal1_chr09:931185-931568(-) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085710.1-p1      -            201 14966at5820          -             76    0.0035   15.9   0.1   1   1   2.5e-05     0.011   14.3   0.0    26    69    23    74     6    81 0.72 | transcript=PVX_085710.1 | gene=PVX_085710 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=Pv_Sal1_chr13:1446400-1447250(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118325.1-p1      -            101 14966at5820          -             76    0.0036   15.8   0.2   1   1   1.1e-05    0.0046   15.5   0.2     8    50    14    56     9    78 0.87 | transcript=PVX_118325.1 | gene=PVX_118325 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=Pv_Sal1_chr12:2603522-2604198(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084490.1-p1      -            107 14966at5820          -             76    0.0079   14.7   0.0   1   1   2.5e-05     0.011   14.3   0.0    15    52    25    62    12    71 0.88 | transcript=PVX_084490.1 | gene=PVX_084490 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=Pv_Sal1_chr13:360441-361222(+) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
