#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081230.1-p1      -            373 8923at5820           -            276  1.3e-159  528.1  27.4   1   1  2.1e-161  2.8e-158  523.7  27.4     7   276    86   373    80   373 0.94 | transcript=PVX_081230.1 | gene=PVX_081230 | organism=Plasmodium_vivax_Sal-1 | gene_product=UMP-CMP kinase, putative | transcript_product=UMP-CMP kinase, putative | location=Pv_Sal1_chr02:183054-184767(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094660.1-p1      -            242 8923at5820           -            276   3.3e-18   64.3   2.8   1   3   3.1e-12   4.3e-09   34.4   0.1    29   105    32   102    21   107 0.88 | transcript=PVX_094660.1 | gene=PVX_094660 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=Pv_Sal1_chr08:437259-438258(-) | protein_length=242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094660.1-p1      -            242 8923at5820           -            276   3.3e-18   64.3   2.8   2   3   6.3e-05     0.087   10.5   0.0   165   217   104   157    97   174 0.74 | transcript=PVX_094660.1 | gene=PVX_094660 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=Pv_Sal1_chr08:437259-438258(-) | protein_length=242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094660.1-p1      -            242 8923at5820           -            276   3.3e-18   64.3   2.8   3   3   7.9e-08   0.00011   20.0   0.2   220   268   187   235   169   240 0.87 | transcript=PVX_094660.1 | gene=PVX_094660 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=Pv_Sal1_chr08:437259-438258(-) | protein_length=242 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089565.1-p1      -            259 8923at5820           -            276   1.3e-12   46.0   0.1   1   3   4.8e-13   6.6e-10   37.1   0.1    24   108     6    96     1   101 0.77 | transcript=PVX_089565.1 | gene=PVX_089565 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=Pv_Sal1_chr05:668335-669114(-) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089565.1-p1      -            259 8923at5820           -            276   1.3e-12   46.0   0.1   2   3      0.08   1.1e+02    0.3   0.0   170   215   104   146    96   155 0.70 | transcript=PVX_089565.1 | gene=PVX_089565 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=Pv_Sal1_chr05:668335-669114(-) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089565.1-p1      -            259 8923at5820           -            276   1.3e-12   46.0   0.1   3   3    0.0029       4.1    5.0   0.0   219   269   200   248   186   254 0.82 | transcript=PVX_089565.1 | gene=PVX_089565 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 2, putative | transcript_product=adenylate kinase 2, putative | location=Pv_Sal1_chr05:668335-669114(-) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089735.1-p1      -            231 8923at5820           -            276   1.1e-09   36.4   3.5   1   3   6.5e-08     9e-05   20.3   0.1    20    73     1    52     1    82 0.73 | transcript=PVX_089735.1 | gene=PVX_089735 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 1, putative | transcript_product=adenylate kinase 1, putative | location=Pv_Sal1_chr05:793356-794051(-) | protein_length=231 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089735.1-p1      -            231 8923at5820           -            276   1.1e-09   36.4   3.5   2   3   1.9e-05     0.026   12.2   0.1   139   203    56   120    51   150 0.67 | transcript=PVX_089735.1 | gene=PVX_089735 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 1, putative | transcript_product=adenylate kinase 1, putative | location=Pv_Sal1_chr05:793356-794051(-) | protein_length=231 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089735.1-p1      -            231 8923at5820           -            276   1.1e-09   36.4   3.5   3   3    0.0025       3.5    5.2   0.2   211   254   165   207   162   221 0.83 | transcript=PVX_089735.1 | gene=PVX_089735 | organism=Plasmodium_vivax_Sal-1 | gene_product=adenylate kinase 1, putative | transcript_product=adenylate kinase 1, putative | location=Pv_Sal1_chr05:793356-794051(-) | protein_length=231 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8923at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8923at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8923at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:11 2026
# [ok]
