#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114825.1-p1      -            288 8961at5820           -            243  2.2e-153  506.9   0.1   1   1  2.7e-155  2.6e-153  506.7   0.1     1   243    17   285    17   285 0.96 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 8961at5820           -            243   5.8e-49  164.9   5.2   1   2   3.8e-48   3.5e-46  155.8   3.3     2   215   281   508   280   528 0.84 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 8961at5820           -            243   5.8e-49  164.9   5.2   2   2    0.0029      0.27    8.9   0.0   216   242   538   569   533   570 0.81 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094935.1-p1      -            325 8961at5820           -            243   8.9e-48  161.1   6.8   1   1   2.7e-49   2.5e-47  159.6   6.8    26   241    60   302    23   308 0.76 | transcript=PVX_094935.1 | gene=PVX_094935 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclin dependent kinase 7 (cdk7), putative | transcript_product=cyclin dependent kinase 7 (cdk7), putative | location=Pv_Sal1_chr08:666484-667461(+) | protein_length=325 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084965.1-p1      -            754 8961at5820           -            243   1.4e-41  140.8   1.6   1   1   3.7e-43   3.4e-41  139.5   1.6     1   239    33   301    33   305 0.77 | transcript=PVX_084965.1 | gene=PVX_084965 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=Pv_Sal1_chr13:811099-813363(+) | protein_length=754 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 8961at5820           -            243   1.4e-39  134.2   0.4   1   1   2.1e-41   1.9e-39  133.8   0.4     1   237   132   395   132   401 0.79 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 8961at5820           -            243   1.2e-38  131.2   1.5   1   2   6.1e-06   0.00057   17.6   0.2    12    50   631   675   620   677 0.79 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089720.1-p1      -           1573 8961at5820           -            243   1.2e-38  131.2   1.5   2   2   9.4e-34   8.8e-32  108.7   0.1    80   196   858   979   847  1053 0.87 | transcript=PVX_089720.1 | gene=PVX_089720 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr05:784803-789650(+) | protein_length=1573 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082785.1-p1      -            305 8961at5820           -            243   1.4e-38  130.9   3.4   1   1   2.8e-40   2.6e-38  130.1   3.4     1   240    22   286    22   289 0.79 | transcript=PVX_082785.1 | gene=PVX_082785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CDK-related protein kinase 6, putative | transcript_product=CDK-related protein kinase 6, putative | location=Pv_Sal1_chr12:697500-699601(-) | protein_length=305 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 8961at5820           -            243   2.4e-31  107.2   8.3   1   2   1.2e-16   1.1e-14   52.6   3.5    10   126   195   324   185   335 0.80 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091340.1-p1      -            575 8961at5820           -            243   2.4e-31  107.2   8.3   2   2   7.8e-16   7.3e-14   50.0   0.2   130   239   353   504   350   513 0.67 | transcript=PVX_091340.1 | gene=PVX_091340 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitogen-activated protein kinase 2, putative | transcript_product=mitogen-activated protein kinase 2, putative | location=Pv_Sal1_chr09:440196-441923(-) | protein_length=575 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 8961at5820           -            243   9.8e-30  102.0   2.0   1   3   0.00021      0.02   12.6   0.1     1    53    48   101    48   118 0.74 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 8961at5820           -            243   9.8e-30  102.0   2.0   2   3   0.00021     0.019   12.6   0.1    78   111   235   273   226   280 0.80 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089305.1-p1      -            800 8961at5820           -            243   9.8e-30  102.0   2.0   3   3   2.2e-23     2e-21   74.7   0.0   130   237   588   707   568   718 0.77 | transcript=PVX_089305.1 | gene=PVX_089305 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=Pv_Sal1_chr05:447665-450264(-) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091095.1-p1      -            335 8961at5820           -            243   2.3e-29  100.7   5.1   1   1   4.2e-31     4e-29  100.0   5.1     9   238    65   319    57   329 0.78 | transcript=PVX_091095.1 | gene=PVX_091095 | organism=Plasmodium_vivax_Sal-1 | gene_product=casein kinase 2, alpha subunit, putative | transcript_product=casein kinase 2, alpha subunit, putative | location=Pv_Sal1_chr09:261138-262145(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_252300-t26_1-p1  -            382 8961at5820           -            243   3.5e-29  100.2   5.0   1   1   6.2e-31   5.8e-29   99.5   5.0     9   238    65   319    57   329 0.78 | transcript=PVX_252300-t26_1 | gene=PVX_252300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000971:39-1187(+) | protein_length=382 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 8961at5820           -            243   9.7e-27   92.2   3.6   1   3     0.069       6.5    4.3   0.1    25    54    95   125    70   137 0.82 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 8961at5820           -            243   9.7e-27   92.2   3.6   2   3   2.7e-12   2.5e-10   38.4   0.1    35   149   141   267   131   274 0.81 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113910.1-p1      -            806 8961at5820           -            243   9.7e-27   92.2   3.6   3   3     1e-14   9.6e-13   46.3   0.1   152   239   479   585   472   590 0.70 | transcript=PVX_113910.1 | gene=PVX_113910 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-like protein kinase, putative | transcript_product=cdc2-like protein kinase, putative | location=Pv_Sal1_chr11:1397033-1399453(-) | protein_length=806 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 8961at5820           -            243   3.5e-26   90.4   2.5   1   1   1.1e-27   1.1e-25   88.8   2.6    22   240   112   320   104   323 0.84 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 8961at5820           -            243   3.2e-25   87.2   4.5   1   2     1e-26   9.5e-25   85.7   2.2    27   195   155   328   130   333 0.86 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 8961at5820           -            243   3.2e-25   87.2   4.5   2   2      0.37        34    2.0   0.1   211   235   325   349   315   356 0.79 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091375.1-p1      -            708 8961at5820           -            243   6.2e-23   79.7   2.1   1   2   1.9e-24   1.7e-22   78.2   0.8    14   188   401   587   388   595 0.81 | transcript=PVX_091375.1 | gene=PVX_091375 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase PRP4K, putative | transcript_product=serine/threonine-protein kinase PRP4K, putative | location=Pv_Sal1_chr09:465008-468816(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091375.1-p1      -            708 8961at5820           -            243   6.2e-23   79.7   2.1   2   2       1.7   1.6e+02   -0.2   0.0   222   238   671   687   660   695 0.84 | transcript=PVX_091375.1 | gene=PVX_091375 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase PRP4K, putative | transcript_product=serine/threonine-protein kinase PRP4K, putative | location=Pv_Sal1_chr09:465008-468816(+) | protein_length=708 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 8961at5820           -            243   7.5e-23   79.4   2.9   1   1   3.4e-24   3.2e-22   77.4   2.9    17   238   108   320    85   325 0.77 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 8961at5820           -            243   1.9e-22   78.1   1.2   1   1   3.7e-24   3.5e-22   77.3   1.2     4   188   137   329   134   365 0.84 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
