#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_100545.1-p1      -            539 6844at5820           -            398  2.5e-200  663.9  10.1   1   3   6.4e-65   1.2e-61  207.3   2.6     5   122    32   149    30   151 0.98 | transcript=PVX_100545.1 | gene=PVX_100545 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr14:2183100-2184926(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100545.1-p1      -            539 6844at5820           -            398  2.5e-200  663.9  10.1   2   3   2.9e-91   5.3e-88  294.0   2.2   121   290   198   367   195   370 0.95 | transcript=PVX_100545.1 | gene=PVX_100545 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr14:2183100-2184926(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100545.1-p1      -            539 6844at5820           -            398  2.5e-200  663.9  10.1   3   3   6.6e-52   1.2e-48  164.4   0.0   264   398   394   539   387   539 0.92 | transcript=PVX_100545.1 | gene=PVX_100545 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr14:2183100-2184926(-) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113350.1-p1      -            495 6844at5820           -            398   3.4e-18   64.1  21.2   1   5   8.5e-05      0.16    9.3   3.7    27    99    11    79     6   107 0.78 | transcript=PVX_113350.1 | gene=PVX_113350 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr11:1888197-1889684(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113350.1-p1      -            495 6844at5820           -            398   3.4e-18   64.1  21.2   2   5   1.9e-09   3.5e-06   24.6   0.4   109   197   123   209   101   214 0.79 | transcript=PVX_113350.1 | gene=PVX_113350 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr11:1888197-1889684(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113350.1-p1      -            495 6844at5820           -            398   3.4e-18   64.1  21.2   3   5   0.00055         1    6.6   0.0   206   231   247   272   232   280 0.82 | transcript=PVX_113350.1 | gene=PVX_113350 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr11:1888197-1889684(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113350.1-p1      -            495 6844at5820           -            398   3.4e-18   64.1  21.2   4   5   0.00014      0.26    8.5   0.1   234   255   359   380   330   391 0.73 | transcript=PVX_113350.1 | gene=PVX_113350 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr11:1888197-1889684(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113350.1-p1      -            495 6844at5820           -            398   3.4e-18   64.1  21.2   5   5   2.7e-09     5e-06   24.1   1.4   293   398   396   495   384   495 0.86 | transcript=PVX_113350.1 | gene=PVX_113350 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=Pv_Sal1_chr11:1888197-1889684(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081300.1-p1      -            569 6844at5820           -            398   1.2e-10   39.3   0.9   1   3      0.24   4.4e+02   -2.1   0.7    57    57   279   279   234   358 0.57 | transcript=PVX_081300.1 | gene=PVX_081300 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=Pv_Sal1_chr02:238364-240073(-) | protein_length=569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081300.1-p1      -            569 6844at5820           -            398   1.2e-10   39.3   0.9   2   3      0.14   2.7e+02   -1.4   0.0   296   342   373   419   364   429 0.76 | transcript=PVX_081300.1 | gene=PVX_081300 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=Pv_Sal1_chr02:238364-240073(-) | protein_length=569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081300.1-p1      -            569 6844at5820           -            398   1.2e-10   39.3   0.9   3   3   2.3e-13   4.3e-10   37.5   0.0   112   260   422   566   399   569 0.80 | transcript=PVX_081300.1 | gene=PVX_081300 | organism=Plasmodium_vivax_Sal-1 | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=Pv_Sal1_chr02:238364-240073(-) | protein_length=569 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6844at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6844at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6844at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:51 2026
# [ok]
