#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079772.1-p1      -           1821 2424at5820           -            906         0 1387.9 240.8   1  10   1.9e-39     1e-35  121.4   3.6     7    79    93   165    89   173 0.94 | transcript=PVX_079772.1 | gene=PVX_079772 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:85859-91324(-) | protein_length=1821 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079772.1-p1      -           1821 2424at5820           -            906         0 1387.9 240.8   2  10   1.9e-38   1.1e-34  118.0  16.5    72   178   214   342   203   349 0.82 | transcript=PVX_079772.1 | gene=PVX_079772 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:85859-91324(-) | protein_length=1821 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079772.1-p1      -           1821 2424at5820           -            906         0 1387.9 240.8   3  10   4.6e-17   2.5e-13   47.3   4.6   167   217   360   410   354   431 0.84 | transcript=PVX_079772.1 | gene=PVX_079772 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:85859-91324(-) | protein_length=1821 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079772.1-p1      -           1821 2424at5820           -            906         0 1387.9 240.8   4  10   6.9e-16   3.8e-12   43.4   4.2   209   248   450   489   442   515 0.86 | transcript=PVX_079772.1 | gene=PVX_079772 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:85859-91324(-) | protein_length=1821 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079772.1-p1      -           1821 2424at5820           -            906         0 1387.9 240.8   5  10  6.3e-247  3.5e-243  807.9 103.9   244   690   521   969   513   975 0.97 | transcript=PVX_079772.1 | gene=PVX_079772 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:85859-91324(-) | protein_length=1821 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079772.1-p1      -           1821 2424at5820           -            906         0 1387.9 240.8   6  10   9.9e-07    0.0055   13.1  15.4   678   793  1035  1157  1028  1163 0.64 | transcript=PVX_079772.1 | gene=PVX_079772 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:85859-91324(-) | protein_length=1821 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079772.1-p1      -           1821 2424at5820           -            906         0 1387.9 240.8   7  10     3e-15   1.7e-11   41.3   3.9   711   756  1258  1303  1241  1326 0.83 | transcript=PVX_079772.1 | gene=PVX_079772 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:85859-91324(-) | protein_length=1821 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079772.1-p1      -           1821 2424at5820           -            906         0 1387.9 240.8   8  10    0.0057        32    0.6   0.1   749   766  1335  1352  1319  1356 0.79 | transcript=PVX_079772.1 | gene=PVX_079772 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:85859-91324(-) | protein_length=1821 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079772.1-p1      -           1821 2424at5820           -            906         0 1387.9 240.8   9  10   2.7e-22   1.5e-18   64.6  11.2   749   817  1538  1606  1506  1627 0.83 | transcript=PVX_079772.1 | gene=PVX_079772 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:85859-91324(-) | protein_length=1821 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079772.1-p1      -           1821 2424at5820           -            906         0 1387.9 240.8  10  10   1.2e-57   6.7e-54  181.6  10.1   806   906  1719  1819  1696  1819 0.95 | transcript=PVX_079772.1 | gene=PVX_079772 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:85859-91324(-) | protein_length=1821 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2424at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
