#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_088165.1-p1      -           1392 3833at5820           -            544  5.1e-186  617.8  86.1   1   9   1.7e-27   4.7e-24   83.2   0.0     1    58    47   104    47   116 0.94 | transcript=PVX_088165.1 | gene=PVX_088165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:469043-473913(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088165.1-p1      -           1392 3833at5820           -            544  5.1e-186  617.8  86.1   2   9   3.1e-63   8.7e-60  201.1   7.6    55   191   136   290   133   303 0.86 | transcript=PVX_088165.1 | gene=PVX_088165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:469043-473913(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088165.1-p1      -           1392 3833at5820           -            544  5.1e-186  617.8  86.1   3   9       0.1   2.9e+02   -1.9   4.8   182   210   454   482   451   486 0.84 | transcript=PVX_088165.1 | gene=PVX_088165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:469043-473913(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088165.1-p1      -           1392 3833at5820           -            544  5.1e-186  617.8  86.1   4   9   4.3e-09   1.2e-05   22.5   0.0   215   239   522   546   514   550 0.87 | transcript=PVX_088165.1 | gene=PVX_088165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:469043-473913(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088165.1-p1      -           1392 3833at5820           -            544  5.1e-186  617.8  86.1   5   9   9.9e-47   2.7e-43  146.7   2.1   240   346   585   711   579   713 0.89 | transcript=PVX_088165.1 | gene=PVX_088165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:469043-473913(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088165.1-p1      -           1392 3833at5820           -            544  5.1e-186  617.8  86.1   6   9   6.2e-15   1.7e-11   41.7   0.3   343   385   832   874   826   902 0.80 | transcript=PVX_088165.1 | gene=PVX_088165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:469043-473913(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088165.1-p1      -           1392 3833at5820           -            544  5.1e-186  617.8  86.1   7   9   3.4e-06    0.0093   12.9   0.5   383   408   910   935   891   945 0.86 | transcript=PVX_088165.1 | gene=PVX_088165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:469043-473913(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088165.1-p1      -           1392 3833at5820           -            544  5.1e-186  617.8  86.1   8   9   1.7e-09   4.7e-06   23.8   5.4   406   445  1093  1137  1088  1142 0.85 | transcript=PVX_088165.1 | gene=PVX_088165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:469043-473913(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088165.1-p1      -           1392 3833at5820           -            544  5.1e-186  617.8  86.1   9   9   4.2e-37   1.1e-33  114.9  18.2   433   544  1225  1359  1209  1359 0.86 | transcript=PVX_088165.1 | gene=PVX_088165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:469043-473913(+) | protein_length=1392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123105.1-p1      -            699 3833at5820           -            544   1.9e-06   25.1   0.3   1   5     7e-10   1.9e-06   25.1   0.3     9   149     3   128     1   136 0.79 | transcript=PVX_123105.1 | gene=PVX_123105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1133640-1137090(+) | protein_length=699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123105.1-p1      -            699 3833at5820           -            544   1.9e-06   25.1   0.3   2   5      0.12   3.3e+02   -2.1   0.0   238   268   226   258   216   263 0.76 | transcript=PVX_123105.1 | gene=PVX_123105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1133640-1137090(+) | protein_length=699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123105.1-p1      -            699 3833at5820           -            544   1.9e-06   25.1   0.3   3   5         2   5.5e+03  -11.2  13.1   458   508   308   357   260   377 0.44 | transcript=PVX_123105.1 | gene=PVX_123105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1133640-1137090(+) | protein_length=699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123105.1-p1      -            699 3833at5820           -            544   1.9e-06   25.1   0.3   4   5         2   5.5e+03  -11.4  19.3   429   527   433   517   413   535 0.52 | transcript=PVX_123105.1 | gene=PVX_123105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1133640-1137090(+) | protein_length=699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123105.1-p1      -            699 3833at5820           -            544   1.9e-06   25.1   0.3   5   5         2   5.5e+03   -9.6  18.8   361   443   580   662   545   695 0.43 | transcript=PVX_123105.1 | gene=PVX_123105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1133640-1137090(+) | protein_length=699 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3833at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3833at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3833at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:57 2026
# [ok]
