#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113500.1-p1      -           1899 841at5820            -            990         0 1435.4  68.3   1  10  1.7e-153  9.2e-150  498.6   8.3     1   294     1   330     1   337 0.90 | transcript=PVX_113500.1 | gene=PVX_113500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1756043-1761953(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113500.1-p1      -           1899 841at5820            -            990         0 1435.4  68.3   2  10  3.2e-101   1.8e-97  325.6   3.4   294   476   373   583   367   632 0.86 | transcript=PVX_113500.1 | gene=PVX_113500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1756043-1761953(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113500.1-p1      -           1899 841at5820            -            990         0 1435.4  68.3   3  10   5.8e-17   3.2e-13   46.7   1.9   510   553   968  1011   961  1023 0.85 | transcript=PVX_113500.1 | gene=PVX_113500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1756043-1761953(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113500.1-p1      -           1899 841at5820            -            990         0 1435.4  68.3   4  10   6.6e-10   3.7e-06   23.3   1.8   544   576  1043  1078  1009  1083 0.71 | transcript=PVX_113500.1 | gene=PVX_113500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1756043-1761953(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113500.1-p1      -           1899 841at5820            -            990         0 1435.4  68.3   5  10   1.4e-08   7.5e-05   19.0   0.0   573   601  1192  1220  1187  1230 0.90 | transcript=PVX_113500.1 | gene=PVX_113500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1756043-1761953(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113500.1-p1      -           1899 841at5820            -            990         0 1435.4  68.3   6  10   1.1e-12   5.8e-09   32.6   0.0   599   644  1250  1295  1242  1299 0.92 | transcript=PVX_113500.1 | gene=PVX_113500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1756043-1761953(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113500.1-p1      -           1899 841at5820            -            990         0 1435.4  68.3   7  10   4.4e-16   2.4e-12   43.8   0.4   644   711  1325  1397  1322  1401 0.91 | transcript=PVX_113500.1 | gene=PVX_113500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1756043-1761953(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113500.1-p1      -           1899 841at5820            -            990         0 1435.4  68.3   8  10   1.2e-62   6.9e-59  197.8   1.0   696   820  1425  1555  1413  1560 0.93 | transcript=PVX_113500.1 | gene=PVX_113500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1756043-1761953(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113500.1-p1      -           1899 841at5820            -            990         0 1435.4  68.3   9  10     3e-82   1.6e-78  262.8   2.4   818   962  1668  1812  1662  1835 0.92 | transcript=PVX_113500.1 | gene=PVX_113500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1756043-1761953(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113500.1-p1      -           1899 841at5820            -            990         0 1435.4  68.3  10  10   4.3e-08   0.00024   17.3   0.3   965   990  1858  1883  1844  1883 0.90 | transcript=PVX_113500.1 | gene=PVX_113500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1756043-1761953(+) | protein_length=1899 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
