#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_115445.1-p1      -            176 12801at5820          -            151   6.2e-90  297.2  15.0   1   1   1.3e-92   7.1e-90  297.0  15.0     1   151     1   157     1   157 0.97 | transcript=PVX_115445.1 | gene=PVX_115445 | organism=Plasmodium_vivax_Sal-1 | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=Pv_Sal1_chr11:55010-56353(+) | protein_length=176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111085.1-p1      -            317 12801at5820          -            151     1e-14   53.0  41.0   1   5    0.0009       0.5    8.6   1.8    94   127    25    58     9    63 0.78 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111085.1-p1      -            317 12801at5820          -            151     1e-14   53.0  41.0   2   5   2.5e-09   1.4e-06   26.7  19.6     7   123    29   142    25   143 0.93 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111085.1-p1      -            317 12801at5820          -            151     1e-14   53.0  41.0   3   5   2.7e-09   1.5e-06   26.5   8.9    20    99    86   162    81   164 0.91 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111085.1-p1      -            317 12801at5820          -            151     1e-14   53.0  41.0   4   5   2.8e-07   0.00016   20.0   5.8    25   117   135   223   134   229 0.81 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111085.1-p1      -            317 12801at5820          -            151     1e-14   53.0  41.0   5   5     2e-05     0.011   14.0   7.5    53   140   208   298   205   307 0.79 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 12801at5820          -            151   6.1e-10   37.5  60.1   1   6     0.035        19    3.4   6.4    41   119    30   106     4   110 0.84 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 12801at5820          -            151   6.1e-10   37.5  60.1   2   6   1.5e-07   8.4e-05   20.8   2.7    42   149   120   233   108   235 0.81 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 12801at5820          -            151   6.1e-10   37.5  60.1   3   6     0.008       4.4    5.5   0.2    81   114   807   840   787   883 0.63 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 12801at5820          -            151   6.1e-10   37.5  60.1   4   6     0.036        20    3.4  11.1     8   138  1001  1130   995  1141 0.77 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 12801at5820          -            151   6.1e-10   37.5  60.1   5   6   0.00041      0.23    9.7   1.7    39   111  1191  1270  1165  1275 0.66 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 12801at5820          -            151   6.1e-10   37.5  60.1   6   6   1.9e-07   0.00011   20.5   3.1    41   140  1271  1366  1262  1375 0.87 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
