#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122510.1-p1      -           3304 286at5820            -           2124         0 2917.3 266.0   1  14  1.6e-121  8.8e-118  393.0  24.7     2   270    13   292    12   300 0.96 | transcript=PVX_122510.1 | gene=PVX_122510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:640173-650223(-) | protein_length=3304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122510.1-p1      -           3304 286at5820            -           2124         0 2917.3 266.0   2  14   2.4e-52   1.3e-48  163.6  11.9   267   382   359   478   349   487 0.91 | transcript=PVX_122510.1 | gene=PVX_122510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:640173-650223(-) | protein_length=3304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122510.1-p1      -           3304 286at5820            -           2124         0 2917.3 266.0   3  14   5.1e-61   2.8e-57  192.3  11.0   388   528   535   682   531   693 0.94 | transcript=PVX_122510.1 | gene=PVX_122510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:640173-650223(-) | protein_length=3304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122510.1-p1      -           3304 286at5820            -           2124         0 2917.3 266.0   4  14  1.1e-124  5.8e-121  403.5  30.2   520   734   831  1046   820  1052 0.97 | transcript=PVX_122510.1 | gene=PVX_122510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:640173-650223(-) | protein_length=3304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122510.1-p1      -           3304 286at5820            -           2124         0 2917.3 266.0   5  14   3.4e-70   1.9e-66  222.8  28.8   738   897  1092  1276  1086  1279 0.85 | transcript=PVX_122510.1 | gene=PVX_122510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:640173-650223(-) | protein_length=3304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122510.1-p1      -           3304 286at5820            -           2124         0 2917.3 266.0   6  14   9.8e-15   5.4e-11   38.8   0.0   895   943  1384  1433  1381  1436 0.93 | transcript=PVX_122510.1 | gene=PVX_122510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:640173-650223(-) | protein_length=3304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122510.1-p1      -           3304 286at5820            -           2124         0 2917.3 266.0   7  14   2.2e-60   1.2e-56  190.2  21.1   941  1091  1459  1632  1451  1649 0.86 | transcript=PVX_122510.1 | gene=PVX_122510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:640173-650223(-) | protein_length=3304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122510.1-p1      -           3304 286at5820            -           2124         0 2917.3 266.0   8  14   3.1e-39   1.7e-35  120.1   0.1  1093  1185  1767  1862  1755  1868 0.93 | transcript=PVX_122510.1 | gene=PVX_122510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:640173-650223(-) | protein_length=3304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122510.1-p1      -           3304 286at5820            -           2124         0 2917.3 266.0   9  14   7.6e-98   4.2e-94  314.4  12.9  1187  1422  1915  2197  1911  2208 0.90 | transcript=PVX_122510.1 | gene=PVX_122510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:640173-650223(-) | protein_length=3304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122510.1-p1      -           3304 286at5820            -           2124         0 2917.3 266.0  10  14   3.6e-77     2e-73  245.9   6.6  1418  1583  2279  2476  2277  2489 0.87 | transcript=PVX_122510.1 | gene=PVX_122510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:640173-650223(-) | protein_length=3304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122510.1-p1      -           3304 286at5820            -           2124         0 2917.3 266.0  11  14   4.6e-74   2.5e-70  235.6  18.4  1584  1735  2528  2693  2525  2705 0.92 | transcript=PVX_122510.1 | gene=PVX_122510 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:640173-650223(-) | protein_length=3304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
