#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087785.1-p1      -           1270 2272at5820           -            703  4.1e-286  949.3  71.7   1   7  1.1e-134    3e-131  437.4  21.7     1   282     1   333     1   344 0.88 | transcript=PVX_087785.1 | gene=PVX_087785 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:160057-163869(-) | protein_length=1270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087785.1-p1      -           1270 2272at5820           -            703  4.1e-286  949.3  71.7   2   7   9.7e-26   2.7e-22   77.3   0.0   267   379   399   543   386   546 0.77 | transcript=PVX_087785.1 | gene=PVX_087785 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:160057-163869(-) | protein_length=1270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087785.1-p1      -           1270 2272at5820           -            703  4.1e-286  949.3  71.7   3   7   4.5e-19   1.2e-15   55.3   1.0   379   415   592   636   588   644 0.91 | transcript=PVX_087785.1 | gene=PVX_087785 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:160057-163869(-) | protein_length=1270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087785.1-p1      -           1270 2272at5820           -            703  4.1e-286  949.3  71.7   4   7     3e-51   8.2e-48  161.7   2.1   418   516   662   760   651   777 0.90 | transcript=PVX_087785.1 | gene=PVX_087785 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:160057-163869(-) | protein_length=1270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087785.1-p1      -           1270 2272at5820           -            703  4.1e-286  949.3  71.7   5   7   6.8e-09   1.9e-05   21.6   0.6   511   544   862   895   849   925 0.84 | transcript=PVX_087785.1 | gene=PVX_087785 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:160057-163869(-) | protein_length=1270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087785.1-p1      -           1270 2272at5820           -            703  4.1e-286  949.3  71.7   6   7   2.5e-31   6.9e-28   95.8   2.1   567   641  1099  1178  1095  1191 0.88 | transcript=PVX_087785.1 | gene=PVX_087785 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:160057-163869(-) | protein_length=1270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087785.1-p1      -           1270 2272at5820           -            703  4.1e-286  949.3  71.7   7   7   3.2e-40     9e-37  125.2   4.5   634   703  1200  1269  1189  1269 0.93 | transcript=PVX_087785.1 | gene=PVX_087785 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:160057-163869(-) | protein_length=1270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094695.1-p1      -            402 2272at5820           -            703   3.5e-08   30.7   9.2   1   2     0.024        65    0.0   9.5    56   169   106   222    74   277 0.66 | transcript=PVX_094695.1 | gene=PVX_094695 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=Pv_Sal1_chr08:456062-457270(+) | protein_length=402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094695.1-p1      -            402 2272at5820           -            703   3.5e-08   30.7   9.2   2   2   1.3e-11   3.5e-08   30.7   9.2   389   480   284   355   273   398 0.66 | transcript=PVX_094695.1 | gene=PVX_094695 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2C, putative | transcript_product=protein phosphatase 2C, putative | location=Pv_Sal1_chr08:456062-457270(+) | protein_length=402 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2272at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2272at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2272at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:03 2026
# [ok]
