#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081250.1-p1      -           1488 1087at5820           -            852         0 1459.9  85.7   1   7   0.00026      0.13    8.5   0.0     7    36    40    73    36    85 0.79 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 1087at5820           -            852         0 1459.9  85.7   2   7      0.16        83   -0.8   0.0    36    51   171   186   166   202 0.87 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 1087at5820           -            852         0 1459.9  85.7   3   7   1.6e-17   7.9e-15   52.2   3.1    45    99   227   282   200   289 0.85 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 1087at5820           -            852         0 1459.9  85.7   4   7   1.2e-13   6.2e-11   39.3   0.2    89   135   336   387   316   395 0.81 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 1087at5820           -            852         0 1459.9  85.7   5   7     1e-07     5e-05   19.8   2.3   146   198   661   721   652   725 0.76 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 1087at5820           -            852         0 1459.9  85.7   6   7         0         0 1023.3  19.7   194   633   783  1223   768  1238 0.97 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081250.1-p1      -           1488 1087at5820           -            852         0 1459.9  85.7   7   7  5.3e-104  2.7e-101  338.3  28.6   633   852  1257  1479  1252  1479 0.98 | transcript=PVX_081250.1 | gene=PVX_081250 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr02:197352-202456(+) | protein_length=1488 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095265.1-p1      -           1285 1087at5820           -            852   5.5e-89  297.5  19.2   1   1   1.7e-91   8.4e-89  296.9  19.2   205   607   507   898   486   939 0.85 | transcript=PVX_095265.1 | gene=PVX_095265 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-8, putative | transcript_product=kinesin-8, putative | location=Pv_Sal1_chr08:943814-947671(-) | protein_length=1285 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 1087at5820           -            852   5.8e-67  224.7  29.4   1   3   1.7e-24   8.8e-22   75.2   3.7   192   311    10   121     3   126 0.92 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 1087at5820           -            852   5.8e-67  224.7  29.4   2   3   1.4e-51   6.8e-49  164.9  17.9   338   631   233   516   228   560 0.80 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095355.1-p1      -           1377 1087at5820           -            852   5.8e-67  224.7  29.4   3   3       1.1   5.5e+02   -3.5  11.7   695   808   797   918   777   940 0.65 | transcript=PVX_095355.1 | gene=PVX_095355 | organism=Plasmodium_vivax_Sal-1 | gene_product=kinesin-5 | transcript_product=kinesin-5 | location=Pv_Sal1_chr08:1035420-1039732(+) | protein_length=1377 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
