#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117675.1-p1      -           1607 521at5820            -           1406         0 2688.3  71.2   1   2         0         0 2556.0  34.6     5  1291    17  1412    13  1440 0.96 | transcript=PVX_117675.1 | gene=PVX_117675 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr12:2055302-2060273(-) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117675.1-p1      -           1607 521at5820            -           1406         0 2688.3  71.2   2   2   4.6e-44   6.3e-41  138.0  28.7  1270  1406  1452  1607  1438  1607 0.85 | transcript=PVX_117675.1 | gene=PVX_117675 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr12:2055302-2060273(-) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118650.1-p1      -           1626 521at5820            -           1406  6.1e-140  466.2  73.3   1   2  2.4e-127  3.4e-124  414.0  27.2     9   784    18   843    11   854 0.86 | transcript=PVX_118650.1 | gene=PVX_118650 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr12:2941457-2946337(+) | protein_length=1626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118650.1-p1      -           1626 521at5820            -           1406  6.1e-140  466.2  73.3   2   2   8.5e-19   1.2e-15   54.3  38.1   820  1385   927  1588   913  1592 0.70 | transcript=PVX_118650.1 | gene=PVX_118650 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr12:2941457-2946337(+) | protein_length=1626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 521at5820            -           1406   2.4e-26   89.7   3.6   1   4   3.9e-05     0.054    9.0   0.0   715   777   309   370   291   396 0.80 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 521at5820            -           1406   2.4e-26   89.7   3.6   2   4   7.5e-07     0.001   14.7   0.1   693   786   692   785   678   795 0.73 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 521at5820            -           1406   2.4e-26   89.7   3.6   3   4   3.8e-15   5.2e-12   42.2   0.2   688   796  1086  1199  1077  1204 0.86 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 521at5820            -           1406   2.4e-26   89.7   3.6   4   4   8.4e-09   1.2e-05   21.2   0.0   711   785  1221  1293  1207  1304 0.84 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081330.1-p1      -           1087 521at5820            -           1406   2.2e-06   23.6   0.1   1   1   2.4e-09   3.3e-06   23.0   0.1   696   782   752   842   732   845 0.80 | transcript=PVX_081330.1 | gene=PVX_081330 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr02:251199-254666(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/521at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/521at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/521at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:54 2026
# [ok]
