#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092985.1-p1      -           1423 999at5820            -            930         0 1916.5 127.3   1   4   8.4e-90   2.6e-87  292.2  26.0     1   178    13   195    13   205 0.96 | transcript=PVX_092985.1 | gene=PVX_092985 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr09:1903094-1907365(-) | protein_length=1423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092985.1-p1      -           1423 999at5820            -            930         0 1916.5 127.3   2   4      0.32        98   -1.0   0.0   170   186   231   247   226   259 0.82 | transcript=PVX_092985.1 | gene=PVX_092985 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr09:1903094-1907365(-) | protein_length=1423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092985.1-p1      -           1423 999at5820            -            930         0 1916.5 127.3   3   4  9.8e-174    3e-171  570.0  50.2   183   481   445   751   431   777 0.96 | transcript=PVX_092985.1 | gene=PVX_092985 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr09:1903094-1907365(-) | protein_length=1423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092985.1-p1      -           1423 999at5820            -            930         0 1916.5 127.3   4   4         0         0 1067.9  32.4   477   930   970  1423   877  1423 0.97 | transcript=PVX_092985.1 | gene=PVX_092985 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr09:1903094-1907365(-) | protein_length=1423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079950.1-p1      -            288 999at5820            -            930   2.3e-20   70.6   0.6   1   1   8.7e-23   2.7e-20   70.4   0.6   657   867    15   216    10   263 0.83 | transcript=PVX_079950.1 | gene=PVX_079950 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase Nek1, putative | transcript_product=serine/threonine-protein kinase Nek1, putative | location=Pv_Sal1_chr10:235807-238034(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114825.1-p1      -            288 999at5820            -            930   1.2e-17   61.7   0.2   1   1   4.9e-20   1.5e-17   61.3   0.2   706   858    50   196    15   202 0.88 | transcript=PVX_114825.1 | gene=PVX_114825 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase Crk2 | transcript_product=protein kinase Crk2 | location=Pv_Sal1_chr11:595173-596905(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124045.1-p1      -            998 999at5820            -            930   2.1e-16   57.6   3.5   1   1   1.5e-17   4.5e-15   53.1   3.5   705   924    61   298    12   302 0.71 | transcript=PVX_124045.1 | gene=PVX_124045 | organism=Plasmodium_vivax_Sal-1 | gene_product=NIMA-related protein kinase (Pfnek-1), putative | transcript_product=NIMA-related protein kinase (Pfnek-1), putative | location=Pv_Sal1_chr14:1997153-2000322(+) | protein_length=998 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 999at5820            -            930   7.5e-16   55.7   6.0   1   2   2.4e-18   7.5e-16   55.7   6.0   653   860   266   467   261   487 0.84 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089980.1-p1      -            612 999at5820            -            930   7.5e-16   55.7   6.0   2   2     0.031       9.4    2.4   0.3   874   927   514   572   493   575 0.72 | transcript=PVX_089980.1 | gene=PVX_089980 | organism=Plasmodium_vivax_Sal-1 | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=Pv_Sal1_chr05:1000516-1002354(-) | protein_length=612 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 999at5820            -            930   1.7e-13   47.9   3.1   1   2   5.5e-16   1.7e-13   47.9   3.1   715   873  1756  1911  1734  1925 0.79 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003590.1-p1      -           2125 999at5820            -            930   1.7e-13   47.9   3.1   2   2       8.5   2.6e+03   -5.7   1.7   347   378  1976  2007  1972  2010 0.81 | transcript=PVX_003590.1 | gene=PVX_003590 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-specific protein kinase, putative | transcript_product=serine/threonine-specific protein kinase, putative | location=Pv_Sal1_chr04:748723-755100(+) | protein_length=2125 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113435.1-p1      -            354 999at5820            -            930   1.5e-12   44.8   1.1   1   1   5.9e-15   1.8e-12   44.5   1.1   702   870    78   247    48   311 0.68 | transcript=PVX_113435.1 | gene=PVX_113435 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr11:1813663-1815198(-) | protein_length=354 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 999at5820            -            930   5.6e-12   42.9   1.8   1   2   1.8e-14   5.6e-12   42.9   1.8   658   858   123   317   101   325 0.72 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119725.1-p1      -            494 999at5820            -            930   5.6e-12   42.9   1.8   2   2       3.2     1e+03   -4.3   0.2   216   258   345   387   344   389 0.74 | transcript=PVX_119725.1 | gene=PVX_119725 | organism=Plasmodium_vivax_Sal-1 | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=Pv_Sal1_chr08:1236943-1239427(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
