#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114875.1-p1      -           2075 1083at5820           -           1203         0 1957.8 175.7   1   9  1.2e-107  6.7e-104  347.0  45.2     1   226    25   275    25   280 0.90 | transcript=PVX_114875.1 | gene=PVX_114875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:555888-562274(+) | protein_length=2075 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114875.1-p1      -           2075 1083at5820           -           1203         0 1957.8 175.7   2   9   5.2e-16   2.9e-12   43.5   0.1   225   261   405   444   398   451 0.89 | transcript=PVX_114875.1 | gene=PVX_114875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:555888-562274(+) | protein_length=2075 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114875.1-p1      -           2075 1083at5820           -           1203         0 1957.8 175.7   3   9     4e-18   2.2e-14   50.5   2.2   259   295   490   526   487   540 0.91 | transcript=PVX_114875.1 | gene=PVX_114875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:555888-562274(+) | protein_length=2075 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114875.1-p1      -           2075 1083at5820           -           1203         0 1957.8 175.7   4   9   1.8e-10     1e-06   25.1   4.0   291   342   596   661   578   671 0.74 | transcript=PVX_114875.1 | gene=PVX_114875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:555888-562274(+) | protein_length=2075 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114875.1-p1      -           2075 1083at5820           -           1203         0 1957.8 175.7   5   9  2.4e-145  1.3e-141  471.9  28.5   349   615   770  1053   759  1058 0.96 | transcript=PVX_114875.1 | gene=PVX_114875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:555888-562274(+) | protein_length=2075 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114875.1-p1      -           2075 1083at5820           -           1203         0 1957.8 175.7   6   9  3.9e-123  2.2e-119  398.3  11.5   617   806  1125  1314  1114  1317 0.98 | transcript=PVX_114875.1 | gene=PVX_114875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:555888-562274(+) | protein_length=2075 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114875.1-p1      -           2075 1083at5820           -           1203         0 1957.8 175.7   7   9  4.7e-145  2.6e-141  470.9  18.3   802  1045  1417  1675  1392  1679 0.93 | transcript=PVX_114875.1 | gene=PVX_114875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:555888-562274(+) | protein_length=2075 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114875.1-p1      -           2075 1083at5820           -           1203         0 1957.8 175.7   8   9   1.2e-54   6.4e-51  171.5   7.9  1045  1168  1760  1903  1756  1912 0.88 | transcript=PVX_114875.1 | gene=PVX_114875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:555888-562274(+) | protein_length=2075 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114875.1-p1      -           2075 1083at5820           -           1203         0 1957.8 175.7   9   9   1.3e-08     7e-05   19.0   0.7  1158  1202  2026  2074  2011  2075 0.77 | transcript=PVX_114875.1 | gene=PVX_114875 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:555888-562274(+) | protein_length=2075 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1083at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1083at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1083at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:27 2026
# [ok]
