#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001025.1-p1      -            353 7798at5820           -            253  2.7e-109  362.8  22.5   1   1    1e-111  6.4e-109  361.5  22.5     8   252    55   345    34   346 0.86 | transcript=PVX_001025.1 | gene=PVX_001025 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr03:93628-94689(-) | protein_length=353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 7798at5820           -            253   2.2e-43  146.8  59.1   1   9    0.0014      0.85    7.3   0.6    93   191   379   480   349   539 0.63 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 7798at5820           -            253   2.2e-43  146.8  59.1   2   9   2.9e-13   1.8e-10   39.0   3.0    65   244   727   913   718   921 0.73 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 7798at5820           -            253   2.2e-43  146.8  59.1   3   9   2.8e-09   1.7e-06   25.9   2.1    90   243  1061  1207  1055  1210 0.71 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 7798at5820           -            253   2.2e-43  146.8  59.1   4   9   8.9e-07   0.00055   17.8   0.6    30   154  1128  1253  1123  1265 0.75 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 7798at5820           -            253   2.2e-43  146.8  59.1   5   9   2.5e-10   1.5e-07   29.4   1.3   105   242  1528  1664  1480  1668 0.67 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 7798at5820           -            253   2.2e-43  146.8  59.1   6   9   1.2e-08   7.5e-06   23.9   0.1   125   206  1836  1915  1817  1937 0.82 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 7798at5820           -            253   2.2e-43  146.8  59.1   7   9      0.83   5.1e+02   -1.8   0.0   155   178  2107  2130  2089  2150 0.77 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 7798at5820           -            253   2.2e-43  146.8  59.1   8   9     2e-12   1.2e-09   36.3   2.0    64   243  2210  2423  2184  2433 0.63 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003905.1-p1      -           2748 7798at5820           -            253   2.2e-43  146.8  59.1   9   9   1.7e-05     0.011   13.5   4.5    43   202  2491  2664  2460  2711 0.68 | transcript=PVX_003905.1 | gene=PVX_003905 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:501978-510224(-) | protein_length=2748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003900.1-p1      -           2215 7798at5820           -            253   1.4e-33  114.7  54.9   1   7     0.025        15    3.2   0.0   102   191   209   296   194   305 0.78 | transcript=PVX_003900.1 | gene=PVX_003900 | organism=Plasmodium_vivax_Sal-1 | gene_product=6-cysteine protein | transcript_product=6-cysteine protein | location=Pv_Sal1_chr04:511963-518610(-) | protein_length=2215 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
