#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079970.1-p1      -           1617 1487at5820           -            996         0 1432.6  89.7   1   9   3.9e-45   4.3e-42  142.6   4.9     1    96    24   130    24   135 0.93 | transcript=PVX_079970.1 | gene=PVX_079970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:246624-251477(+) | protein_length=1617 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079970.1-p1      -           1617 1487at5820           -            996         0 1432.6  89.7   2   9   9.4e-58     1e-54  184.3   1.4    97   211   156   282   152   288 0.89 | transcript=PVX_079970.1 | gene=PVX_079970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:246624-251477(+) | protein_length=1617 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079970.1-p1      -           1617 1487at5820           -            996         0 1432.6  89.7   3   9   1.2e-38   1.3e-35  121.1   0.4   207   296   320   416   306   421 0.90 | transcript=PVX_079970.1 | gene=PVX_079970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:246624-251477(+) | protein_length=1617 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079970.1-p1      -           1617 1487at5820           -            996         0 1432.6  89.7   4   9   1.3e-55   1.5e-52  177.2   5.3   289   421   503   667   493   669 0.82 | transcript=PVX_079970.1 | gene=PVX_079970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:246624-251477(+) | protein_length=1617 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079970.1-p1      -           1617 1487at5820           -            996         0 1432.6  89.7   5   9   4.6e-71   5.1e-68  228.4  11.6   431   582   727   902   720   903 0.89 | transcript=PVX_079970.1 | gene=PVX_079970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:246624-251477(+) | protein_length=1617 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079970.1-p1      -           1617 1487at5820           -            996         0 1432.6  89.7   6   9     4e-59   4.4e-56  188.9   9.1   581   690   958  1077   955  1087 0.91 | transcript=PVX_079970.1 | gene=PVX_079970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:246624-251477(+) | protein_length=1617 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079970.1-p1      -           1617 1487at5820           -            996         0 1432.6  89.7   7   9   1.4e-74   1.6e-71  240.0   3.0   692   845  1161  1321  1154  1330 0.94 | transcript=PVX_079970.1 | gene=PVX_079970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:246624-251477(+) | protein_length=1617 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079970.1-p1      -           1617 1487at5820           -            996         0 1432.6  89.7   8   9   1.4e-55   1.6e-52  177.1   1.2   847   976  1401  1558  1396  1563 0.87 | transcript=PVX_079970.1 | gene=PVX_079970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:246624-251477(+) | protein_length=1617 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079970.1-p1      -           1617 1487at5820           -            996         0 1432.6  89.7   9   9   3.1e-05     0.034   10.5   0.0   976   996  1594  1614  1588  1614 0.92 | transcript=PVX_079970.1 | gene=PVX_079970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:246624-251477(+) | protein_length=1617 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 1487at5820           -            996   1.3e-07   28.4   6.4   1   3   4.9e-10   5.4e-07   26.4   3.6   141   296    40   189    26   196 0.81 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 1487at5820           -            996   1.3e-07   28.4   6.4   2   3     0.055        61   -0.3   0.0   910   945   199   234   167   255 0.83 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
