#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116655.1-p1      -           4440 175at5820            -           2707         0 2783.1 122.4   1  25   3.5e-64     2e-60  202.5   4.7     1   161     5   182     5   188 0.89 | transcript=PVX_116655.1 | gene=PVX_116655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1173110-1186754(+) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116655.1-p1      -           4440 175at5820            -           2707         0 2783.1 122.4   2  25   3.1e-15   1.7e-11   40.1   0.0   161   221   261   335   259   345 0.89 | transcript=PVX_116655.1 | gene=PVX_116655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1173110-1186754(+) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116655.1-p1      -           4440 175at5820            -           2707         0 2783.1 122.4   3  25    0.0019        11    1.0   0.0   220   250   367   397   361   399 0.91 | transcript=PVX_116655.1 | gene=PVX_116655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1173110-1186754(+) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116655.1-p1      -           4440 175at5820            -           2707         0 2783.1 122.4   4  25   3.3e-06     0.018   10.2   0.0   249   277   441   469   436   487 0.90 | transcript=PVX_116655.1 | gene=PVX_116655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1173110-1186754(+) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116655.1-p1      -           4440 175at5820            -           2707         0 2783.1 122.4   5  25   1.9e-11     1e-07   27.6   0.0   349   384   655   690   574   693 0.79 | transcript=PVX_116655.1 | gene=PVX_116655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1173110-1186754(+) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116655.1-p1      -           4440 175at5820            -           2707         0 2783.1 122.4   6  25     3e-26   1.7e-22   76.7   0.1   385   523   718   921   714   939 0.75 | transcript=PVX_116655.1 | gene=PVX_116655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1173110-1186754(+) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116655.1-p1      -           4440 175at5820            -           2707         0 2783.1 122.4   7  25     2e-30   1.1e-26   90.5   0.0   537   684  1022  1198  1020  1209 0.81 | transcript=PVX_116655.1 | gene=PVX_116655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1173110-1186754(+) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116655.1-p1      -           4440 175at5820            -           2707         0 2783.1 122.4   8  25   2.6e-21   1.4e-17   60.3   0.0   670   752  1228  1301  1222  1305 0.82 | transcript=PVX_116655.1 | gene=PVX_116655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1173110-1186754(+) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116655.1-p1      -           4440 175at5820            -           2707         0 2783.1 122.4   9  25   1.4e-54   7.5e-51  170.7   4.2   716   873  1315  1509  1310  1514 0.84 | transcript=PVX_116655.1 | gene=PVX_116655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1173110-1186754(+) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116655.1-p1      -           4440 175at5820            -           2707         0 2783.1 122.4  10  25   8.8e-83   4.8e-79  264.2   5.0   871  1052  1547  1735  1542  1739 0.94 | transcript=PVX_116655.1 | gene=PVX_116655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1173110-1186754(+) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116655.1-p1      -           4440 175at5820            -           2707         0 2783.1 122.4  11  25   7.2e-24     4e-20   68.8   0.0  1049  1121  1767  1845  1764  1855 0.86 | transcript=PVX_116655.1 | gene=PVX_116655 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1173110-1186754(+) | protein_length=4440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
