#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_086100.1-p1      -           1222 2123at5820           -            973         0 1788.7  56.7   1   2   2.7e-60   4.9e-57  191.6  11.4     1   169     1   227     1   248 0.91 | transcript=PVX_086100.1 | gene=PVX_086100 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent Clp protease, putative | transcript_product=ATP-dependent Clp protease, putative | location=Pv_Sal1_chr13:1826035-1829703(-) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086100.1-p1      -           1222 2123at5820           -            973         0 1788.7  56.7   2   2         0         0 1600.2  37.3   170   972   282  1221   261  1222 0.97 | transcript=PVX_086100.1 | gene=PVX_086100 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent Clp protease, putative | transcript_product=ATP-dependent Clp protease, putative | location=Pv_Sal1_chr13:1826035-1829703(-) | protein_length=1222 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089580.1-p1      -           1051 2123at5820           -            973  2.1e-141  470.9  17.9   1   4     0.031        57   -0.6   0.0    73   115   242   284   230   314 0.76 | transcript=PVX_089580.1 | gene=PVX_089580 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=Pv_Sal1_chr05:675424-678579(+) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089580.1-p1      -           1051 2123at5820           -            973  2.1e-141  470.9  17.9   2   4   2.2e-72     4e-69  231.6   0.0   311   551   312   554   275   581 0.91 | transcript=PVX_089580.1 | gene=PVX_089580 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=Pv_Sal1_chr05:675424-678579(+) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089580.1-p1      -           1051 2123at5820           -            973  2.1e-141  470.9  17.9   3   4   1.6e-62     3e-59  198.9   1.1   584   786   717   920   671   927 0.89 | transcript=PVX_089580.1 | gene=PVX_089580 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=Pv_Sal1_chr05:675424-678579(+) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089580.1-p1      -           1051 2123at5820           -            973  2.1e-141  470.9  17.9   4   4     3e-16   5.5e-13   45.8   6.0   836   955   928  1043   922  1047 0.93 | transcript=PVX_089580.1 | gene=PVX_089580 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone protein ClpB1, putative | transcript_product=chaperone protein ClpB1, putative | location=Pv_Sal1_chr05:675424-678579(+) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091470.1-p1      -            905 2123at5820           -            973  9.1e-116  386.0  44.6   1   4     0.011        21    0.8   3.9   158   234    82   158    27   199 0.65 | transcript=PVX_091470.1 | gene=PVX_091470 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=Pv_Sal1_chr09:545689-548926(-) | protein_length=905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091470.1-p1      -            905 2123at5820           -            973  9.1e-116  386.0  44.6   2   4   3.5e-62   6.4e-59  197.8  21.6   234   631   111   520   105   530 0.81 | transcript=PVX_091470.1 | gene=PVX_091470 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=Pv_Sal1_chr09:545689-548926(-) | protein_length=905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091470.1-p1      -            905 2123at5820           -            973  9.1e-116  386.0  44.6   3   4   3.2e-56   5.9e-53  178.1   0.5   618   785   591   759   529   774 0.92 | transcript=PVX_091470.1 | gene=PVX_091470 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=Pv_Sal1_chr09:545689-548926(-) | protein_length=905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091470.1-p1      -            905 2123at5820           -            973  9.1e-116  386.0  44.6   4   4   1.5e-08   2.8e-05   20.3   6.2   833   922   775   860   768   902 0.84 | transcript=PVX_091470.1 | gene=PVX_091470 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 101, putative | transcript_product=heat shock protein 101, putative | location=Pv_Sal1_chr09:545689-548926(-) | protein_length=905 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
