#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097625.1-p1      -            487 8505at5820           -            437  7.5e-182  603.1  70.0   1   1  1.6e-183  9.1e-181  599.6  70.0     1   437     1   487     1   487 0.89 | transcript=PVX_097625.1 | gene=PVX_097625 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 8, putative | transcript_product=merozoite surface protein 8, putative | location=Pv_Sal1_chr10:1290568-1292031(+) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114145.1-p1      -            479 8505at5820           -            437     1e-17   62.2  24.1   1   3     0.014       7.7    3.4   3.1     2    87     7   102     6   171 0.50 | transcript=PVX_114145.1 | gene=PVX_114145 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 10, putative | transcript_product=merozoite surface protein 10, putative | location=Pv_Sal1_chr11:1214886-1216325(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114145.1-p1      -            479 8505at5820           -            437     1e-17   62.2  24.1   2   3        10   5.5e+03  -15.5  26.0    34    96   204   271   127   356 0.65 | transcript=PVX_114145.1 | gene=PVX_114145 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 10, putative | transcript_product=merozoite surface protein 10, putative | location=Pv_Sal1_chr11:1214886-1216325(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114145.1-p1      -            479 8505at5820           -            437     1e-17   62.2  24.1   3   3   1.9e-20     1e-17   62.2  24.1   319   435   359   477   329   479 0.80 | transcript=PVX_114145.1 | gene=PVX_114145 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 10, putative | transcript_product=merozoite surface protein 10, putative | location=Pv_Sal1_chr11:1214886-1216325(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099975.1-p1      -           1856 8505at5820           -            437     2e-14   51.4  12.1   1   4       3.8   2.1e+03   -4.7   2.5    76   142   321   387   293   402 0.42 | transcript=PVX_099975.1 | gene=PVX_099975 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 paralog | transcript_product=merozoite surface protein 1 paralog | location=Pv_Sal1_chr07:1149266-1154836(+) | protein_length=1856 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099975.1-p1      -           1856 8505at5820           -            437     2e-14   51.4  12.1   2   4       2.2   1.2e+03   -3.9   7.9    44   173  1162  1300  1152  1343 0.64 | transcript=PVX_099975.1 | gene=PVX_099975 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 paralog | transcript_product=merozoite surface protein 1 paralog | location=Pv_Sal1_chr07:1149266-1154836(+) | protein_length=1856 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099975.1-p1      -           1856 8505at5820           -            437     2e-14   51.4  12.1   3   4        10   5.5e+03  -11.1  11.0    30   173  1473  1628  1441  1664 0.53 | transcript=PVX_099975.1 | gene=PVX_099975 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 paralog | transcript_product=merozoite surface protein 1 paralog | location=Pv_Sal1_chr07:1149266-1154836(+) | protein_length=1856 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099975.1-p1      -           1856 8505at5820           -            437     2e-14   51.4  12.1   4   4   3.7e-17     2e-14   51.4  12.1   330   433  1752  1853  1740  1855 0.89 | transcript=PVX_099975.1 | gene=PVX_099975 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 paralog | transcript_product=merozoite surface protein 1 paralog | location=Pv_Sal1_chr07:1149266-1154836(+) | protein_length=1856 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099980.1-p1      -           1751 8505at5820           -            437   4.7e-14   50.2   6.2   1   6     0.013       7.3    3.4   0.6     7    51     7    70     1    84 0.77 | transcript=PVX_099980.1 | gene=PVX_099980 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=Pv_Sal1_chr07:1157742-1162997(+) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099980.1-p1      -           1751 8505at5820           -            437   4.7e-14   50.2   6.2   2   6        10   5.5e+03  -12.7  21.2    56   182   536   670   440   701 0.51 | transcript=PVX_099980.1 | gene=PVX_099980 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=Pv_Sal1_chr07:1157742-1162997(+) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099980.1-p1      -           1751 8505at5820           -            437   4.7e-14   50.2   6.2   3   6       2.5   1.4e+03   -4.0   6.7    79   143   868   928   847   945 0.64 | transcript=PVX_099980.1 | gene=PVX_099980 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=Pv_Sal1_chr07:1157742-1162997(+) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
