#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118650.1-p1      -           1626 585at5820            -           1351         0 2650.6  99.5   1   3         0         0 2379.4  55.0     2  1156    18  1247    17  1251 0.96 | transcript=PVX_118650.1 | gene=PVX_118650 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr12:2941457-2946337(+) | protein_length=1626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118650.1-p1      -           1626 585at5820            -           1351         0 2650.6  99.5   2   3   1.9e-07   0.00027   16.8   0.9  1170  1206  1344  1380  1310  1394 0.86 | transcript=PVX_118650.1 | gene=PVX_118650 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr12:2941457-2946337(+) | protein_length=1626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118650.1-p1      -           1626 585at5820            -           1351         0 2650.6  99.5   3   3   1.7e-80   2.4e-77  258.9  28.4  1188  1351  1435  1623  1426  1623 0.88 | transcript=PVX_118650.1 | gene=PVX_118650 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr12:2941457-2946337(+) | protein_length=1626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117675.1-p1      -           1607 585at5820            -           1351  1.7e-131  438.2  26.1   1   3  1.3e-134  1.7e-131  438.2  26.1     7  1077    27  1113    20  1185 0.83 | transcript=PVX_117675.1 | gene=PVX_117675 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr12:2055302-2060273(-) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117675.1-p1      -           1607 585at5820            -           1351  1.7e-131  438.2  26.1   2   3     0.001       1.4    4.5   0.5   971  1088  1219  1339  1188  1364 0.75 | transcript=PVX_117675.1 | gene=PVX_117675 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr12:2055302-2060273(-) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117675.1-p1      -           1607 585at5820            -           1351  1.7e-131  438.2  26.1   3   3       1.1   1.5e+03   -5.6  19.5  1248  1328  1495  1582  1463  1590 0.73 | transcript=PVX_117675.1 | gene=PVX_117675 | organism=Plasmodium_vivax_Sal-1 | gene_product=LCCL domain-containing protein | transcript_product=LCCL domain-containing protein | location=Pv_Sal1_chr12:2055302-2060273(-) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 585at5820            -           1351     2e-18   63.6  17.2   1   5   3.3e-05     0.045    9.5   0.1   753   813   312   379   300   385 0.75 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 585at5820            -           1351     2e-18   63.6  17.2   2   5      0.02        28    0.2   1.1   630   671   461   503   458   508 0.84 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 585at5820            -           1351     2e-18   63.6  17.2   3   5    0.0001      0.14    7.8   0.1   751   814   716   784   692   810 0.68 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 585at5820            -           1351     2e-18   63.6  17.2   4   5   1.5e-05     0.021   10.5   0.1   730   783  1091  1150  1073  1178 0.78 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086080.1-p1      -           1306 585at5820            -           1351     2e-18   63.6  17.2   5   5   1.5e-15   2.1e-12   43.7   0.1   746   814  1221  1293  1208  1300 0.86 | transcript=PVX_086080.1 | gene=PVX_086080 | organism=Plasmodium_vivax_Sal-1 | gene_product=multidomain scavenger receptor, putative | transcript_product=multidomain scavenger receptor, putative | location=Pv_Sal1_chr13:1811170-1815090(-) | protein_length=1306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
