#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081700.1-p1      -           1943 1365at5820           -            980         0 1523.9 139.1   1   9   5.3e-52   2.9e-48  162.9   3.7     1   103     1   103     1   113 0.98 | transcript=PVX_081700.1 | gene=PVX_081700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:573688-579519(+) | protein_length=1943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081700.1-p1      -           1943 1365at5820           -            980         0 1523.9 139.1   2   9   1.7e-39   9.6e-36  121.5   1.6   103   190   147   234   133   238 0.95 | transcript=PVX_081700.1 | gene=PVX_081700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:573688-579519(+) | protein_length=1943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081700.1-p1      -           1943 1365at5820           -            980         0 1523.9 139.1   3   9   1.7e-06    0.0096   12.3   0.0   190   224   326   361   320   370 0.84 | transcript=PVX_081700.1 | gene=PVX_081700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:573688-579519(+) | protein_length=1943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081700.1-p1      -           1943 1365at5820           -            980         0 1523.9 139.1   4   9   2.6e-25   1.4e-21   74.6   4.3   227   296   446   518   428   530 0.88 | transcript=PVX_081700.1 | gene=PVX_081700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:573688-579519(+) | protein_length=1943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081700.1-p1      -           1943 1365at5820           -            980         0 1523.9 139.1   5   9   1.2e-14   6.5e-11   39.3   2.5   284   349   530   614   516   620 0.75 | transcript=PVX_081700.1 | gene=PVX_081700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:573688-579519(+) | protein_length=1943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081700.1-p1      -           1943 1365at5820           -            980         0 1523.9 139.1   6   9   3.6e-50     2e-46  156.9  12.1   345   445   698   798   670   812 0.86 | transcript=PVX_081700.1 | gene=PVX_081700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:573688-579519(+) | protein_length=1943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081700.1-p1      -           1943 1365at5820           -            980         0 1523.9 139.1   7   9   8.6e-96   4.8e-92  307.9  26.9   444   612  1261  1429  1257  1439 0.98 | transcript=PVX_081700.1 | gene=PVX_081700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:573688-579519(+) | protein_length=1943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081700.1-p1      -           1943 1365at5820           -            980         0 1523.9 139.1   8   9  7.7e-125  4.2e-121  404.0  23.4   610   825  1494  1711  1488  1715 0.97 | transcript=PVX_081700.1 | gene=PVX_081700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:573688-579519(+) | protein_length=1943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081700.1-p1      -           1943 1365at5820           -            980         0 1523.9 139.1   9   9   1.4e-88   7.9e-85  284.0  11.7   838   980  1801  1943  1792  1943 0.98 | transcript=PVX_081700.1 | gene=PVX_081700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:573688-579519(+) | protein_length=1943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1365at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1365at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1365at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:31:02 2026
# [ok]
