#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082820.1-p1      -            563 4925at5820           -            472    1e-292  969.2  37.4   1   2   1.1e-18   8.7e-17   59.4   2.7     1    47    32    79    32    87 0.89 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 4925at5820           -            472    1e-292  969.2  37.4   2   2    2e-278  1.6e-276  915.8  26.9    38   472    92   561    88   561 0.95 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 4925at5820           -            472  1.2e-120  401.8   7.4   1   1    2e-122  1.6e-120  401.4   7.4    55   470   156   598   134   600 0.89 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 4925at5820           -            472   1.1e-98  329.4  30.2   1   1  4.7e-100   3.8e-98  327.6  30.2    61   471    60   518    33   519 0.83 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 4925at5820           -            472   1.4e-94  315.8  22.8   1   2       4.5   3.6e+02   -2.0   0.1    61    93    13    45    10    62 0.75 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 4925at5820           -            472   1.4e-94  315.8  22.8   2   2   1.8e-96   1.4e-94  315.8  22.8    41   470    56   523    32   525 0.84 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091755.1-p1      -           1607 4925at5820           -            472     4e-61  205.5  20.9   1   2       1.6   1.3e+02   -0.6   0.3   411   469  1061  1125  1020  1128 0.62 | transcript=PVX_091755.1 | gene=PVX_091755 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=Pv_Sal1_chr09:791696-797498(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091755.1-p1      -           1607 4925at5820           -            472     4e-61  205.5  20.9   2   2     5e-63     4e-61  205.5  20.9    60   435  1171  1561  1144  1579 0.87 | transcript=PVX_091755.1 | gene=PVX_091755 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=Pv_Sal1_chr09:791696-797498(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091770.1-p1      -           1989 4925at5820           -            472   1.4e-55  187.3   5.3   1   4    0.0033      0.27    8.3   0.2   384   437    74   127    65   139 0.77 | transcript=PVX_091770.1 | gene=PVX_091770 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=Pv_Sal1_chr09:828887-835015(+) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091770.1-p1      -           1989 4925at5820           -            472   1.4e-55  187.3   5.3   2   4       7.5   6.1e+02   -2.8   0.3    13    47   288   323   281   405 0.52 | transcript=PVX_091770.1 | gene=PVX_091770 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=Pv_Sal1_chr09:828887-835015(+) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091770.1-p1      -           1989 4925at5820           -            472   1.4e-55  187.3   5.3   3   4       3.1   2.5e+02   -1.5   0.2   143   194  1423  1481  1399  1491 0.78 | transcript=PVX_091770.1 | gene=PVX_091770 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=Pv_Sal1_chr09:828887-835015(+) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091770.1-p1      -           1989 4925at5820           -            472   1.4e-55  187.3   5.3   4   4   1.7e-57   1.4e-55  187.3   5.3    45   325  1524  1812  1491  1825 0.87 | transcript=PVX_091770.1 | gene=PVX_091770 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=Pv_Sal1_chr09:828887-835015(+) | protein_length=1989 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085300.1-p1      -            284 4925at5820           -            472   7.8e-55  184.8  16.8   1   1   1.2e-56     1e-54  184.4  16.8    62   304    27   279     8   282 0.90 | transcript=PVX_085300.1 | gene=PVX_085300 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr13:1079692-1081903(-) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 4925at5820           -            472   6.4e-50  168.6  12.1   1   1   1.2e-51     1e-49  168.0  12.1    61   311   485   741   477   772 0.89 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100895.1-p1      -            508 4925at5820           -            472   3.9e-46  156.1  11.3   1   1     6e-48   4.9e-46  155.8  11.3    55   340   110   403    70   458 0.85 | transcript=PVX_100895.1 | gene=PVX_100895 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase 2, putative | transcript_product=serine/threonine-protein kinase 2, putative | location=Pv_Sal1_chr14:2462366-2463892(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 4925at5820           -            472   1.7e-41  140.8   9.4   1   2       2.3   1.9e+02   -1.1   0.0    62   103    13    55     8    86 0.78 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122575.1-p1      -            368 4925at5820           -            472   1.7e-41  140.8   9.4   2   2   2.1e-43   1.7e-41  140.8   9.4    59   307   110   364    95   367 0.86 | transcript=PVX_122575.1 | gene=PVX_122575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:693706-694812(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101240.1-p1      -            755 4925at5820           -            472   1.1e-40  138.2   1.0   1   2   2.7e-42   2.2e-40  137.2   0.2    63   297   435   670   376   681 0.90 | transcript=PVX_101240.1 | gene=PVX_101240 | organism=Plasmodium_vivax_Sal-1 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:2741352-2743752(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101240.1-p1      -            755 4925at5820           -            472   1.1e-40  138.2   1.0   2   2         2   1.6e+02   -0.9   0.1   235   294   671   730   654   742 0.73 | transcript=PVX_101240.1 | gene=PVX_101240 | organism=Plasmodium_vivax_Sal-1 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:2741352-2743752(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 4925at5820           -            472   3.4e-40  136.5   1.4   1   2       2.9   2.3e+02   -1.4   0.1    19    76   157   218   149   238 0.63 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 4925at5820           -            472   3.4e-40  136.5   1.4   2   2   9.4e-42   7.7e-40  135.4   0.2    53   275   537   763   511   796 0.84 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119575.1-p1      -           1607 4925at5820           -            472   1.9e-39  134.1   1.9   1   1   3.1e-41   2.5e-39  133.7   1.9    56   307  1338  1606  1310  1607 0.85 | transcript=PVX_119575.1 | gene=PVX_119575 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase 6, putative | transcript_product=serine/threonine protein kinase 6, putative | location=Pv_Sal1_chr08:1370213-1375522(+) | protein_length=1607 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118425.1-p1      -           2443 4925at5820           -            472   1.1e-34  118.4   4.9   1   1   5.2e-36   4.2e-34  116.4   4.9    61   305   123   402    82   419 0.79 | transcript=PVX_118425.1 | gene=PVX_118425 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=Pv_Sal1_chr12:2694648-2702759(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
