#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_121975.1-p1      -           1618 1667at5820           -           1065         0 1934.1 147.5   1   6   5.8e-16   4.6e-13   46.4   7.8     1    50    29    79    29    87 0.95 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 1667at5820           -           1065         0 1934.1 147.5   2   6   1.2e-22   9.7e-20   68.5  31.7    40   132   152   262   140   271 0.81 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 1667at5820           -           1065         0 1934.1 147.5   3   6    1e-177  8.2e-175  581.9  14.4   134   429   410   705   404   709 0.95 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 1667at5820           -           1065         0 1934.1 147.5   4   6   4.2e-12   3.3e-09   33.6   5.6   400   443   709   753   697   761 0.88 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 1667at5820           -           1065         0 1934.1 147.5   5   6    2e-196  1.6e-193  643.8  19.9   407   743   870  1209   863  1213 0.94 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121975.1-p1      -           1618 1667at5820           -           1065         0 1934.1 147.5   6   6  3.2e-180  2.5e-177  590.2  29.2   751  1065  1292  1618  1290  1618 0.97 | transcript=PVX_121975.1 | gene=PVX_121975 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:157610-162787(+) | protein_length=1618 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 1667at5820           -           1065   3.7e-65  218.9  26.5   1   2   4.6e-68   3.7e-65  218.9  26.5    25   627   286   898   270   911 0.80 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 1667at5820           -           1065   3.7e-65  218.9  26.5   2   2      0.13     1e+02   -1.1   0.5   866   907  1061  1102   960  1117 0.85 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099300.1-p1      -            840 1667at5820           -           1065   6.3e-62  208.2   3.7   1   3   2.9e-44   2.3e-41  140.1   1.8   156   395   187   413   176   424 0.90 | transcript=PVX_099300.1 | gene=PVX_099300 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=Pv_Sal1_chr07:660454-662976(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099300.1-p1      -            840 1667at5820           -           1065   6.3e-62  208.2   3.7   2   3   6.9e-22   5.4e-19   66.0   0.0   454   632   425   594   412   598 0.86 | transcript=PVX_099300.1 | gene=PVX_099300 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=Pv_Sal1_chr07:660454-662976(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099300.1-p1      -            840 1667at5820           -           1065   6.3e-62  208.2   3.7   3   3      0.57   4.5e+02   -3.3   0.0   334   376   681   723   673   727 0.80 | transcript=PVX_099300.1 | gene=PVX_099300 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=Pv_Sal1_chr07:660454-662976(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
