#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114795.1-p1      -            202 12569at5820          -            174  1.3e-108  358.9   1.8   1   1  4.1e-111  1.5e-108  358.7   1.8     1   174    17   202    17   202 0.97 | transcript=PVX_114795.1 | gene=PVX_114795 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr11:627425-629176(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084235.1-p1      -            147 12569at5820          -            174   3.8e-38  129.5   0.5   1   1   1.2e-40   4.3e-38  129.3   0.5    15   133    25   146     3   147 0.88 | transcript=PVX_084235.1 | gene=PVX_084235 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 4, putative | transcript_product=ubiquitin-conjugating enzyme E2 4, putative | location=Pv_Sal1_chr13:113858-115469(+) | protein_length=147 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079885.1-p1      -            152 12569at5820          -            174   1.6e-37  127.5   0.0   1   1   4.9e-40   1.8e-37  127.3   0.0    23   134    34   148    19   152 0.87 | transcript=PVX_079885.1 | gene=PVX_079885 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 N, putative | transcript_product=ubiquitin-conjugating enzyme E2 N, putative | location=Pv_Sal1_chr10:178944-180024(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123140.1-p1      -            164 12569at5820          -            174   1.4e-28   98.3   0.1   1   1   4.9e-31   1.8e-28   98.0   0.1    20   123    33   136    26   150 0.93 | transcript=PVX_123140.1 | gene=PVX_123140 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr14:1164251-1165050(+) | protein_length=164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113480.1-p1      -            152 12569at5820          -            174   4.4e-25   87.0   0.1   1   1   1.3e-27   4.9e-25   86.8   0.1    15   133    25   148    12   152 0.86 | transcript=PVX_113480.1 | gene=PVX_113480 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2 I, putative | transcript_product=ubiquitin-conjugating enzyme E2 I, putative | location=Pv_Sal1_chr11:1772616-1773916(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095270.1-p1      -            160 12569at5820          -            174     5e-25   86.8   0.1   1   1   1.6e-27   5.8e-25   86.5   0.1    18   120    31   133    12   146 0.88 | transcript=PVX_095270.1 | gene=PVX_095270 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr08:949943-950560(-) | protein_length=160 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099185.1-p1      -            159 12569at5820          -            174   3.1e-21   74.4   0.1   1   1   1.1e-23     4e-21   74.0   0.1    21   119    39   139    34   157 0.90 | transcript=PVX_099185.1 | gene=PVX_099185 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-conjugating enzyme UBC9, putative | transcript_product=SUMO-conjugating enzyme UBC9, putative | location=Pv_Sal1_chr07:572412-573302(-) | protein_length=159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111030.1-p1      -            191 12569at5820          -            174   1.2e-19   69.3   0.0   1   1   4.9e-22   1.8e-19   68.7   0.0    23   135    34   151    23   168 0.79 | transcript=PVX_111030.1 | gene=PVX_111030 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr06:773084-774664(-) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101160.1-p1      -            150 12569at5820          -            174   5.6e-16   57.3   0.0   1   1   1.8e-18   6.5e-16   57.1   0.0    41   123    60   141    21   149 0.83 | transcript=PVX_101160.1 | gene=PVX_101160 | organism=Plasmodium_vivax_Sal-1 | gene_product=NEDD8-conjugating enzyme UBC12, putative | transcript_product=NEDD8-conjugating enzyme UBC12, putative | location=Pv_Sal1_chr14:2682940-2684147(+) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099465.1-p1      -            163 12569at5820          -            174   4.5e-14   51.1   0.7   1   1   5.7e-16   2.1e-13   48.9   0.7    16   120    29   148    25   159 0.81 | transcript=PVX_099465.1 | gene=PVX_099465 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr07:792693-794050(-) | protein_length=163 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085810.1-p1      -            301 12569at5820          -            174   1.3e-10   39.8   0.2   1   1   7.2e-13   2.7e-10   38.8   0.2    16   103   180   268   167   279 0.85 | transcript=PVX_085810.1 | gene=PVX_085810 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme, putative | transcript_product=ubiquitin-conjugating enzyme, putative | location=Pv_Sal1_chr13:1532203-1534379(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083175.1-p1      -            262 12569at5820          -            174   7.3e-09   34.1   0.8   1   2       3.2   1.2e+03   -2.4   0.0   133   154    49    70    33    87 0.75 | transcript=PVX_083175.1 | gene=PVX_083175 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr12:345578-346366(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083175.1-p1      -            262 12569at5820          -            174   7.3e-09   34.1   0.8   2   2   3.7e-11   1.4e-08   33.3   0.3    23   104   150   232   135   246 0.83 | transcript=PVX_083175.1 | gene=PVX_083175 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr12:345578-346366(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119410.1-p1      -            139 12569at5820          -            174     3e-08   32.1   0.0   1   1   9.6e-11   3.5e-08   31.9   0.0    21   112    41   135    32   139 0.81 | transcript=PVX_119410.1 | gene=PVX_119410 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr08:1482131-1482984(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101085.1-p1      -            624 12569at5820          -            174   5.7e-05   21.5   0.1   1   1   2.8e-07    0.0001   20.6   0.1    18    86   195   263   192   292 0.85 | transcript=PVX_101085.1 | gene=PVX_101085 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-conjugating enzyme E2, putative | transcript_product=ubiquitin-conjugating enzyme E2, putative | location=Pv_Sal1_chr14:2618378-2620252(+) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094805.1-p1      -            406 12569at5820          -            174    0.0015   16.8   0.4   1   2    0.0094       3.5    5.9   0.1   136   163   138   165    92   176 0.79 | transcript=PVX_094805.1 | gene=PVX_094805 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=Pv_Sal1_chr08:532077-533297(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094805.1-p1      -            406 12569at5820          -            174    0.0015   16.8   0.4   2   2    0.0017      0.63    8.3   0.0   138   173   363   399   352   400 0.90 | transcript=PVX_094805.1 | gene=PVX_094805 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=Pv_Sal1_chr08:532077-533297(+) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12569at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
