#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_001810.1-p1      -           2306 1016at5820           -           1026         0 1440.4  96.8   1  13  1.6e-133  1.8e-130  434.7   8.5     1   232     1   244     1   247 0.96 | transcript=PVX_001810.1 | gene=PVX_001810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:156191-163339(+) | protein_length=2306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001810.1-p1      -           2306 1016at5820           -           1026         0 1440.4  96.8   2  13  9.2e-160    1e-156  521.6   4.1   231   472   345   586   340   599 0.98 | transcript=PVX_001810.1 | gene=PVX_001810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:156191-163339(+) | protein_length=2306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001810.1-p1      -           2306 1016at5820           -           1026         0 1440.4  96.8   3  13     2e-10   2.2e-07   27.2   0.2   489   520   654   685   648   690 0.87 | transcript=PVX_001810.1 | gene=PVX_001810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:156191-163339(+) | protein_length=2306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001810.1-p1      -           2306 1016at5820           -           1026         0 1440.4  96.8   4  13      0.24   2.7e+02   -2.9  10.3   522   553   846   877   840   897 0.71 | transcript=PVX_001810.1 | gene=PVX_001810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:156191-163339(+) | protein_length=2306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001810.1-p1      -           2306 1016at5820           -           1026         0 1440.4  96.8   5  13   0.00035      0.39    6.5   9.5   532   567  1000  1035   987  1039 0.79 | transcript=PVX_001810.1 | gene=PVX_001810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:156191-163339(+) | protein_length=2306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001810.1-p1      -           2306 1016at5820           -           1026         0 1440.4  96.8   6  13     0.019        22    0.8   0.0   559   589  1087  1117  1077  1134 0.83 | transcript=PVX_001810.1 | gene=PVX_001810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:156191-163339(+) | protein_length=2306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001810.1-p1      -           2306 1016at5820           -           1026         0 1440.4  96.8   7  13   2.2e-10   2.4e-07   27.1   0.0   608   637  1338  1367  1295  1377 0.83 | transcript=PVX_001810.1 | gene=PVX_001810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:156191-163339(+) | protein_length=2306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001810.1-p1      -           2306 1016at5820           -           1026         0 1440.4  96.8   8  13   7.5e-62   8.3e-59  197.5   3.6   648   781  1521  1667  1506  1674 0.90 | transcript=PVX_001810.1 | gene=PVX_001810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:156191-163339(+) | protein_length=2306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001810.1-p1      -           2306 1016at5820           -           1026         0 1440.4  96.8   9  13    0.0078       8.6    2.1   0.0   799   822  1763  1786  1726  1803 0.76 | transcript=PVX_001810.1 | gene=PVX_001810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:156191-163339(+) | protein_length=2306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001810.1-p1      -           2306 1016at5820           -           1026         0 1440.4  96.8  10  13   7.8e-09   8.7e-06   21.9   0.0   822   870  1873  1924  1868  1945 0.85 | transcript=PVX_001810.1 | gene=PVX_001810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:156191-163339(+) | protein_length=2306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001810.1-p1      -           2306 1016at5820           -           1026         0 1440.4  96.8  11  13     0.028        31    0.2   3.5   867   912  2015  2060  1964  2080 0.71 | transcript=PVX_001810.1 | gene=PVX_001810 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:156191-163339(+) | protein_length=2306 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
