#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3   1  26  1.1e-172    1e-169  564.6  41.2     1   272     1   274     1   278 0.99 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3   2  26   3.1e-38   2.9e-35  118.3   3.1   266   336   503   573   495   581 0.94 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3   3  26  1.5e-141  1.4e-138  461.2  30.5   329   589   649   916   643   922 0.96 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3   4  26  1.5e-249  1.4e-246  819.7  31.9   585   978   958  1359   949  1371 0.98 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3   5  26   1.2e-71   1.1e-68  229.2  10.7   977  1108  1393  1524  1381  1531 0.94 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3   6  26   5.8e-60   5.4e-57  190.4   4.9  1104  1208  1555  1665  1551  1671 0.94 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3   7  26   2.3e-73   2.1e-70  234.9  38.2  1213  1399  1881  2136  1878  2150 0.80 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3   8  26   9.6e-23   8.8e-20   66.9   3.3  1395  1442  2172  2219  2167  2222 0.95 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3   9  26   8.9e-86   8.2e-83  276.1  18.0  1439  1586  2339  2486  2315  2503 0.92 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  10  26    1e-192  9.3e-190  631.1  35.3  1583  1933  2526  2925  2523  2946 0.91 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086015.1-p1      -           6648 43at5820             -           4310         0 7752.3 609.3  11  26   3.6e-09   3.3e-06   21.9   4.3  1923  1952  2983  3012  2968  3017 0.85 | transcript=PVX_086015.1 | gene=PVX_086015 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1731211-1751330(+) | protein_length=6648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
