#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084650.1-p1      -            421 6860at5820           -            348  3.1e-209  692.2  35.1   1   1  7.2e-210  1.7e-207  686.5  35.1     1   348    19   421    19   421 0.93 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114560.1-p1      -            380 6860at5820           -            348     4e-36  122.9  13.6   1   1   2.1e-38   5.1e-36  122.5  13.6     5   293    42   347    38   360 0.81 | transcript=PVX_114560.1 | gene=PVX_114560 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ domain protein, putative | transcript_product=DNAJ domain protein, putative | location=Pv_Sal1_chr11:840420-841562(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002875.1-p1      -            328 6860at5820           -            348   3.5e-29  100.1   6.0   1   3   6.7e-26   1.6e-23   81.4   1.7     9    81     4    82     2    91 0.87 | transcript=PVX_002875.1 | gene=PVX_002875 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=Pv_Sal1_chr04:340883-342215(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002875.1-p1      -            328 6860at5820           -            348   3.5e-29  100.1   6.0   2   3     0.028       6.7    3.8   0.0   106   125   156   175   147   186 0.86 | transcript=PVX_002875.1 | gene=PVX_002875 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=Pv_Sal1_chr04:340883-342215(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002875.1-p1      -            328 6860at5820           -            348   3.5e-29  100.1   6.0   3   3   7.3e-06    0.0017   15.6   0.0   203   295   191   292   178   318 0.79 | transcript=PVX_002875.1 | gene=PVX_002875 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=Pv_Sal1_chr04:340883-342215(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081840.1-p1      -            420 6860at5820           -            348   4.9e-22   76.6   1.2   1   3   8.4e-17     2e-14   51.5   0.5     6    75    82   158    77   164 0.89 | transcript=PVX_081840.1 | gene=PVX_081840 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr02:737767-739792(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081840.1-p1      -            420 6860at5820           -            348   4.9e-22   76.6   1.2   2   3      0.34        82    0.2   0.0   105   124   247   266   232   271 0.87 | transcript=PVX_081840.1 | gene=PVX_081840 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr02:737767-739792(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081840.1-p1      -            420 6860at5820           -            348   4.9e-22   76.6   1.2   3   3   1.4e-07   3.3e-05   21.2   0.0   196   293   276   382   268   392 0.80 | transcript=PVX_081840.1 | gene=PVX_081840 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr02:737767-739792(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000775.1-p1      -            648 6860at5820           -            348   2.4e-21   74.3   6.5   1   2   1.1e-12   2.6e-10   38.0   0.0     7    71    82   149    76   160 0.87 | transcript=PVX_000775.1 | gene=PVX_000775 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone DNAJ protein, putative | transcript_product=chaperone DNAJ protein, putative | location=Pv_Sal1_chr03:316760-318706(+) | protein_length=648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000775.1-p1      -            648 6860at5820           -            348   2.4e-21   74.3   6.5   2   2   2.3e-12   5.5e-10   36.9   3.8    82   241   183   341   173   373 0.77 | transcript=PVX_000775.1 | gene=PVX_000775 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone DNAJ protein, putative | transcript_product=chaperone DNAJ protein, putative | location=Pv_Sal1_chr03:316760-318706(+) | protein_length=648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118690.1-p1      -            300 6860at5820           -            348   1.1e-17   62.3   3.4   1   2   6.1e-12   1.5e-09   35.5   0.6    37    85    11    59     4    78 0.84 | transcript=PVX_118690.1 | gene=PVX_118690 | organism=Plasmodium_vivax_Sal-1 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=Pv_Sal1_chr12:2986888-2987943(+) | protein_length=300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118690.1-p1      -            300 6860at5820           -            348   1.1e-17   62.3   3.4   2   2   3.2e-09   7.8e-07   26.6   0.1   157   295   122   264   108   278 0.81 | transcript=PVX_118690.1 | gene=PVX_118690 | organism=Plasmodium_vivax_Sal-1 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=Pv_Sal1_chr12:2986888-2987943(+) | protein_length=300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091110.1-p1      -            549 6860at5820           -            348   2.4e-16   57.9   1.4   1   1   1.7e-18   4.2e-16   57.1   1.4     9    73    34    99    31   108 0.93 | transcript=PVX_091110.1 | gene=PVX_091110 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein DnaJ homologue Pfj2, putative | transcript_product=heat shock protein DnaJ homologue Pfj2, putative | location=Pv_Sal1_chr09:269997-271646(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082455.1-p1      -            254 6860at5820           -            348   1.5e-15   55.2   0.6   1   1   8.7e-18   2.1e-15   54.8   0.6     5    82    39   121    35   241 0.83 | transcript=PVX_082455.1 | gene=PVX_082455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:901027-902604(+) | protein_length=254 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084600.1-p1      -            245 6860at5820           -            348   8.4e-14   49.5   0.6   1   2   3.5e-16   8.4e-14   49.5   0.6     9    74     6    76     2   102 0.80 | transcript=PVX_084600.1 | gene=PVX_084600 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:466345-468037(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084600.1-p1      -            245 6860at5820           -            348   8.4e-14   49.5   0.6   2   2       1.1   2.6e+02   -1.4   0.1   176   227   177   230   165   236 0.73 | transcript=PVX_084600.1 | gene=PVX_084600 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:466345-468037(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094340.1-p1      -           1793 6860at5820           -            348   1.6e-13   48.6   1.5   1   1   1.4e-15   3.3e-13   47.5   1.5     8    75   924   991   917   999 0.90 | transcript=PVX_094340.1 | gene=PVX_094340 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=Pv_Sal1_chr08:161562-167084(+) | protein_length=1793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
