#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085920.1-p1      -            465 6012at5820           -            105   9.1e-72  236.2   0.6   1   1   2.2e-74   1.7e-71  235.3   0.6     1   105     1   105     1   105 1.00 | transcript=PVX_085920.1 | gene=PVX_085920 | organism=Plasmodium_vivax_Sal-1 | gene_product=eukaryotic translation initiation factor 2 gamma subunit, putative | transcript_product=eukaryotic translation initiation factor 2 gamma subunit, putative | location=Pv_Sal1_chr13:1632475-1633872(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082470.1-p1      -            456 6012at5820           -            105   5.1e-05   21.7   0.1   1   1   1.6e-07   0.00012   20.4   0.1    33    60    70    97    62   114 0.85 | transcript=PVX_082470.1 | gene=PVX_082470 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, mitochondrial precursor, putative | transcript_product=elongation factor Tu, mitochondrial precursor, putative | location=Pv_Sal1_chr12:890022-891392(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 6012at5820           -            105    0.0022   16.4   0.0   1   1   5.2e-06    0.0041   15.5   0.0    35    79     3    51     1    62 0.80 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122985.1-p1      -            771 6012at5820           -            105     0.028   12.9   0.1   1   1   0.00012     0.093   11.2   0.1    29    56   103   130    93   166 0.70 | transcript=PVX_122985.1 | gene=PVX_122985 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein TypA, putative | transcript_product=GTP-binding protein TypA, putative | location=Pv_Sal1_chr14:1053579-1055894(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 6012at5820           -            105     0.036   12.5   0.1   1   1   0.00014      0.11   11.0   0.1    34    66    18    51     6    76 0.65 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114830.1-p1      -            443 6012at5820           -            105      0.06   11.8   1.1   1   2   0.00045      0.36    9.3   0.5    33    55     5    28     2    57 0.71 | transcript=PVX_114830.1 | gene=PVX_114830 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:592949-594280(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114830.1-p1      -            443 6012at5820           -            105      0.06   11.8   1.1   2   2      0.81   6.4e+02   -1.2   0.0    62    75    62    75    59    80 0.85 | transcript=PVX_114830.1 | gene=PVX_114830 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:592949-594280(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114832.1-p1      -            443 6012at5820           -            105      0.06   11.8   1.1   1   2   0.00045      0.36    9.3   0.5    33    55     5    28     2    57 0.71 | transcript=PVX_114832.1 | gene=PVX_114832 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:590205-591536(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114832.1-p1      -            443 6012at5820           -            105      0.06   11.8   1.1   2   2      0.81   6.4e+02   -1.2   0.0    62    75    62    75    59    80 0.85 | transcript=PVX_114832.1 | gene=PVX_114832 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:590205-591536(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6012at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6012at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6012at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:38 2026
# [ok]
