#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_088975.1-p1      -           1582 2206at5820           -            834         0 1241.5 103.2   1   9    6e-102   1.6e-98  329.3  14.2     4   182    60   238    58   247 0.98 | transcript=PVX_088975.1 | gene=PVX_088975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:201785-206734(+) | protein_length=1582 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088975.1-p1      -           1582 2206at5820           -            834         0 1241.5 103.2   2   9    2e-141  5.5e-138  459.9  19.7   177   438   288   560   279   567 0.95 | transcript=PVX_088975.1 | gene=PVX_088975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:201785-206734(+) | protein_length=1582 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088975.1-p1      -           1582 2206at5820           -            834         0 1241.5 103.2   3   9   3.1e-09   8.5e-06   22.6   0.6   421   467   637   682   587   687 0.81 | transcript=PVX_088975.1 | gene=PVX_088975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:201785-206734(+) | protein_length=1582 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088975.1-p1      -           1582 2206at5820           -            834         0 1241.5 103.2   4   9      0.29   7.9e+02   -3.8   0.8   199   225   804   830   800   832 0.77 | transcript=PVX_088975.1 | gene=PVX_088975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:201785-206734(+) | protein_length=1582 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088975.1-p1      -           1582 2206at5820           -            834         0 1241.5 103.2   5   9   4.5e-50   1.3e-46  157.7   2.4   466   573   874   986   866   988 0.93 | transcript=PVX_088975.1 | gene=PVX_088975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:201785-206734(+) | protein_length=1582 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088975.1-p1      -           1582 2206at5820           -            834         0 1241.5 103.2   6   9     0.011        30    0.9   0.0   573   588  1054  1069  1042  1084 0.86 | transcript=PVX_088975.1 | gene=PVX_088975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:201785-206734(+) | protein_length=1582 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088975.1-p1      -           1582 2206at5820           -            834         0 1241.5 103.2   7   9   1.4e-12     4e-09   33.6   0.3   585   620  1168  1203  1164  1208 0.94 | transcript=PVX_088975.1 | gene=PVX_088975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:201785-206734(+) | protein_length=1582 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088975.1-p1      -           1582 2206at5820           -            834         0 1241.5 103.2   8   9   5.3e-40   1.5e-36  124.3  14.3   623   748  1280  1431  1227  1439 0.79 | transcript=PVX_088975.1 | gene=PVX_088975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:201785-206734(+) | protein_length=1582 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088975.1-p1      -           1582 2206at5820           -            834         0 1241.5 103.2   9   9   3.7e-46     1e-42  144.7   0.6   734   834  1481  1582  1474  1582 0.95 | transcript=PVX_088975.1 | gene=PVX_088975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:201785-206734(+) | protein_length=1582 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081380.1-p1      -            226 2206at5820           -            834   0.00055   16.6   4.3   1   1   2.4e-07   0.00067   16.3   4.3    84   174    69   165    54   174 0.74 | transcript=PVX_081380.1 | gene=PVX_081380 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:292367-293047(+) | protein_length=226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
