#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113495.1-p1      -            747 4978at5820           -            500  1.6e-291  965.7  33.8   1   3   1.6e-17   7.9e-15   53.0   1.8     1    44     1    44     1    50 0.94 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 4978at5820           -            500  1.6e-291  965.7  33.8   2   3   1.1e-57   5.7e-55  185.4   3.2    40   146   180   289   173   301 0.92 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113495.1-p1      -            747 4978at5820           -            500  1.6e-291  965.7  33.8   3   3  1.6e-225  8.2e-223  739.1  13.5   141   499   385   747   372   747 0.98 | transcript=PVX_113495.1 | gene=PVX_113495 | organism=Plasmodium_vivax_Sal-1 | gene_product=polypyrimidine tract binding protein, putative | transcript_product=polypyrimidine tract binding protein, putative | location=Pv_Sal1_chr11:1765303-1768296(+) | protein_length=747 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122180.1-p1      -            505 4978at5820           -            500   1.2e-07   29.3   6.5   1   3   0.00039      0.19    8.8   0.2   416   498   223   307   203   310 0.76 | transcript=PVX_122180.1 | gene=PVX_122180 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1A small nuclear ribonucleoprotein, putative | transcript_product=U1A small nuclear ribonucleoprotein, putative | location=Pv_Sal1_chr14:360781-362618(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122180.1-p1      -            505 4978at5820           -            500   1.2e-07   29.3   6.5   2   3    0.0011      0.56    7.3   0.8   177   289   249   349   228   364 0.71 | transcript=PVX_122180.1 | gene=PVX_122180 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1A small nuclear ribonucleoprotein, putative | transcript_product=U1A small nuclear ribonucleoprotein, putative | location=Pv_Sal1_chr14:360781-362618(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122180.1-p1      -            505 4978at5820           -            500   1.2e-07   29.3   6.5   3   3   1.6e-08   7.9e-06   23.3   0.4   417   496   430   504   379   505 0.84 | transcript=PVX_122180.1 | gene=PVX_122180 | organism=Plasmodium_vivax_Sal-1 | gene_product=U1A small nuclear ribonucleoprotein, putative | transcript_product=U1A small nuclear ribonucleoprotein, putative | location=Pv_Sal1_chr14:360781-362618(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122855.1-p1      -            124 4978at5820           -            500   5.8e-07   27.1   0.4   1   1   1.5e-09   7.4e-07   26.7   0.4   418   499     6    88     3    89 0.87 | transcript=PVX_122855.1 | gene=PVX_122855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:927195-928065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 4978at5820           -            500   7.3e-06   23.4   0.3   1   2   0.00029      0.14    9.3   0.0   420   451    20    51    15    71 0.91 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 4978at5820           -            500   7.3e-06   23.4   0.3   2   2   3.3e-05     0.017   12.3   0.1   316   373   119   181    99   212 0.70 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 4978at5820           -            500   1.6e-05   22.3   4.2   1   4     0.007       3.5    4.7   0.0   419   461    15    57     7    92 0.71 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 4978at5820           -            500   1.6e-05   22.3   4.2   2   4     0.011       5.7    4.0   0.2   421   493   105   177   100   184 0.90 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 4978at5820           -            500   1.6e-05   22.3   4.2   3   4    0.0065       3.3    4.8   0.3   418   483   189   254   174   267 0.67 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 4978at5820           -            500   1.6e-05   22.3   4.2   4   4     0.001      0.53    7.4   0.0   283   342   429   487   388   552 0.63 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001855.1-p1      -            962 4978at5820           -            500   9.1e-05   19.8   0.1   1   1   2.8e-07   0.00014   19.2   0.1   399   445   393   439   363   462 0.78 | transcript=PVX_001855.1 | gene=PVX_001855 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA methyltransferase, putative | transcript_product=tRNA methyltransferase, putative | location=Pv_Sal1_chr06:201410-204298(-) | protein_length=962 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094535.1-p1      -            250 4978at5820           -            500   0.00021   18.6   0.0   1   2    0.0059         3    4.9   0.0   422   492    23    93     7    98 0.89 | transcript=PVX_094535.1 | gene=PVX_094535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:314388-316060(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094535.1-p1      -            250 4978at5820           -            500   0.00021   18.6   0.0   2   2   4.7e-05     0.024   11.8   0.1   415   497   167   249   138   250 0.87 | transcript=PVX_094535.1 | gene=PVX_094535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:314388-316060(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094315.1-p1      -            322 4978at5820           -            500   0.00036   17.8   0.2   1   2   7.2e-07   0.00036   17.8   0.2   420   496    90   167    81   170 0.89 | transcript=PVX_094315.1 | gene=PVX_094315 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:148003-151105(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094315.1-p1      -            322 4978at5820           -            500   0.00036   17.8   0.2   2   2         3   1.5e+03   -4.0   1.7   386   420   261   295   245   304 0.57 | transcript=PVX_094315.1 | gene=PVX_094315 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:148003-151105(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 4978at5820           -            500    0.0042   14.3   0.1   1   2   3.2e-05     0.016   12.4   0.1   422   486   120   185   110   198 0.89 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 4978at5820           -            500    0.0042   14.3   0.1   2   2      0.32   1.6e+02   -0.8   0.0   421   492   203   273   197   280 0.79 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123875.1-p1      -            110 4978at5820           -            500      0.01   13.1   0.0   1   1   2.2e-05     0.011   13.0   0.0   154   487    11    79     2    95 0.57 | transcript=PVX_123875.1 | gene=PVX_123875 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=Pv_Sal1_chr14:1860422-1861009(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 4978at5820           -            500     0.014   12.5   0.0   1   2     0.012       5.9    3.9   0.0   421   455     8    42     2    87 0.83 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 4978at5820           -            500     0.014   12.5   0.0   2   2    0.0019      0.93    6.6   0.0   418   496   153   231   140   234 0.87 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4978at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
