#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084540.1-p1      -           1015 5114at5820           -            599  3.9e-237  787.0  85.9   1   6  8.1e-131  4.5e-128  426.9  30.0     1   205     1   210     1   227 0.93 | transcript=PVX_084540.1 | gene=PVX_084540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:411823-414870(-) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084540.1-p1      -           1015 5114at5820           -            599  3.9e-237  787.0  85.9   2   6   6.6e-28   3.7e-25   87.0   4.4   196   262   225   295   212   303 0.83 | transcript=PVX_084540.1 | gene=PVX_084540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:411823-414870(-) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084540.1-p1      -           1015 5114at5820           -            599  3.9e-237  787.0  85.9   3   6   4.4e-41   2.4e-38  130.5   3.9   264   407   384   554   377   560 0.84 | transcript=PVX_084540.1 | gene=PVX_084540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:411823-414870(-) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084540.1-p1      -           1015 5114at5820           -            599  3.9e-237  787.0  85.9   4   6   9.4e-05     0.052   10.5   0.1   420   451   614   645   563   656 0.64 | transcript=PVX_084540.1 | gene=PVX_084540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:411823-414870(-) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084540.1-p1      -           1015 5114at5820           -            599  3.9e-237  787.0  85.9   5   6   5.9e-22   3.2e-19   67.4   9.8   455   555   816   938   782   949 0.84 | transcript=PVX_084540.1 | gene=PVX_084540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:411823-414870(-) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084540.1-p1      -           1015 5114at5820           -            599  3.9e-237  787.0  85.9   6   6   7.8e-29   4.3e-26   90.1   3.4   534   599   950  1015   932  1015 0.86 | transcript=PVX_084540.1 | gene=PVX_084540 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:411823-414870(-) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094625.1-p1      -            502 5114at5820           -            599   3.2e-44  149.9  15.7   1   3   5.8e-47   3.2e-44  149.9  15.7    18   127    17   125     1   132 0.91 | transcript=PVX_094625.1 | gene=PVX_094625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:403557-405065(+) | protein_length=502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094625.1-p1      -            502 5114at5820           -            599   3.2e-44  149.9  15.7   2   3      0.45   2.5e+02   -1.6   1.6   340   371   258   288   229   350 0.63 | transcript=PVX_094625.1 | gene=PVX_094625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:403557-405065(+) | protein_length=502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094625.1-p1      -            502 5114at5820           -            599   3.2e-44  149.9  15.7   3   3      0.55   3.1e+02   -1.9   2.0   533   580   429   476   406   493 0.63 | transcript=PVX_094625.1 | gene=PVX_094625 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:403557-405065(+) | protein_length=502 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114900.1-p1      -            965 5114at5820           -            599   1.8e-30  104.5   4.4   1   4   3.3e-33   1.8e-30  104.5   4.4    20   140     7   126     3   147 0.93 | transcript=PVX_114900.1 | gene=PVX_114900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:534319-537216(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114900.1-p1      -            965 5114at5820           -            599   1.8e-30  104.5   4.4   2   4        10   5.5e+03  -10.8  20.1   412   514   237   343   172   378 0.55 | transcript=PVX_114900.1 | gene=PVX_114900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:534319-537216(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114900.1-p1      -            965 5114at5820           -            599   1.8e-30  104.5   4.4   3   4       6.7   3.7e+03   -5.5   5.7   551   583   509   541   466   585 0.58 | transcript=PVX_114900.1 | gene=PVX_114900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:534319-537216(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114900.1-p1      -            965 5114at5820           -            599   1.8e-30  104.5   4.4   4   4       1.1   5.9e+02   -2.9   3.8   399   477   746   825   713   938 0.75 | transcript=PVX_114900.1 | gene=PVX_114900 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:534319-537216(-) | protein_length=965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 5114at5820           -            599   4.7e-23   80.0   6.3   1   5   8.5e-26   4.7e-23   80.0   6.3     1   126     2   129     2   134 0.89 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 5114at5820           -            599   4.7e-23   80.0   6.3   2   5        10   5.5e+03  -25.8  41.4   361   561   186   398   154   414 0.43 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 5114at5820           -            599   4.7e-23   80.0   6.3   3   5       4.6   2.5e+03   -4.9   8.7   528   589   483   544   438   585 0.44 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 5114at5820           -            599   4.7e-23   80.0   6.3   4   5        10   5.5e+03  -15.9  30.6   330   514   629   823   613   866 0.41 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079995.1-p1      -            982 5114at5820           -            599   4.7e-23   80.0   6.3   5   5     0.043        24    1.8   3.5   498   561   891   961   884   979 0.68 | transcript=PVX_079995.1 | gene=PVX_079995 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:275729-278677(-) | protein_length=982 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 5114at5820           -            599   2.2e-18   64.6  18.9   1   5     4e-21   2.2e-18   64.6  18.9    23   150    49   175    24   189 0.83 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 5114at5820           -            599   2.2e-18   64.6  18.9   2   5      0.23   1.3e+02   -0.7   2.1   473   543   166   238   155   257 0.66 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 5114at5820           -            599   2.2e-18   64.6  18.9   3   5        10   5.5e+03  -20.7  24.3   498   590   396   494   303   548 0.53 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 5114at5820           -            599   2.2e-18   64.6  18.9   4   5        10   5.5e+03  -11.8   9.4   534   553   635   653   588   700 0.51 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098775.1-p1      -            836 5114at5820           -            599   2.2e-18   64.6  18.9   5   5      0.22   1.2e+02   -0.6   4.1   326   393   764   832   713   834 0.79 | transcript=PVX_098775.1 | gene=PVX_098775 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:239478-241988(-) | protein_length=836 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 5114at5820           -            599   1.8e-17   61.6  23.5   1   6        10   5.5e+03   -6.7   9.1   341   565    17   108     5   130 0.42 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 5114at5820           -            599   1.8e-17   61.6  23.5   2   6   3.3e-20   1.8e-17   61.6  23.5    12   134   373   495   359   515 0.81 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 5114at5820           -            599   1.8e-17   61.6  23.5   3   6       1.6   8.7e+02   -3.4   7.4   443   524   656   738   601   785 0.77 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 5114at5820           -            599   1.8e-17   61.6  23.5   4   6        10   5.5e+03  -10.6   8.0   467   482  1127  1142  1098  1225 0.49 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 5114at5820           -            599   1.8e-17   61.6  23.5   5   6       4.1   2.3e+03   -4.8   2.8   396   463  1650  1722  1637  1740 0.49 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080105.1-p1      -           1935 5114at5820           -            599   1.8e-17   61.6  23.5   6   6       4.2   2.3e+03   -4.8   2.2   382   460  1774  1854  1767  1866 0.51 | transcript=PVX_080105.1 | gene=PVX_080105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:370279-376086(-) | protein_length=1935 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001830.1-p1      -           1471 5114at5820           -            599   5.9e-17   59.9   7.7   1   1   1.6e-19   8.8e-17   59.3   7.7    37   129     8    94     1   109 0.90 | transcript=PVX_001830.1 | gene=PVX_001830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:171699-176518(-) | protein_length=1471 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 5114at5820           -            599     6e-17   59.9  12.0   1   5       4.6   2.5e+03   -4.9   4.5   403   462   201   262   165   330 0.62 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 5114at5820           -            599     6e-17   59.9  12.0   2   5   1.1e-19     6e-17   59.9  12.0    20   156   496   634   492   653 0.82 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 5114at5820           -            599     6e-17   59.9  12.0   3   5        10   5.5e+03  -10.2  10.6   494   589  1368  1472  1359  1482 0.71 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 5114at5820           -            599     6e-17   59.9  12.0   4   5       3.5   1.9e+03   -4.6   1.8   341   411  1585  1657  1569  1702 0.64 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092340.1-p1      -           2172 5114at5820           -            599     6e-17   59.9  12.0   5   5        10   5.5e+03   -7.2   3.1   334   354  1815  1835  1800  1867 0.44 | transcript=PVX_092340.1 | gene=PVX_092340 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr09:1285032-1291550(-) | protein_length=2172 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085245.1-p1      -           1293 5114at5820           -            599   1.8e-09   35.1   4.3   1   1   5.3e-12   2.9e-09   34.5   4.3    56   138   186   267   183   276 0.83 | transcript=PVX_085245.1 | gene=PVX_085245 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1040356-1044237(+) | protein_length=1293 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099800.1-p1      -           1239 5114at5820           -            599   2.1e-08   31.6  19.8   1   3   8.6e-09   4.8e-06   23.9   0.7    98   127     3    32     1    35 0.94 | transcript=PVX_099800.1 | gene=PVX_099800 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:1048682-1053069(+) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099800.1-p1      -           1239 5114at5820           -            599   2.1e-08   31.6  19.8   2   3   1.5e-07   8.5e-05   19.7   1.5    23    95    36   106    33   110 0.89 | transcript=PVX_099800.1 | gene=PVX_099800 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:1048682-1053069(+) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099800.1-p1      -           1239 5114at5820           -            599   2.1e-08   31.6  19.8   3   3      0.49   2.7e+02   -1.7   3.4   334   563   345   419   326   442 0.46 | transcript=PVX_099800.1 | gene=PVX_099800 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr07:1048682-1053069(+) | protein_length=1239 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5114at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5114at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5114at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:20 2026
# [ok]
