#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114660.1-p1      -           1176 3582at5820           -            705         0 1014.7 134.6   1   6   3.4e-08   6.2e-05   19.6  21.6    12    90    53   151    42   175 0.66 | transcript=PVX_114660.1 | gene=PVX_114660 | organism=Plasmodium_vivax_Sal-1 | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=Pv_Sal1_chr11:727600-731130(-) | protein_length=1176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114660.1-p1      -           1176 3582at5820           -            705         0 1014.7 134.6   2   6   0.00095       1.8    4.9  21.9    44   130   176   261   156   274 0.67 | transcript=PVX_114660.1 | gene=PVX_114660 | organism=Plasmodium_vivax_Sal-1 | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=Pv_Sal1_chr11:727600-731130(-) | protein_length=1176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114660.1-p1      -           1176 3582at5820           -            705         0 1014.7 134.6   3   6  8.6e-122  1.6e-118  395.1  26.1   114   333   284   509   257   519 0.91 | transcript=PVX_114660.1 | gene=PVX_114660 | organism=Plasmodium_vivax_Sal-1 | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=Pv_Sal1_chr11:727600-731130(-) | protein_length=1176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114660.1-p1      -           1176 3582at5820           -            705         0 1014.7 134.6   4   6  1.8e-137  3.4e-134  446.9  25.4   336   569   615   853   612   871 0.94 | transcript=PVX_114660.1 | gene=PVX_114660 | organism=Plasmodium_vivax_Sal-1 | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=Pv_Sal1_chr11:727600-731130(-) | protein_length=1176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114660.1-p1      -           1176 3582at5820           -            705         0 1014.7 134.6   5   6   1.9e-32   3.6e-29   99.8   7.7   580   661   964  1049   954  1058 0.86 | transcript=PVX_114660.1 | gene=PVX_114660 | organism=Plasmodium_vivax_Sal-1 | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=Pv_Sal1_chr11:727600-731130(-) | protein_length=1176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114660.1-p1      -           1176 3582at5820           -            705         0 1014.7 134.6   6   6   3.9e-24   7.1e-21   72.3   0.3   641   705  1107  1173  1090  1173 0.84 | transcript=PVX_114660.1 | gene=PVX_114660 | organism=Plasmodium_vivax_Sal-1 | gene_product=Ran-binding protein, putative | transcript_product=Ran-binding protein, putative | location=Pv_Sal1_chr11:727600-731130(-) | protein_length=1176 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080275.1-p1      -            133 3582at5820           -            705    0.0063   13.0   0.3   1   1   3.4e-06    0.0063   13.0   0.3   355   424    21    90     3   121 0.84 | transcript=PVX_080275.1 | gene=PVX_080275 | organism=Plasmodium_vivax_Sal-1 | gene_product=40S ribosomal protein S24, putative | transcript_product=40S ribosomal protein S24, putative | location=Pv_Sal1_chr10:543421-544054(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092155.1-p1      -            156 3582at5820           -            705       9.3    2.5  16.6   1   2     0.051        95   -0.8   0.0   151   172     6    27     3    36 0.87 | transcript=PVX_092155.1 | gene=PVX_092155 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:1133265-1133735(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092155.1-p1      -            156 3582at5820           -            705       9.3    2.5  16.6   2   2    0.0021       3.9    3.8  13.6    43   123    79   151    50   156 0.56 | transcript=PVX_092155.1 | gene=PVX_092155 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:1133265-1133735(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3582at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3582at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3582at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:32 2026
# [ok]
