#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_116695.1-p1      -            536 6119at5820           -            430  6.7e-250  827.4  23.2   1   2  5.7e-118    4e-115  383.4   6.4     1   189    47   239    47   242 0.98 | transcript=PVX_116695.1 | gene=PVX_116695 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasmepsin V, putative | transcript_product=plasmepsin V, putative | location=Pv_Sal1_chr12:1212479-1214089(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116695.1-p1      -            536 6119at5820           -            430  6.7e-250  827.4  23.2   2   2  3.4e-138  2.3e-135  450.0   8.8   190   427   273   521   258   525 0.95 | transcript=PVX_116695.1 | gene=PVX_116695 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasmepsin V, putative | transcript_product=plasmepsin V, putative | location=Pv_Sal1_chr12:1212479-1214089(-) | protein_length=536 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100670.1-p1      -            552 6119at5820           -            430   1.1e-09   35.9   0.7   1   3   1.3e-08   9.1e-06   23.0   0.8    89   186   194   297   144   306 0.78 | transcript=PVX_100670.1 | gene=PVX_100670 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr14:2288240-2290606(-) | protein_length=552 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100670.1-p1      -            552 6119at5820           -            430   1.1e-09   35.9   0.7   2   3      0.12        80    0.1   0.0   193   260   334   410   327   428 0.67 | transcript=PVX_100670.1 | gene=PVX_100670 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr14:2288240-2290606(-) | protein_length=552 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100670.1-p1      -            552 6119at5820           -            430   1.1e-09   35.9   0.7   3   3   0.00021      0.15    9.2   0.0   305   378   424   495   389   541 0.68 | transcript=PVX_100670.1 | gene=PVX_100670 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=Pv_Sal1_chr14:2288240-2290606(-) | protein_length=552 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117180.1-p1      -            373 6119at5820           -            430   2.5e-09   34.7   0.9   1   2   7.9e-11   5.5e-08   30.3   0.1    19   216    53   240    44   246 0.81 | transcript=PVX_117180.1 | gene=PVX_117180 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl proteinase, putative | transcript_product=aspartyl proteinase, putative | location=Pv_Sal1_chr12:1645882-1648646(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117180.1-p1      -            373 6119at5820           -            430   2.5e-09   34.7   0.9   2   2       1.1   7.7e+02   -3.1   0.1   346   369   347   370   333   372 0.84 | transcript=PVX_117180.1 | gene=PVX_117180 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl proteinase, putative | transcript_product=aspartyl proteinase, putative | location=Pv_Sal1_chr12:1645882-1648646(+) | protein_length=373 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119690.1-p1      -            438 6119at5820           -            430   9.6e-08   29.5   0.1   1   1   6.3e-10   4.4e-07   27.4   0.1    16    77   106   168    96   344 0.82 | transcript=PVX_119690.1 | gene=PVX_119690 | organism=Plasmodium_vivax_Sal-1 | gene_product=aspartyl proteinase, putative | transcript_product=aspartyl proteinase, putative | location=Pv_Sal1_chr08:1256510-1259674(-) | protein_length=438 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086040.1-p1      -            450 6119at5820           -            430   1.4e-07   29.0   4.0   1   3       1.3   8.9e+02   -3.3   1.0   242   272    53    83    25   114 0.58 | transcript=PVX_086040.1 | gene=PVX_086040 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=Pv_Sal1_chr13:1780093-1781445(-) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086040.1-p1      -            450 6119at5820           -            430   1.4e-07   29.0   4.0   2   3     2e-10   1.4e-07   29.0   4.0    18   246   141   359   129   368 0.75 | transcript=PVX_086040.1 | gene=PVX_086040 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=Pv_Sal1_chr13:1780093-1781445(-) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086040.1-p1      -            450 6119at5820           -            430   1.4e-07   29.0   4.0   3   3      0.51   3.5e+02   -2.0   0.0   343   369   420   446   413   449 0.88 | transcript=PVX_086040.1 | gene=PVX_086040 | organism=Plasmodium_vivax_Sal-1 | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=Pv_Sal1_chr13:1780093-1781445(-) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
