#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_081800.1-p1      -            901 6996at5820           -            561  9.7e-277  917.4  48.9   1   6   3.5e-29   9.6e-26   88.9   0.2     1    66    36   105    36   108 0.90 | transcript=PVX_081800.1 | gene=PVX_081800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:673062-675767(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081800.1-p1      -            901 6996at5820           -            561  9.7e-277  917.4  48.9   2   6  4.7e-131  1.3e-127  425.1  14.7    65   307   162   425   158   430 0.91 | transcript=PVX_081800.1 | gene=PVX_081800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:673062-675767(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081800.1-p1      -            901 6996at5820           -            561  9.7e-277  917.4  48.9   3   6   4.8e-41   1.3e-37  128.0   0.6   303   381   474   554   471   557 0.93 | transcript=PVX_081800.1 | gene=PVX_081800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:673062-675767(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081800.1-p1      -            901 6996at5820           -            561  9.7e-277  917.4  48.9   4   6   5.7e-32   1.6e-28   98.0   1.2   382   446   584   647   581   661 0.90 | transcript=PVX_081800.1 | gene=PVX_081800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:673062-675767(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081800.1-p1      -            901 6996at5820           -            561  9.7e-277  917.4  48.9   5   6     1e-39   2.8e-36  123.6   1.0   431   515   655   740   649   745 0.90 | transcript=PVX_081800.1 | gene=PVX_081800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:673062-675767(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081800.1-p1      -            901 6996at5820           -            561  9.7e-277  917.4  48.9   6   6   1.8e-25     5e-22   76.6   0.5   511   561   838   888   822   888 0.90 | transcript=PVX_081800.1 | gene=PVX_081800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:673062-675767(+) | protein_length=901 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110975.1-p1      -           1170 6996at5820           -            561     2e-15   54.8  20.5   1   4   3.4e-05     0.094    9.7   2.6    16    98    37   114    29   141 0.65 | transcript=PVX_110975.1 | gene=PVX_110975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:810019-813531(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110975.1-p1      -           1170 6996at5820           -            561     2e-15   54.8  20.5   2   4   8.2e-08   0.00023   18.3   0.6    61   115   483   537   466   553 0.84 | transcript=PVX_110975.1 | gene=PVX_110975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:810019-813531(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110975.1-p1      -           1170 6996at5820           -            561     2e-15   54.8  20.5   3   4   9.6e-13   2.7e-09   34.6   0.9   140   225   589   677   583   686 0.83 | transcript=PVX_110975.1 | gene=PVX_110975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:810019-813531(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110975.1-p1      -           1170 6996at5820           -            561     2e-15   54.8  20.5   4   4    0.0058        16    2.3   0.1   329   361   913   946   894   964 0.78 | transcript=PVX_110975.1 | gene=PVX_110975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:810019-813531(-) | protein_length=1170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6996at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6996at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6996at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:30 2026
# [ok]
