#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_123785.1-p1      -            440 8774at5820           -            361  8.1e-199  658.2  31.2   1   2   4.3e-10     8e-07   26.5   5.0     1    70     1    79     1    95 0.85 | transcript=PVX_123785.1 | gene=PVX_123785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CAMP-dependent protein kinase regulatory subunit, putative | transcript_product=CAMP-dependent protein kinase regulatory subunit, putative | location=Pv_Sal1_chr14:1775855-1778127(-) | protein_length=440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123785.1-p1      -            440 8774at5820           -            361  8.1e-199  658.2  31.2   2   2  9.7e-196  1.8e-192  637.3  18.7    37   361   100   440    83   440 0.94 | transcript=PVX_123785.1 | gene=PVX_123785 | organism=Plasmodium_vivax_Sal-1 | gene_product=CAMP-dependent protein kinase regulatory subunit, putative | transcript_product=CAMP-dependent protein kinase regulatory subunit, putative | location=Pv_Sal1_chr14:1775855-1778127(-) | protein_length=440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 8774at5820           -            361   8.2e-51  171.3  11.7   1   3   4.3e-36   7.9e-33  112.1   3.3    54   342     2   287     1   296 0.88 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 8774at5820           -            361   8.2e-51  171.3  11.7   2   3   2.6e-05     0.048   10.8   0.4   254   332   319   398   287   417 0.75 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 8774at5820           -            361   8.2e-51  171.3  11.7   3   3   3.1e-18   5.6e-15   53.4   0.1   106   216   412   519   400   526 0.85 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 8774at5820           -            361   1.8e-25   87.9  60.7   1   7         3   5.5e+03  -11.2  20.8     8    74   727   792   720   809 0.75 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 8774at5820           -            361   1.8e-25   87.9  60.7   2   7      0.33   6.1e+02   -2.7   0.1   102   145  1794  1837  1781  1845 0.81 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 8774at5820           -            361   1.8e-25   87.9  60.7   3   7   4.9e-08     9e-05   19.8   0.5   133   222  1959  2048  1883  2068 0.79 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 8774at5820           -            361   1.8e-25   87.9  60.7   4   7   2.7e-07   0.00049   17.4   0.7   120   213  2201  2296  2165  2311 0.83 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 8774at5820           -            361   1.8e-25   87.9  60.7   5   7    0.0026       4.8    4.2   3.7    93   173  2326  2403  2312  2413 0.87 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 8774at5820           -            361   1.8e-25   87.9  60.7   6   7   1.9e-08   3.4e-05   21.2   0.0   291   337  2435  2481  2424  2494 0.77 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 8774at5820           -            361   1.8e-25   87.9  60.7   7   7   3.6e-20   6.6e-17   59.7   0.6   200   348  3044  3205  2933  3216 0.77 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8774at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8774at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8774at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:30 2026
# [ok]
