#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101280.1-p1      -            611 5171at5820           -            438  1.1e-213  708.2   7.8   1   3   2.7e-83   7.1e-81  270.5   0.0     1   180    16   215    16   220 0.90 | transcript=PVX_101280.1 | gene=PVX_101280 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=Pv_Sal1_chr14:2767368-2770587(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101280.1-p1      -            611 5171at5820           -            438  1.1e-213  708.2   7.8   2   3   3.4e-60     9e-58  194.4   0.0   178   307   239   387   227   410 0.87 | transcript=PVX_101280.1 | gene=PVX_101280 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=Pv_Sal1_chr14:2767368-2770587(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101280.1-p1      -            611 5171at5820           -            438  1.1e-213  708.2   7.8   3   3   2.9e-75   7.5e-73  244.1   3.5   305   438   417   563   394   563 0.91 | transcript=PVX_101280.1 | gene=PVX_101280 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 2, putative | transcript_product=dipeptidyl aminopeptidase 2, putative | location=Pv_Sal1_chr14:2767368-2770587(+) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091465.1-p1      -            690 5171at5820           -            438   1.1e-87  293.0  18.1   1   3   2.1e-28   5.4e-26   89.7   2.6     3   196    24   231    22   240 0.78 | transcript=PVX_091465.1 | gene=PVX_091465 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=Pv_Sal1_chr09:539598-541670(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091465.1-p1      -            690 5171at5820           -            438   1.1e-87  293.0  18.1   2   3   1.4e-27   3.7e-25   86.9   0.1   208   307   356   460   340   470 0.81 | transcript=PVX_091465.1 | gene=PVX_091465 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=Pv_Sal1_chr09:539598-541670(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091465.1-p1      -            690 5171at5820           -            438   1.1e-87  293.0  18.1   3   3   4.8e-39   1.3e-36  124.7   3.2   307   438   532   678   519   678 0.81 | transcript=PVX_091465.1 | gene=PVX_091465 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 1, putative | transcript_product=dipeptidyl aminopeptidase 1, putative | location=Pv_Sal1_chr09:539598-541670(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 5171at5820           -            438   1.7e-26   91.3  19.8   1   4   1.5e-06   0.00041   17.6   0.2     2   122    15   144    14   151 0.69 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 5171at5820           -            438   1.7e-26   91.3  19.8   2   4   1.1e-14   2.8e-12   44.5   3.1   234   316   378   462   370   487 0.85 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 5171at5820           -            438   1.7e-26   91.3  19.8   3   4   8.4e-06    0.0022   15.2   0.1   324   393   617   683   608   707 0.78 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001005.1-p1      -            762 5171at5820           -            438   1.7e-26   91.3  19.8   4   4   1.8e-08   4.8e-06   23.9   0.9   391   427   715   751   711   759 0.88 | transcript=PVX_001005.1 | gene=PVX_001005 | organism=Plasmodium_vivax_Sal-1 | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=Pv_Sal1_chr03:120991-123407(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091410.1-p1      -            495 5171at5820           -            438   2.1e-13   48.2   9.0   1   1   2.3e-15   6.1e-13   46.7   9.0   234   416   283   471   263   477 0.74 | transcript=PVX_091410.1 | gene=PVX_091410 | organism=Plasmodium_vivax_Sal-1 | gene_product=vivapain-3 | transcript_product=vivapain-3 | location=Pv_Sal1_chr09:496561-498048(-) | protein_length=495 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
