#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113755.1-p1      -           1591 2625at5820           -           1265         0 1642.9  25.5   1   1         0         0 1642.6  25.5     1  1265     1  1591     1  1591 0.75 | transcript=PVX_113755.1 | gene=PVX_113755 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1523510-1529297(+) | protein_length=1591 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098022.1-p1      -            359 2625at5820           -           1265   7.9e-05   19.0   7.2   1   3     0.015       3.2    3.8   0.2   231   261    38    68    35    72 0.74 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098022.1-p1      -            359 2625at5820           -           1265   7.9e-05   19.0   7.2   2   3     0.025       5.3    3.0   0.5    37    69    62    94    49    95 0.75 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098022.1-p1      -            359 2625at5820           -           1265   7.9e-05   19.0   7.2   3   3   7.1e-07   0.00015   18.1   0.9    27    70    95   138    90   139 0.94 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087775.1-p1      -           3825 2625at5820           -           1265   0.00015   18.1   9.2   1   2     0.062        13    1.7  25.0   324   631   464   881   457   940 0.29 | transcript=PVX_087775.1 | gene=PVX_087775 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:137109-150030(-) | protein_length=3825 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087775.1-p1      -           3825 2625at5820           -           1265   0.00015   18.1   9.2   2   2   6.9e-07   0.00015   18.1   9.2   353   726  1610  2142  1561  2228 0.36 | transcript=PVX_087775.1 | gene=PVX_087775 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:137109-150030(-) | protein_length=3825 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084935.1-p1      -           1655 2625at5820           -           1265   0.00027   17.3  46.9   1   2       1.4   3.1e+02   -2.8   0.5   691   760    67   110     6   145 0.33 | transcript=PVX_084935.1 | gene=PVX_084935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:788712-793868(-) | protein_length=1655 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084935.1-p1      -           1655 2625at5820           -           1265   0.00027   17.3  46.9   2   2   1.3e-06   0.00027   17.3  46.9   377   604   520   781   446   887 0.38 | transcript=PVX_084935.1 | gene=PVX_084935 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:788712-793868(-) | protein_length=1655 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084410.1-p1      -            370 2625at5820           -           1265    0.0011   15.2  42.4   1   1   6.5e-06    0.0014   14.9  42.4   396   619    61   343    17   368 0.28 | transcript=PVX_084410.1 | gene=PVX_084410 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:275912-277174(+) | protein_length=370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080265.1-p1      -            739 2625at5820           -           1265    0.0017   14.7  23.9   1   1   8.7e-06    0.0018   14.5  23.9   380   562   386   597   202   707 0.50 | transcript=PVX_080265.1 | gene=PVX_080265 | organism=Plasmodium_vivax_Sal-1 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=Pv_Sal1_chr10:524991-527210(-) | protein_length=739 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085295.1-p1      -           1484 2625at5820           -           1265    0.0027   13.9  57.7   1   2     2e-06   0.00042   16.6   9.7   357   439   414   493   357   824 0.64 | transcript=PVX_085295.1 | gene=PVX_085295 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:1074171-1078625(+) | protein_length=1484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
