#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113285.1-p1      -            920 2651at5820           -            741         0 1568.9  48.5   1   3  1.2e-202  4.7e-200  664.7  16.3    12   321    90   400    78   405 0.98 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113285.1-p1      -            920 2651at5820           -            741         0 1568.9  48.5   2   3  6.9e-156  2.7e-153  510.1  15.7   319   557   456   694   449   700 0.98 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113285.1-p1      -            920 2651at5820           -            741         0 1568.9  48.5   3   3  2.9e-124  1.1e-121  405.6   1.3   551   741   730   920   707   920 0.97 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100600.1-p1      -            775 2651at5820           -            741  3.4e-124  413.9  18.4   1   1  2.9e-126  1.2e-123  412.2  18.4    16   730    36   765    31   773 0.88 | transcript=PVX_100600.1 | gene=PVX_100600 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr14:2213074-2215401(-) | protein_length=775 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 2651at5820           -            741     5e-41  138.9  12.8   1   5     6e-36   2.4e-33  113.6   0.3    21   191    25   189    16   202 0.92 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 2651at5820           -            741     5e-41  138.9  12.8   2   5    0.0042       1.7    5.0   0.0   231   289   290   348   275   354 0.84 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 2651at5820           -            741     5e-41  138.9  12.8   3   5    0.0025      0.99    5.7   0.1   338   423   449   533   439   535 0.84 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 2651at5820           -            741     5e-41  138.9  12.8   4   5   0.00035      0.14    8.6   0.6   424   512   636   723   627   743 0.85 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 2651at5820           -            741     5e-41  138.9  12.8   5   5   8.8e-05     0.035   10.5   0.1   642   726  1009  1098   987  1100 0.83 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 2651at5820           -            741   3.1e-39  133.0   0.3   1   3   2.1e-27   8.4e-25   85.3   0.7    18   200    16   200     1   231 0.84 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 2651at5820           -            741   3.1e-39  133.0   0.3   2   3   6.8e-11   2.7e-08   30.7   0.0   369   520   406   560   304   569 0.72 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 2651at5820           -            741   3.1e-39  133.0   0.3   3   3   2.2e-05    0.0085   12.6   0.0   647   717   712   783   660   797 0.79 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122985.1-p1      -            771 2651at5820           -            741   1.9e-31  107.2  10.1   1   3   3.8e-25   1.5e-22   77.8   1.9     4   158    92   234    90   256 0.90 | transcript=PVX_122985.1 | gene=PVX_122985 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein TypA, putative | transcript_product=GTP-binding protein TypA, putative | location=Pv_Sal1_chr14:1053579-1055894(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122985.1-p1      -            771 2651at5820           -            741   1.9e-31  107.2  10.1   2   3   2.1e-08   8.2e-06   22.5   0.3   343   499   370   541   352   558 0.71 | transcript=PVX_122985.1 | gene=PVX_122985 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein TypA, putative | transcript_product=GTP-binding protein TypA, putative | location=Pv_Sal1_chr14:1053579-1055894(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122985.1-p1      -            771 2651at5820           -            741   1.9e-31  107.2  10.1   3   3   5.7e-05     0.023   11.2   0.1   648   726   561   639   553   648 0.90 | transcript=PVX_122985.1 | gene=PVX_122985 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein TypA, putative | transcript_product=GTP-binding protein TypA, putative | location=Pv_Sal1_chr14:1053579-1055894(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 2651at5820           -            741     3e-28   96.7   7.9   1   4   3.9e-26   1.6e-23   81.1   0.3    19   163   189   323   185   345 0.86 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 2651at5820           -            741     3e-28   96.7   7.9   2   4     0.027        11    2.3   0.3   318   422   352   458   330   474 0.74 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 2651at5820           -            741     3e-28   96.7   7.9   3   4   8.2e-06    0.0032   13.9   0.0   435   514   525   607   510   622 0.80 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 2651at5820           -            741     3e-28   96.7   7.9   4   4     0.066        26    1.0   0.0   649   719   711   781   697   796 0.77 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 2651at5820           -            741     1e-19   68.5  31.2   1   5   2.8e-05     0.011   12.2   0.2    17    56     9    50     3    78 0.78 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 2651at5820           -            741     1e-19   68.5  31.2   2   5   4.9e-17     2e-14   51.0  10.7    91   186   172   274   164   350 0.78 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 2651at5820           -            741     1e-19   68.5  31.2   3   5      0.21        84   -0.7   0.0   358   408   517   567   510   571 0.90 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 2651at5820           -            741     1e-19   68.5  31.2   4   5      0.04        16    1.7   2.2   438   525   728   816   721   838 0.80 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 2651at5820           -            741     1e-19   68.5  31.2   5   5   2.1e-05    0.0081   12.6   0.0   629   725  1223  1327  1115  1337 0.77 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082470.1-p1      -            456 2651at5820           -            741   6.9e-10   36.0   0.2   1   1   3.1e-12   1.2e-09   35.2   0.2    21   158    72   201    64   218 0.83 | transcript=PVX_082470.1 | gene=PVX_082470 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, mitochondrial precursor, putative | transcript_product=elongation factor Tu, mitochondrial precursor, putative | location=Pv_Sal1_chr12:890022-891392(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 2651at5820           -            741   2.7e-09   34.1   7.7   1   5      0.99   3.9e+02   -2.9   0.1   120   157   113   149   106   160 0.76 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 2651at5820           -            741   2.7e-09   34.1   7.7   2   5     0.054        22    1.3   0.0    21    47   183   209   165   217 0.84 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 2651at5820           -            741   2.7e-09   34.1   7.7   3   5   2.7e-09     1e-06   25.5   1.1    89   177   320   408   302   476 0.83 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 2651at5820           -            741   2.7e-09   34.1   7.7   4   5    0.0051         2    4.7   0.0   449   521   821   893   803   939 0.75 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 2651at5820           -            741   2.7e-09   34.1   7.7   5   5     0.029        12    2.2   0.0   600   728  1058  1189  1038  1196 0.78 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089010.1-p1      -           1164 2651at5820           -            741   4.4e-07   26.7   0.7   1   2    0.0014      0.54    6.6   0.1    10    73   578   642   573   644 0.82 | transcript=PVX_089010.1 | gene=PVX_089010 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr05:219826-223320(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089010.1-p1      -           1164 2651at5820           -            741   4.4e-07   26.7   0.7   2   2   4.7e-08   1.8e-05   21.4   0.1    93   165   639   711   632   759 0.89 | transcript=PVX_089010.1 | gene=PVX_089010 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr05:219826-223320(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114830.1-p1      -            443 2651at5820           -            741   4.8e-07   26.6   0.5   1   1   1.8e-09   6.9e-07   26.1   0.5    22   173     8   172     3   195 0.72 | transcript=PVX_114830.1 | gene=PVX_114830 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:592949-594280(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114832.1-p1      -            443 2651at5820           -            741   4.8e-07   26.6   0.5   1   1   1.8e-09   6.9e-07   26.1   0.5    22   173     8   172     3   195 0.72 | transcript=PVX_114832.1 | gene=PVX_114832 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:590205-591536(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080420.1-p1      -           1366 2651at5820           -            741   8.5e-06   22.5   1.9   1   2   3.2e-07   0.00013   18.6   0.2    46   165   769   889   751   898 0.78 | transcript=PVX_080420.1 | gene=PVX_080420 | organism=Plasmodium_vivax_Sal-1 | gene_product=MB2 protein, putative | transcript_product=MB2 protein, putative | location=Pv_Sal1_chr10:662605-666705(+) | protein_length=1366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
