#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4   1  16   7.8e-22   4.3e-18   63.9   3.7     1    48     1    60     1    84 0.84 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4   2  16   2.5e-06     0.014   12.8   0.4    45    67   113   135   101   140 0.85 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4   3  16   3.2e-07    0.0018   15.7   1.0    46    69   140   163   135   166 0.90 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4   4  16     2e-08   0.00011   19.7   1.1    47    68   167   188   163   192 0.92 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4   5  16     3e-08   0.00017   19.1   0.8    47    69   193   215   189   218 0.91 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4   6  16   4.1e-08   0.00023   18.7   2.1    47    69   219   241   215   244 0.91 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4   7  16   2.5e-08   0.00014   19.4   2.2    47    69   232   254   229   257 0.92 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4   8  16   2.9e-08   0.00016   19.2   0.9    47    69   245   267   240   270 0.91 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4   9  16   3.2e-08   0.00017   19.1   1.1    47    69   258   280   254   283 0.91 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4  10  16   3.7e-08    0.0002   18.8   1.7    47    69   271   293   267   295 0.92 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091635.1-p1      -            973 5783at5820           -            394  1.5e-194  644.8 175.4  11  16   4.6e-08   0.00025   18.5   2.5    47    69   284   306   280   309 0.91 | transcript=PVX_091635.1 | gene=PVX_091635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:667204-671241(+) | protein_length=973 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
