#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113355.1-p1      -           1824 592at5820            -           1360         0 2632.8 101.4   1   5         0         0 2165.8  58.8     1  1053     1  1126     1  1130 0.95 | transcript=PVX_113355.1 | gene=PVX_113355 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrosomal protein CEP76, putative | transcript_product=centrosomal protein CEP76, putative | location=Pv_Sal1_chr11:1878998-1887666(+) | protein_length=1824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113355.1-p1      -           1824 592at5820            -           1360         0 2632.8 101.4   2   5   1.8e-53   4.9e-50  168.5   8.9  1052  1157  1156  1268  1146  1273 0.93 | transcript=PVX_113355.1 | gene=PVX_113355 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrosomal protein CEP76, putative | transcript_product=centrosomal protein CEP76, putative | location=Pv_Sal1_chr11:1878998-1887666(+) | protein_length=1824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113355.1-p1      -           1824 592at5820            -           1360         0 2632.8 101.4   3   5     7e-08   0.00019   17.4   5.7  1166  1204  1344  1387  1334  1429 0.84 | transcript=PVX_113355.1 | gene=PVX_113355 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrosomal protein CEP76, putative | transcript_product=centrosomal protein CEP76, putative | location=Pv_Sal1_chr11:1878998-1887666(+) | protein_length=1824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113355.1-p1      -           1824 592at5820            -           1360         0 2632.8 101.4   4   5     0.028        77   -1.1   0.0  1191  1223  1422  1452  1400  1456 0.60 | transcript=PVX_113355.1 | gene=PVX_113355 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrosomal protein CEP76, putative | transcript_product=centrosomal protein CEP76, putative | location=Pv_Sal1_chr11:1878998-1887666(+) | protein_length=1824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113355.1-p1      -           1824 592at5820            -           1360         0 2632.8 101.4   5   5   3.2e-91   8.9e-88  293.5   3.8  1228  1360  1690  1822  1672  1822 0.96 | transcript=PVX_113355.1 | gene=PVX_113355 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrosomal protein CEP76, putative | transcript_product=centrosomal protein CEP76, putative | location=Pv_Sal1_chr11:1878998-1887666(+) | protein_length=1824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101095.1-p1      -           1799 592at5820            -           1360   4.2e-18   62.7  20.3   1   6    0.0057        16    1.1   4.0   185   281   159   253    64   270 0.65 | transcript=PVX_101095.1 | gene=PVX_101095 | organism=Plasmodium_vivax_Sal-1 | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=Pv_Sal1_chr14:2624336-2630593(-) | protein_length=1799 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101095.1-p1      -           1799 592at5820            -           1360   4.2e-18   62.7  20.3   2   6      0.22     6e+02   -4.1   5.2  1090  1150   298   361   278   392 0.72 | transcript=PVX_101095.1 | gene=PVX_101095 | organism=Plasmodium_vivax_Sal-1 | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=Pv_Sal1_chr14:2624336-2630593(-) | protein_length=1799 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101095.1-p1      -           1799 592at5820            -           1360   4.2e-18   62.7  20.3   3   6   2.5e-18   6.9e-15   52.0  11.6   361   806   458   894   416   933 0.71 | transcript=PVX_101095.1 | gene=PVX_101095 | organism=Plasmodium_vivax_Sal-1 | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=Pv_Sal1_chr14:2624336-2630593(-) | protein_length=1799 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101095.1-p1      -           1799 592at5820            -           1360   4.2e-18   62.7  20.3   4   6   1.9e-10   5.3e-07   25.9   1.4   928  1033   944  1052   940  1062 0.91 | transcript=PVX_101095.1 | gene=PVX_101095 | organism=Plasmodium_vivax_Sal-1 | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=Pv_Sal1_chr14:2624336-2630593(-) | protein_length=1799 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101095.1-p1      -           1799 592at5820            -           1360   4.2e-18   62.7  20.3   5   6    0.0012       3.2    3.4   0.0  1269  1353  1080  1161  1068  1169 0.65 | transcript=PVX_101095.1 | gene=PVX_101095 | organism=Plasmodium_vivax_Sal-1 | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=Pv_Sal1_chr14:2624336-2630593(-) | protein_length=1799 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101095.1-p1      -           1799 592at5820            -           1360   4.2e-18   62.7  20.3   6   6         2   5.5e+03  -25.2  31.7    13   115  1477  1579  1407  1621 0.70 | transcript=PVX_101095.1 | gene=PVX_101095 | organism=Plasmodium_vivax_Sal-1 | gene_product=double C2-like domain-containing protein, putative | transcript_product=double C2-like domain-containing protein, putative | location=Pv_Sal1_chr14:2624336-2630593(-) | protein_length=1799 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/592at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/592at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/592at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:11 2026
# [ok]
