#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094790.1-p1      -            273 9897at5820           -            230  7.2e-147  485.3   8.4   1   2       4.4   2.2e+03   -3.8   0.3     1     8    12    19    12    20 0.90 | transcript=PVX_094790.1 | gene=PVX_094790 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=Pv_Sal1_chr08:523301-524122(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094790.1-p1      -            273 9897at5820           -            230  7.2e-147  485.3   8.4   2   2  1.4e-149  7.2e-147  485.3   8.4     2   230    28   273    27   273 0.97 | transcript=PVX_094790.1 | gene=PVX_094790 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-5, putative | transcript_product=proteasome subunit beta type-5, putative | location=Pv_Sal1_chr08:523301-524122(-) | protein_length=273 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082355.1-p1      -            270 9897at5820           -            230   1.2e-21   75.5   0.0   1   1   3.3e-24   1.7e-21   75.1   0.0    23   218    36   239    21   246 0.88 | transcript=PVX_082355.1 | gene=PVX_082355 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-7, putative | transcript_product=proteasome subunit beta type-7, putative | location=Pv_Sal1_chr12:996702-997514(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087115.1-p1      -            282 9897at5820           -            230     3e-13   48.1   5.1   1   2     2e-08     1e-05   23.5   0.0    25    78    27    80    18   102 0.91 | transcript=PVX_087115.1 | gene=PVX_087115 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=Pv_Sal1_chr07:1232508-1233356(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087115.1-p1      -            282 9897at5820           -            230     3e-13   48.1   5.1   2   2   4.7e-09   2.3e-06   25.6   2.3   110   201   166   266   139   282 0.75 | transcript=PVX_087115.1 | gene=PVX_087115 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-6, putative | transcript_product=proteasome subunit beta type-6, putative | location=Pv_Sal1_chr07:1232508-1233356(-) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093555.1-p1      -            256 9897at5820           -            230   1.1e-11   43.0   1.3   1   2   1.1e-13   5.6e-11   40.7   0.1    26    90     8    72     3   130 0.86 | transcript=PVX_093555.1 | gene=PVX_093555 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=Pv_Sal1_chr01:634033-634957(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093555.1-p1      -            256 9897at5820           -            230   1.1e-11   43.0   1.3   2   2      0.12        59    1.3   0.1   138   203   152   225   141   245 0.70 | transcript=PVX_093555.1 | gene=PVX_093555 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-4, putative | transcript_product=proteasome subunit beta type-4, putative | location=Pv_Sal1_chr01:634033-634957(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080330.1-p1      -            241 9897at5820           -            230   1.9e-07   29.2   1.2   1   1   1.8e-09     9e-07   26.9   1.2    24   170    35   182    18   237 0.82 | transcript=PVX_080330.1 | gene=PVX_080330 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=Pv_Sal1_chr10:584772-586334(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124160.1-p1      -            207 9897at5820           -            230   3.6e-07   28.2   0.0   1   2   2.7e-08   1.4e-05   23.1   0.0    21    89    31   100    19   111 0.87 | transcript=PVX_124160.1 | gene=PVX_124160 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=Pv_Sal1_chr14:2101422-2102649(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_124160.1-p1      -            207 9897at5820           -            230   3.6e-07   28.2   0.0   2   2     0.031        16    3.2   0.0   149   182   152   187   136   196 0.78 | transcript=PVX_124160.1 | gene=PVX_124160 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent protease subunit ClpQ, putative | transcript_product=ATP-dependent protease subunit ClpQ, putative | location=Pv_Sal1_chr14:2101422-2102649(-) | protein_length=207 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081675.1-p1      -            256 9897at5820           -            230   1.2e-06   26.5   0.1   1   1   4.9e-09   2.5e-06   25.5   0.1    25   174    32   191    22   225 0.81 | transcript=PVX_081675.1 | gene=PVX_081675 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=Pv_Sal1_chr02:551285-552550(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
