#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122865.1-p1      -           2834 366at5820            -           2063         0 2870.4  58.3   1   1         0         0 2868.3  58.3     1  2062     1  2829     1  2830 0.86 | transcript=PVX_122865.1 | gene=PVX_122865 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:932047-941244(-) | protein_length=2834 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085345.1-p1      -           1004 366at5820            -           2063   0.00015   17.3  14.2   1   1   1.6e-06   0.00026   16.5  14.2   450   682   536   769   504   851 0.58 | transcript=PVX_085345.1 | gene=PVX_085345 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1120650-1123664(-) | protein_length=1004 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111370.1-p1      -           1861 366at5820            -           2063    0.0012   14.2  25.5   1   1   1.1e-05    0.0017   13.8  25.5   461   732  1149  1407  1108  1492 0.30 | transcript=PVX_111370.1 | gene=PVX_111370 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr06:521859-527444(-) | protein_length=1861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084410.1-p1      -            370 366at5820            -           2063     0.014   10.8  26.7   1   1   9.3e-05     0.015   10.6  26.7   562   697    67   213    15   342 0.43 | transcript=PVX_084410.1 | gene=PVX_084410 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:275912-277174(+) | protein_length=370 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114600.1-p1      -            282 366at5820            -           2063     0.017   10.5   1.7   1   1   0.00013     0.021   10.2   1.7   658   761    35   151    25   161 0.71 | transcript=PVX_114600.1 | gene=PVX_114600 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium falciparum CPW-WPC domain containing protein | transcript_product=Plasmodium falciparum CPW-WPC domain containing protein | location=Pv_Sal1_chr11:784095-786348(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092235.1-p1      -            404 366at5820            -           2063      0.03    9.6  10.1   1   1    0.0002     0.033    9.5  10.1   511   619   273   384    89   400 0.39 | transcript=PVX_092235.1 | gene=PVX_092235 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor 38A, putative | transcript_product=pre-mRNA-splicing factor 38A, putative | location=Pv_Sal1_chr09:1201103-1202483(-) | protein_length=404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003615.1-p1      -            376 366at5820            -           2063     0.044    9.1  36.4   1   1    0.0003     0.049    9.0  36.4   436   682    93   330    29   375 0.32 | transcript=PVX_003615.1 | gene=PVX_003615 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:735690-737062(+) | protein_length=376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081440.1-p1      -            292 366at5820            -           2063     0.058    8.7   4.2   1   1   0.00035     0.056    8.7   4.2   457   650    67   134    37   232 0.54 | transcript=PVX_081440.1 | gene=PVX_081440 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:344250-345128(-) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090840.1-p1      -            392 366at5820            -           2063     0.074    8.3  49.1   1   1   0.00056     0.091    8.1  49.1   455   702   111   369    51   387 0.36 | transcript=PVX_090840.1 | gene=PVX_090840 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr09:20038-21396(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000810.1-p1      -            843 366at5820            -           2063     0.089    8.1  11.0   1   1   0.00068      0.11    7.8  11.0   451   607    62   289    37   545 0.48 | transcript=PVX_000810.1 | gene=PVX_000810 | organism=Plasmodium_vivax_Sal-1 | gene_product=perforin-like protein 1 | transcript_product=perforin-like protein 1 | location=Pv_Sal1_chr03:287913-291841(-) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122218.1-p1      -            418 366at5820            -           2063      0.11    7.8  25.1   1   1   0.00073      0.12    7.7  25.1   479   673    84   267    58   376 0.44 | transcript=PVX_122218.1 | gene=PVX_122218 | organism=Plasmodium_vivax_Sal-1 | gene_product=fork head domain protein, putative | transcript_product=fork head domain protein, putative | location=Pv_Sal1_chr14:386199-387920(-) | protein_length=418 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
